A,B,result
DBSCAN,Arithmetic mean,1
OPTICS algorithm,Arithmetic mean,1
Confidence interval,Joint probability distribution,0
Prior probability,Conditional probability,0
Decision tree model,Conditional probability,1
Boosting (machine learning),Data mining,0
Naive Bayes classifier,Standard deviation,1
Feedforward neural network,Gradient descent,0
Confidence interval,Statistical significance,0
Data mining,Hierarchical clustering,0
Interquartile range,Median,1
Cluster analysis,Outlier,0
Bayesian network,Probability density function,1
Data mining,Outlier,1
Sensitivity and specificity,Accuracy and precision,0
K-medoids,Cluster analysis,1
Backpropagation,Feedforward neural network,0
Random forest,Boosting (machine learning),0
K-means clustering,Machine learning,1
Mutation (genetic algorithm),Natural selection,1
Cluster analysis,Information retrieval,0
Support vector machine,Probability density function,1
Gradient descent,Maxima and minima,1
Conditional probability,Bayesian network,0
Statistical classification,Artificial neural network,0
Standard deviation,F1 score,0
AdaBoost,Joint probability distribution,1
Statistical hypothesis testing,Type I and type II errors,0
Arithmetic mean,Cluster analysis,0
Correlation and dependence,Clustering high-dimensional data,0
Confusion matrix,Sensitivity and specificity,0
Sample (statistics),Precision and recall,0
Sensitivity and specificity,Statistical classification,1
F1 score,Sample (statistics),1
Random forest,Standard deviation,0
Bayesian network,Prior probability,1
Stepwise regression,Regression analysis,1
K-medoids,K-means clustering,0
Statistical classification,Naive Bayes classifier,0
Correlation and dependence,Hierarchical clustering,0
False positives and false negatives,Positive and negative predictive values,0
Linear separability,Support vector machine,0
DBSCAN,Cluster analysis,1
Interquartile range,Outlier,0
Standard deviation,Hierarchical clustering,0
Hierarchical clustering,Cluster analysis,1
Precision and recall,Null hypothesis,1
Random forest,Decision tree learning,1
Machine learning,Bayesian network,0
Clustering high-dimensional data,Correlation and dependence,1
Conditional probability,Naive Bayes classifier,0
Decision tree model,Statistical classification,1
Mixture model,Bayesian network,0
Cluster analysis,Fuzzy clustering,0
Likelihood function,Confidence interval,0
Statistical hypothesis testing,Data mining,0
DBSCAN,Data analysis,1
Decision tree,Statistical classification,1
Random forest,Bootstrapping (statistics),1
Bayesian network,Likelihood function,1
Regression analysis,Least squares,0
Data mining,Regression analysis,1
Support vector machine,Outlier,0
Conditional probability distribution,Naive Bayes classifier,0
Naive Bayes classifier,Data mining,0
Outlier,Data mining,0
Decision tree learning,Probability density function,1
Confidence interval,Sample (statistics),1
Statistical hypothesis testing,Sample (statistics),1
Naive Bayes classifier,Conditional independence,1
Hierarchical clustering,Mixture model,0
Backpropagation,Ensemble learning,0
Backpropagation,Machine learning,1
Joint probability distribution,Conditional probability distribution,0
Probability density function,Naive Bayes classifier,0
Principal component analysis,Arithmetic mean,1
Web search engine,Data mining,0
