A,B,column1
Parallelogram,Rotational_symmetry,0
Angle,Isosceles_triangle,0
Angle,Pythagorean_theorem,0
Edge_(geometry),Acute_and_obtuse_triangles,0
Cartesian_coordinate_system,Line_(geometry),1
Polygon,Line_segment,1
Angle,Two-dimensional_space,0
Point_(geometry),Two-dimensional_space,0
Grade_(slope),Geometry,1
Quadrilateral,Parallel_(geometry),0
Perpendicular,Cone,0
Line_segment,Bisection,0
Angle,Collinearity,0
Midpoint,Arc_(geometry),0
Edge_(geometry),Isosceles_triangle,0
Edge_(geometry),Internal_and_external_angle,0
Rectangle,Right_triangle,0
Vertex_(geometry),Pythagorean_theorem,0
Rotational_symmetry,Prism_(geometry),0
Concentric,Geometry,1
Circle,Cross_section_(geometry),0
Parallelogram,Circumference,0
Pythagorean_theorem,Pythagorean_triple,0
Similarity_(geometry),Sphere,0
Special_right_triangles,Right_angle,1
Quadrilateral,Internal_and_external_angle,0
Pythagorean_triple,Pythagorean_theorem,1
Circle,Geometry,1
Point_(geometry),Quadrilateral,0
Pythagorean_triple,Right_triangle,1
Radius,Sine,0
Line_segment,Pythagorean_triple,0
Line_(geometry),Diameter,0
Quadrilateral,Collinearity,0
Two-dimensional_space,Nonagon,0
Circle,Vertex_(geometry),0
Two-dimensional_space,Plane_(geometry),1
Dodecagon,Angle,1
Vertex_(geometry),Heptagon,0
Chord_(geometry),Angle,0
Symmetry,Parallelogram,0
Cylinder_(geometry),Perpendicular,0
Coordinate_system,Geometry,1
Circle,Bisection,0
Polygon,Octagon,0
Perpendicular,Coordinate_system,0
Midpoint,Altitude_(triangle),0
Point_(geometry),Star_polygon,0
Line_(geometry),Pyramid_(geometry),0
Edge_(geometry),Right_triangle,0
Bisection,Triangle,0
Parallelogram,Angle,1
Point_(geometry),Hexagon,0
Dodecagon,Polyhedron,0
Kite_(geometry),Angle,1
Circumference,Arc_(geometry),0
Line_(geometry),Convex_polygon,0
Convex_polygon,Geometry,1
Parallel_(geometry),Perpendicular,0
Line_segment,Vertex_(geometry),0
Scale_factor,Scaling_(geometry),0
Line_segment,Dodecagon,0
Rhombus,Perpendicular,0
Pentagon,Edge_(geometry),1
Perpendicular,Angle,1
Parallel_(geometry),Angle,0
Perpendicular,Two-dimensional_space,0
Rectangle,Point_(geometry),1
Diameter,Radius,1
Midpoint,Plane_(geometry),0
Rhombus,Edge_(geometry),1
Vertex_(geometry),Nonagon,0
Tangent,Sine,0
Right_triangle,Polygon,1
Point_(geometry),Secant_line,0
Reflection_symmetry,Line_(geometry),1
Line_segment,Pentagon,0
Parallel_(geometry),Skew_lines,0
Acute_and_obtuse_triangles,Vertex_(geometry),1
Quadrilateral,Triangle_inequality,0
Line_(geometry),Plane_(geometry),0
Chord_(geometry),Pythagorean_theorem,0
Rotational_symmetry,Trapezoid,0
Rhombus,Parallelogram,1
Acute_and_obtuse_triangles,Triangle,1
Trigonometric_functions,Line_(geometry),1
Parallelogram,Convex_polygon,0
Arc_length,Distance,1
Circle,Diameter,0
Rhombus,Vertex_(geometry),1
Edge_(geometry),Trigonometric_functions,0
Geometry,Star_polygon,0
Acute_and_obtuse_triangles,Polygon,1
Right_angle,Geometry,1
Sine,Trigonometric_functions,1
Edge_(geometry),Hendecagon,0
Polygon,Right_triangle,0
Circle,Sine,0
Altitude_(triangle),Geometry,1
Line_(geometry),Kite_(geometry),0
Inverse_trigonometric_functions,Line_segment,1
Equilateral_triangle,Angle,1
Midpoint,Point_(geometry),1
Chord_(geometry),Sine,0
Line_(geometry),Reflection_symmetry,0
Right_triangle,Altitude_(triangle),0
Heptagon,Radius,0
Collinearity,Cone,0
Trapezoid,Geometry,1
Line_segment,Collinearity,0
Circle,Two-dimensional_space,0
Polyhedron,Geometry,1
Polyhedron,Point_(geometry),1
Angle,Reflection_(mathematics),0
Cross_section_(geometry),Geometry,1
Triangle,Arc_length,0
Polygon,Quadrilateral,0
Translation_(geometry),Distance,0
Line_(geometry),Prism_(geometry),0
Equilateral_triangle,Geometry,1
Polygon,Rectangle,0
Octagon,Line_segment,1
Geometry,Cylinder_(geometry),0
Perpendicular,Trapezoid,0
Symmetry,Translation_(geometry),0
Point_(geometry),Angle_bisector_theorem,0
Triangle_inequality,Arc_length,0
Vertex_(geometry),Polygon,0
Diameter,Line_segment,1
Vertex_(geometry),Altitude_(triangle),0
Line_(geometry),Secant_line,0
Circumference,Polygon,0
Polyhedron,Line_(geometry),1
Cylinder_(geometry),Tangent,0
Geometry,Decagon,0
Polygon,Hendecagon,0
Angle,Distance,0
Bisection,Congruence_(geometry),0
Geometry,Square,0
Decagon,Edge_(geometry),1
Altitude_(triangle),Line_(geometry),1
Rotation_(mathematics),Distance,0
Vertex_(geometry),Star_polygon,0
Line_(geometry),Angle,0
Self-similarity,Similarity_(geometry),1
Rhombus,Square,0
Altitude_(triangle),Point_(geometry),1
Edge_(geometry),Line_(geometry),1
Reflection_symmetry,Reflection_(mathematics),1
Pythagorean_theorem,Arc_length,0
Geometry,Prism_(geometry),0
Trigonometric_functions,Chord_(geometry),0
Acute_and_obtuse_triangles,Right_triangle,0
Cylinder_(geometry),Radius,0
Inverse_trigonometric_functions,Tangent,0
Geometry,Symmetry,0
Angle_bisector_theorem,Point_(geometry),1
Rotation_(mathematics),Rigid_transformation,0
Star_polygon,Vertex_(geometry),1
Convex_polygon,Point_(geometry),1
Point_(geometry),Radius,0
Cylinder_(geometry),Polyhedron,0
Pythagorean_triple,Line_(geometry),1
Parallel_(geometry),Tangent,0
Line_segment,Arc_(geometry),0
Reflection_symmetry,Geometry,1
Polygon,Rhombus,0
Point_(geometry),Isosceles_triangle,0
Triangle,Altitude_(triangle),0
Line_(geometry),Trapezoid,0
Rhombus,Sine,0
Line_(geometry),Pythagorean_triple,0
Cartesian_coordinate_system,Two-dimensional_space,1
Special_right_triangles,Line_segment,1
Vertex_(geometry),Pyramid_(geometry),0
Geometry,Midpoint,0
Special_right_triangles,Circle,0
Pentagon,Point_(geometry),1
Right_triangle,Isosceles_triangle,0
Pythagorean_triple,Polygon,1
Angle_bisector_theorem,Geometry,1
Circle,Slope,0
Geometry,Similarity_(geometry),0
Point_(geometry),Midpoint,0
Line_(geometry),Decagon,0
Point_(geometry),Arc_length,0
Angle,Perpendicular,0
Nonagon,Line_segment,1
Reflection_(mathematics),Circle,0
