A,B,result
Magnetic_field,Inertial_frame_of_reference,0
Gravitational_acceleration,Position_(vector),1
Energy,Planet,0
Mechanical_energy,Gravitational_field,0
Physics,Electric_potential_energy,0
Newton's_laws_of_motion,Motion,0
Motion_graphs_and_derivatives,Acceleration,0
Speed,Length,0
Energy,Intensity_(physics),0
Snell's_law,Refractive_index,1
Hooke's_law,Work_(physics),0
Acceleration,Displacement_(vector),1
Physics,Collision,0
Electron,Mechanical_energy,0
Mass,Wave,0
Potential_energy,Gravity,0
Refractive_index,Electric_field,0
Hardness,Elasticity_(physics),1
Photoelectric_effect,Collision,0
Refractive_index,Reflection_(physics),0
Shock_wave,Wave,1
Projectile_motion,Gravity,1
Non-inertial_reference_frame,Frame_of_reference,1
Diffraction,Field_(physics),0
Intensity_(physics),Energy,1
Electrical_conductor,Electromagnetic_spectrum,0
Magnetic_field,Velocity,0
Crest_(physics),Doppler_effect,0
Wave,Reflection_(physics),0
Energy,Collision,0
Sound_intensity,Wave,0
Refractive_index,Scattering,0
Physics,Stiffness,0
Magnetic_field,Relative_velocity,0
Snell's_law,Speed,1
Electric_potential,Joule,0
Temperature,Physics,0
Energy_level,Temperature,0
Velocity,Doppler_effect,0
Normal_force,Velocity,0
Electromagnetic_radiation,Velocity,0
Magnetism,Electric_current,0
Electric_potential,Magnetic_field,0
Newton's_law_of_universal_gravitation,Physics,1
Position_(vector),Acceleration,0
Refractive_index,Wave,1
Physics,Snell's_law,0
Energy,Joule,0
Electromotive_force,Voltage,1
Diffraction,Scattering,0
Plane_mirror,Length,0
Capacitance,Coulomb,0
Dielectric,Voltage,0
Refractive_index,Refraction,1
Magnetism,Field_line,0
Energy_level,Energy,1
Distance,Optical_microscope,0
Elastic_collision,Kinetic_energy,1
Electrostatics,Electric_current,0
Displacement_(vector),Mass,0
Projectile_motion,Speed,1
Electron,Electroscope,0
Electroscope,Electrostatics,0
Intensity_(physics),Light,0
Electron,Frequency,0
Angle_of_incidence,Ray_(optics),0
Temperature,Absorption_spectroscopy,0
Newton's_laws_of_motion,Collision,0
Mirror_image,Reflection_(physics),1
Laser,Absorption_spectroscopy,0
Work_(physics),Potential_energy,0
Voltage,Electromotive_force,0
Absorption_spectroscopy,Wavelength,1
Position_(vector),Force,0
Acceleration,Work_(physics),0
Reflection_(physics),Total_internal_reflection,0
Power_(physics),Energy,1
Absorption_spectroscopy,Planet,0
Refractive_index,Laser,0
Gravity,Doppler_effect,0
Amplitude,Doppler_effect,0
Wave,Tension_(physics),0
Intensity_(physics),Velocity,0
Gravity_of_Earth,Torque,0
Deformation_(engineering),Elasticity_(physics),0
Acceleration,Electric_potential,0
Work_(physics),Position_(vector),1
Magnetic_field,Mirror_image,0
Electromagnetic_spectrum,Wavelength,1
Emission_spectrum,Frequency,1
Potential_energy,Power_(physics),0
Specular_reflection,Wave,1
Energy,Power_(physics),0
Le_Sage's_theory_of_gravitation,Collision,0
Specular_reflection,Euclidean_vector,0
Electron,Absorption_spectroscopy,0
Total_internal_reflection,Light,1
Physics,Rarefaction,0
Plasticity_(physics),Hardness,0
Physics,Gravitational_acceleration,0
Speed,Magnetic_field,0
Energy_level,Physics,1
Magnetic_field,Magnet,1
Elasticity_(physics),Wave,0
Phase_velocity,Dispersion_(optics),0
Physics,Wavelength,0
Fracture,Strength_of_materials,0
Diffraction,Wave,1
Free_fall,Displacement_(vector),1
Force,Sound_intensity,0
Wavelength,Dispersion_(optics),0
Temperature,Electrical_resistance_and_conductance,0
Magnetic_field,Absorption_spectroscopy,0
Field_(physics),Planet,0
Le_Sage's_theory_of_gravitation,Speed,1
Inelastic_collision,Physics,1
Energy,Sound_intensity,0
Energy_level,Wavelength,0
Electromagnetic_radiation,Magnet,1
Euclidean_vector,Electrostatics,0
Friction,Hooke's_law,0
Le_Sage's_theory_of_gravitation,Elastic_collision,0
Hertz,Velocity,0
Doppler_effect,Speed,1
Newton's_law_of_universal_gravitation,Gravitational_constant,0
Wave,Transverse_wave,0
Refractive_index,Speed,1
Laser,Doppler_effect,0
