A,B,result
Differential_equation,Number,1
Asymptote,Line_(geometry),1
Cartesian_coordinate_system,Line_(geometry),1
Partial_fraction_decomposition,Arithmetic,1
Logarithm,Natural_logarithm,0
Square_root,Exponentiation,0
Polygon,Line_segment,1
Base_(exponentiation),Exponential_function,0
Equation,Quadratic_equation,0
Mathematics,Linear_inequality,0
Binomial_theorem,Addition,1
Associative_property,Complex_number,0
Exponential_growth,Exponential_function,1
Mathematical_induction,Mathematical_proof,1
Quadratic_formula,Real_number,0
Continuous_function,Mathematics,1
Asymptote,Mathematics,1
Circular_sector,Geometry,1
Mathematics,Vertical_line_test,0
Integer,Partial_fraction_decomposition,0
Factorization,Partial_fraction_decomposition,0
Real_number,Inequality_(mathematics),0
Arithmetic,Mathematics,1
Addition,Circle,0
Dependent_and_independent_variables,Function_(mathematics),1
Equation,Pythagorean_theorem,0
Line_(geometry),Secant_line,0
Algebra,Number,1
Sine_wave,Mathematics,1
Circle,Geometry,1
Piecewise,Inverse_function,0
Multiplication,Common_logarithm,0
Empty_sum,Arithmetic,1
Number,Empty_sum,0
Linear_equation,Equation,1
Solution_of_triangles,Point_(geometry),1
Synthetic_division,Polynomial_long_division,1
Inequality_(mathematics),Mathematics,1
Arithmetic,Factorization,0
Function_(mathematics),Exponential_growth,0
Algebraic_expression,Distributive_property,0
Square_(algebra),Algebraic_expression,0
Line–line_intersection,Point_(geometry),1
Inequality_(mathematics),Equality_(mathematics),1
Rational_number,Nth_root,0
Parametric_equation,Equation,1
Prime_number,Zero_of_a_function,0
Homogeneous_polynomial,Addition,1
Limit_of_a_function,Function_(mathematics),1
Constant_function,Linear_function,0
Law_of_sines,Line_segment,1
Minor_(linear_algebra),Square_matrix,1
Coordinate_system,Geometry,1
Number,Quadrant_(plane_geometry),0
Sine,Mathematics,1
Periodic_function,Simple_harmonic_motion,0
Arithmetic,Subtraction,0
Associative_property,Multiplication,0
Limit_of_a_sequence,Mathematics,1
Focus_(geometry),Circle,0
Exponentiation,Arithmetic,1
Perpendicular,Coordinate_system,0
Function_(mathematics),Periodic_function,0
Quadratic_formula,Arithmetic,1
Solution_of_triangles,Triangle,1
Addition,Rational_number,0
Exponentiation,Quadratic_equation,0
Rational_root_theorem,Equation,1
Secant_line,Asymptote,0
Polynomial_long_division,Multiplication,1
Law_of_sines,Sine,1
Addition,Negative_number,0
Constant_function,Even_and_odd_functions,0
Set_(mathematics),Number,0
Division_(mathematics),Partial_fraction_decomposition,0
Geometry,Circular_sector,0
Linear_equation,Quadratic_equation,0
Scalar_(mathematics),Vector_(mathematics_and_physics),1
Mathematics,Degree_of_a_polynomial,0
Multiplication,Rational_number,0
Line_(geometry),Radius,0
Linear_equation,Mathematics,1
Orientation_(geometry),Mathematics,1
Mathematics,Continuous_function,0
Logarithm,Slope,0
Perpendicular,Angle,1
Algebra,Mathematics,1
Scientific_notation,Real_number,0
Real_line,Geometry,1
Mathematics,Polygon,0
Position_(vector),Vector_(mathematics_and_physics),1
Floor_and_ceiling_functions,Division_(mathematics),0
Binomial,Minor_(linear_algebra),0
Right_triangle,Polygon,1
Mathematics,Sine_wave,0
Binomial_coefficient,Multiplication,1
Sine,Law_of_sines,0
Multiplicative_inverse,Multiplication,1
Scalar_multiplication,Scalar_(mathematics),1
Polynomial,Circle,0
Function_(mathematics),Nth_root,0
Addition,Commutative_property,0
Division_(mathematics),Multiplication,0
Addition,Binary_logarithm,0
Arithmetic,Algebraic_expression,0
Conic_section,Mathematics,1
Arithmetic,Homogeneous_polynomial,0
Addition,Linear_inequality,0
Trigonometric_functions,Inverse_trigonometric_functions,0
Arithmetic,Exponentiation,0
Coordinate_system,Complex_number,0
Secant_line,Curve,1
Right_angle,Geometry,1
Unit_circle,Nth_root,0
Polygon,Law_of_sines,0
Triangular_matrix,Mathematics,1
Force,Mathematics,0
Polygon,Right_triangle,0
Function_(mathematics),Image_(mathematics),0
Geometry,Vector_(mathematics_and_physics),0
Analytic_geometry,Cartesian_coordinate_system,1
Vector_(mathematics_and_physics),Euclidean_vector,0
Quadratic_equation,Quadratic_formula,0
Union_(set_theory),Empty_set,0
Binomial,Binomial_theorem,0
Multiplicative_inverse,Mathematics,1
Complex_number,Zero_of_a_function,0
System_of_linear_equations,Mathematics,1
Vector_space,Scalar_(mathematics),0
Natural_logarithm,Arithmetic,1
Right_triangle,Line_(geometry),1
Linear_equation,Cartesian_coordinate_system,0
Exponentiation,Multiplicative_inverse,0
Spherical_law_of_cosines,Geometry,1
Mathematics,Common_logarithm,0
Multiplication,Binomial,0
Logarithm,Mathematics,1
Equation,Degree_of_a_polynomial,0
Eccentricity_(mathematics),Line_(geometry),1
Geometry,System_of_linear_equations,0
Equation,Equality_(mathematics),1
Associative_property,Commutative_property,0
Exponential_growth,Number,1
Number,Degree_of_a_polynomial,0
Homogeneous_polynomial,Mathematics,1
Unit_circle,Integer,0
Geometry,Cylinder_(geometry),0
Geometry,Polar_coordinate_system,0
Line_(geometry),Real_line,0
Negative_number,Division_(mathematics),0
Synthetic_division,Degree_of_a_polynomial,1
Main_diagonal,Elementary_matrix,0
Linear_inequality,Calculus,1
Injective_function,Function_(mathematics),1
Number,Scalar_multiplication,0
Geometry,Point_(geometry),0
Exponentiation,Real_number,0
Integer,Multiplicative_inverse,0
Geometry,Pythagorean_theorem,0
Arithmetic,Division_(mathematics),0
Mathematics,Mereology,0
Parity_(mathematics),Even_and_odd_functions,0
Set_(mathematics),Real_number,0
Geometric_series,Geometry,0
Mathematics,Cross_product,0
Solution_of_triangles,Line_(geometry),1
Exponentiation,Imaginary_number,0
Series_(mathematics),Calculus,1
Line_(geometry),Ellipse,0
Empty_sum,Addition,1
Dot_product,Arithmetic,1
Equation,Quadratic_formula,0
Algebraic_expression,Square_root,1
Quadratic_formula,Polynomial,1
Origin_(mathematics),Geometry,1
Union_(set_theory),Natural_number,0
