A,B,result,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Accuracy and precision,False positives and false negatives,0,604.35,2.16176470588236,606.511764705882,602.188235294118,0.00183107510331705,8.17500517194205E-05,0,0
Accuracy and precision,Positive and negative predictive values,0,1.725,8.55,10.275,6.825,5.22644916558603E-06,5.54627932230305E-05,0,0
AdaBoost,Boosting (machine learning),1,1972.77492063492,9774.025,11746.7999206349,7844.44992063492,731.758435716364,0.020045857254818,1,0
Anomaly detection,Arithmetic mean,1,70.9133333333335,27.0545454545454,97.9678787878787,43.8587878787879,0.0139516682944517,0.000122246074446874,1,0
Anomaly detection,Association rule learning,0,591.964285714286,215.8875,807.851785714286,428.923214285714,0.00108780711592047,0.00117228650184291,0,1
Anomaly detection,Cluster analysis,1,2699.38571428571,967.606581298392,3666.99229558411,1835.58422104994,0.0100569750691957,0.00129959345180298,1,1
Anomaly detection,Data analysis,1,41.3086956521739,84.270588235294,125.579283887468,74.6575447570333,0.00803477604745897,0.00196204729360145,0,1
Anomaly detection,Data mining,0,830.424336748096,2845.41856763926,3675.84290438735,2024.06788064566,0.0769934034645276,0.00147276437518592,1,1
Anomaly detection,Ensemble learning,0,590.364285714286,425.6,1015.96428571429,213.235714285714,0.000588409589059429,0.00161551473726804,0,1
Anomaly detection,Outlier,1,1914.35,768.709090909091,2683.05909090909,1173.95909090909,0.00402777772443556,0.000819609286423873,0,1
Anomaly detection,Statistical classification,0,491.004664179104,312.965635997989,803.970300177093,248.66538358359,0.0224704805768852,0.00161274503621733,1,1
Anomaly detection,Support vector machine,0,1219.15740365112,338.564672364672,1557.72207601579,992.209078668308,0.013736632790181,0.00261240946974452,1,1
Apriori algorithm,Association rule learning,1,3147.55,4057.2,7204.75,909.65,0.0883770883054892,0.0179267500585452,0,0
Arithmetic mean,Anomaly detection,0,24.186013986014,5.06666666666668,29.2526806526807,19.1193473193473,0.000956969283541057,4.46782212777088E-05,0,0
Arithmetic mean,Central tendency,0,1219.93428070175,6304.24351851852,7524.17779922027,5084.30923781676,0.0298743475255805,0.0207414596399941,1,1
