A,B,result,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Attribution of recent climate change,Celsius,1,5.40593220338985,0.815625,6.22155720338985,4.59030720338983,0.000104119094354849,7.8264436639991E-06,0,0
Attribution of recent climate change,Climate oscillation,1,125.333333333333,4.81428571428572,130.147619047619,120.519047619048,0.000375474299292185,0.000375793124212452,0,0
Attribution of recent climate change,Effects of global warming,1,230.719565217391,777.707692307692,1008.42725752508,616.011872909699,0.0040509387864239,0.00223255325064143,1,1
Attribution of recent climate change,El Niño–Southern Oscillation,0,28.4479365079365,3.49134615384616,31.9392826617827,24.9565903540904,0.000540909428047255,7.43516941437005E-05,0,0
Attribution of recent climate change,Enteric fermentation,0,20.6954545454545,1.20982142857143,21.905275974026,20.905275974026,8.68862109423935E-05,3.02002488233047E-05,0,0
Attribution of recent climate change,Environmental impact of aviation,0,110.765376344086,112.582850671584,223.34822701567,124.709937953204,0.00323275806483602,0.00160908192127389,1,1
Attribution of recent climate change,Fertilizer,0,84.674783293932,431.047516025641,515.722299319573,346.372732731709,0.00269645613547091,0.00717827877536563,1,1
Attribution of recent climate change,IPCC First Assessment Report,0,51.4887767113365,11.3663944993554,62.855171210692,40.1223822119811,0.00144975415874789,0.0042030667499582,1,1
Attribution of recent climate change,Radiative forcing,0,83.9461533816425,35.6932700324224,119.639423414065,48.2528833492201,0.00227282565557615,0.000578810273649327,1,1
Attribution of recent climate change,Slash-and-burn,0,26.0359712230216,8.46778568252556,34.5037569055472,17.568185540496,0.000317970826941214,0.000144925846567664,0,0
Attribution of recent climate change,Water vapor,1,138.363435897436,37.7191168150247,176.082552712461,100.644319082411,0.00468962471043511,0.000482154875539058,1,1
Carbon cycle,Calvin cycle,0,26.8026273695268,47.1976042590949,74.0002316286217,39.4921468562513,0.000305611089693593,0.00101524618631532,0,1
Carbon cycle,Combustion,1,78.970040271083,37.7855016950226,116.755541966106,54.6904909570128,0.00213527254804564,0.00045540966193355,1,1
Carbon cycle,Deficit irrigation,0,1.00333333333333,0.683333333333335,1.68666666666666,0.32,6.24734072913315E-06,1.32227353646895E-05,0,0
Carbon cycle,Ocean,0,74.2290607378326,603.690911773843,677.919972511676,593.641338215497,0.00198514104989717,0.00247213453311237,1,1
Carbon cycle,Organic compound,1,50.7170801630477,135.648475299891,186.365555462939,84.931395136843,0.00175937006050596,0.00170579045785072,1,1
Carbon cycle,Peat,0,58.2871418164157,106.689380650424,164.97652246684,78.4022388340082,0.000800467426941091,0.00177801855303709,1,1
Carbon cycle,Respiration (physiology),0,28.3346489593042,55.532842105263,83.8674910645674,54.4479048576708,0.000298988045541352,0.00193811196033877,1,1
Carbon cycle,Sediment trap,0,11.2377777777778,31.4823045822103,42.7200823599881,20.2445268044325,0.000668019981795398,0.0016116963455307,0,0
Carbon cycle,Solubility pump,0,44.9906699507389,34.4042500617742,79.3949200125133,17.5575801110352,0.00035470089950805,0.00162648285861334,1,0
Carbon cycle,Volcanic gas,0,3.88333333333334,1.80789473684211,5.69122807017545,2.07543859649123,0.000140243459490873,1.83802971775676E-05,0,0
Carbon cycle,Volcano,0,5.35782208588957,64.352488687783,69.7103107736725,63.194666601893,0.000442606448666992,0.00139569345755505,0,0
Carbon dioxide,Apnea,0,169.16990850059,49.2770517610511,218.446960261642,124.568632072853,0.000102583321099001,0.00451446623151992,1,1
Carbon dioxide,Calcium hydroxide,0,135.231139300077,54.1132564484127,189.34439574849,84.1811045593921,0.000139249811406394,0.00183697729114175,1,1
Carbon dioxide,Carbon dioxide sensor,0,298.355166093929,87.2986554373523,385.653821531281,211.056510656577,0.000393007690302616,0.0117590730726615,1,1
Carbon dioxide,Carbon monoxide,1,2511.45705104322,3237.58300618921,5749.04005723243,782.088769353644,0.000595464380389688,0.0140116605275458,1,1
Carbon dioxide,Carbon sequestration,0,369.503940664037,87.7379409564865,457.241881620523,283.817844807267,0.000749993922723878,0.00699651074007153,1,1
Carbon dioxide,Carboxylic acid,0,20.6003961267606,78.0276803836606,98.628076510421,57.4272842568999,8.99686160426734E-05,0.00167121113208481,0,1
Carbon dioxide,Combustion,0,93.7686184735428,92.7699844301939,186.538602903737,27.4986340433489,0.001189353205964,0.00242323106932926,1,1
Carbon dioxide,Industrial Revolution,0,381.718414203383,34.5830612244898,416.301475427873,371.153131869591,0.000303509664053875,0.000486331223883134,1,0
Carbon dioxide,Must,0,71.4245738636364,16.6883272727273,88.1129011363637,56.2637534090909,7.90573330334976E-05,0.000502198261304158,1,0
Carbon dioxide,Ocean acidification,0,903.263839897514,310.270171723141,1213.53401162066,597.031640797366,0.00125797107986956,0.00920098703078805,1,1
Carbon dioxide,Pascal (unit),0,160.533790556581,5.15783313325331,165.691623689835,155.375957423328,9.7535898730841E-05,0.000121584136653864,0,0
Carbon dioxide,Sedimentary rock,0,54.557529717604,55.8449217449217,110.402451462526,34.7549244948502,0.000678302393125851,0.00181906356448328,1,1
Climate change,Altimeter,0,74.3311111111111,0.8,75.1311111111111,73.5311111111111,2.34168086286943E-05,2.48033815276816E-05,0,0
Climate change,Anthropocene,0,434.622068549153,85.2493143307994,519.871382879953,401.127245781646,0.000531672290955124,0.00357872955753444,1,1
Climate change,Boundary current,0,85.3323529411765,3.98962264150943,89.3219755826859,81.342730299667,6.12093831042784E-05,0.000557303122030805,1,0
Climate change,Continental climate,0,138.721546836748,101.730289874432,240.45183671118,94.7842394184559,0.00036973756873477,0.000139142413865874,1,0
Climate change,Deforestation,1,865.961234241973,261.936497994552,1127.89773223652,620.467237057054,0.00148887417594716,0.00530913203441498,1,1
Climate change,Historical document,0,91.84,1.18333333333334,93.0233333333333,91.8433333333333,1.28389627412523E-05,1.07701017122338E-05,0,0
Climate change,Ice age,0,284.643373864185,66.6457493592338,351.289123223419,225.916020494926,0.000198072683757157,0.000288585507586827,1,0
