A,B,result,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Certificate authority,Kerberos (protocol),1,182.038698630137,38.0601238248109,220.098822454948,143.978574805326,0.000771799455267069,0.000659077085903379,1,0
Certificate authority,Key Ceremony,1,657.5,124.5,782,533,0.00045224685868988,0.0891833810888252,0,0
Certificate authority,OpenSSL,1,759.606205593349,87.3785185185183,846.984724111867,677.734353741497,0.00133873530267163,0.00020210842090884,1,0
Certificate authority,Public key certificate,1,7822.14177340006,2088.89240374568,9911.03417714574,5733.24936965438,0.0116153135893437,0.0115133791123164,1,1
Certificate authority,X.509,1,3246.12958167244,1477.17383749729,4723.30341916973,1772.43772615713,0.00406871787665327,0.0104704819541601,1,1
Cryptography,Computer,0,268.223348238284,114.143580994313,382.366929232597,159.913100577304,0.00161423067871215,0.000838481434449475,1,1
Cryptography,Cryptography standards,0,592.141038575668,116.972204735507,709.113243311175,475.168833840161,0.000305309456206171,0.00929372157127248,1,1
Cryptography,Firefox,0,41.2285087719298,20.2736666666667,61.5021754385965,21.4548421052631,7.57940132177812E-05,5.58702047329622E-05,0,0
Cryptography,Internet,0,68.2308364901145,31.1446726190476,99.375509109162,37.0861638710668,0.000399112346475243,0.000254575584738362,1,0
Cryptography,Microsoft Outlook,0,359.504137115839,18.4038888888889,377.908026004728,350.844196217494,0.000107275429394805,0.00032898969886541,1,0
Cryptography,Phil Zimmermann,0,176.449610507246,119.243477011494,295.693087518741,77.8047541854073,0.000108128090306369,0.00898312958589878,1,1
Cryptography,Social engineering (security),0,519.878694158076,42.0343442028985,561.913038360974,511.965794972359,8.55779711111337E-05,0.000761661839048397,1,0
Cryptography,Steven Levy,0,453.206294471812,8.15529411764705,461.361588589459,445.051000354165,0.000278604225859509,0.00486726401589655,1,0
Diffie–Hellman key exchange,Charles Babbage Institute,0,1.84677419354839,1.93095238095238,3.77772657450077,0.084178187403994,1.02192342589431E-05,1.18305250302401E-05,0,0
Diffie–Hellman key exchange,Communication,0,14.5118861788618,3.722,18.2338861788618,10.7898861788618,0.000120176409866086,4.09870975669668E-05,0,0
Diffie–Hellman key exchange,Cyclic group,0,265.654545454545,3.28142857142857,268.935974025974,262.626883116883,0.000317469114281599,0.000120600978248771,0,0
Diffie–Hellman key exchange,Dc (computer program),0,1.24,0.71315789473684,1.95315789473684,0.52684210526316,1.10671183240956E-06,8.5196870791243E-06,0,0
Diffie–Hellman key exchange,Power associativity,0,2.95833333333334,1.75789473684211,4.71622807017544,1.20043859649123,1.2673635500174E-05,5.7760484219628E-05,0,0
Diffie–Hellman key exchange,The Code Book,0,44.4597409463389,84.2724637681161,128.732204714455,54.5460561551104,0.00033633948051196,0.00389761097917994,0,1
Diffie–Hellman key exchange,Whitfield Diffie,0,2356.54655118901,1447.45020651064,3803.99675769964,1127.38405704228,0.00456272975479988,0.0306297876888863,1,1
Digital signature,Digital signature forgery,0,546.641071428571,113.484597156398,660.12566858497,433.156474272173,0.000470218305289913,0.188587167603773,1,1
Digital signature,European Union,0,164.620972423803,47.1510668683542,211.772039292157,117.469905555448,0.000364687079369949,0.00162295580040588,1,0
Digital signature,Key generation,1,353.303472222222,52.046043956044,405.349516178266,386.742571733822,0.000302804401728111,0.0016097568624268,0,1
Digital signature,Non-repudiation,0,1499.81682326622,391.857535959975,1891.67435922619,1115.65159499855,0.00128872036394977,0.0218007490363214,0,1
Digital signature,Public-key cryptography,0,4678.95590357011,6388.17187753975,11067.1277811099,1819.48834473612,0.00403681793631494,0.0189811478935146,1,1
Digital signature,RSA,0,21,46.62,67.62,62.62,1.6033692818295E-05,0.000239882682857804,0,0
Digital signature,Smart card,0,298.494776962168,12.1336538461539,310.628430808322,286.361123116014,0.000256653737546523,0.000303235336079068,1,0
Digital Signature Algorithm,ElGamal signature scheme,0,1018.20424174405,591.892194271717,1610.09643601577,449.886303352254,0.0071581901897178,0.043477257159888,1,1
Digital Signature Algorithm,Exponentiation by squaring,0,88.026915961945,29.9372727272727,117.964188689218,74.4103567653277,0.0020805011775718,0.00187529464803178,1,1
Digital Signature Algorithm,Strong cryptography,1,65.7833333333333,5.3876404494382,71.1709737827716,70.1043071161049,0.00030859356772391,0.000200598070911732,0,0
Discrete logarithm,Average-case complexity,0,16.7990445859873,63.6447052401746,80.443749826162,60.3456606541874,0.000328564004129455,0.00146611738904155,0,1
Discrete logarithm,Diffie–Hellman key exchange,0,685.791174603175,1477.89026252516,2163.68143712834,1027.79542070797,0.00380076585919372,0.00711077000961354,1,1
Discrete logarithm,ElGamal encryption,0,421.802537367596,413.471893731536,835.274431099132,102.204879522432,0.0021984678456126,0.0124643038945678,1,1
Discrete logarithm,General number field sieve,0,743.518911564626,18.4152777777778,761.934189342404,725.103633786848,0.00232412268550856,0.00270801150056158,1,0
Discrete logarithm,Group (mathematics),0,672.011096777193,20.1086995515695,692.119796328762,651.902397225623,0.00274478836758188,0.000782245280860542,1,0
Discrete logarithm,Multiplicative group of integers modulo n,0,346.366333820002,54.5880821917808,400.954416011783,369.856391163105,0.0015772660356544,0.00198792310905007,1,1
Discrete logarithm,Multiplicative order,0,26.1197072072072,10.4563636363637,36.5760708435709,15.6633435708436,0.000594891492432178,0.0021732394153302,0,0
Discrete logarithm,Pohlig–Hellman algorithm,0,725.986801779535,71.9895491803279,797.976350959863,653.997252599208,0.00183614557966831,0.0164522753963788,1,1
ElGamal encryption,Computational Diffie–Hellman assumption,0,387.881302462872,38.1418414918415,426.023143954714,349.739460971031,0.00325958169360984,0.0125969479686798,1,1
ElGamal encryption,Diffie–Hellman key exchange,0,1231.54276429523,660.95486704779,1892.49763134302,684.660136630353,0.0113896039765962,0.00475345360511254,1,1
ElGamal encryption,ElGamal signature scheme,0,1512.95874293032,562.602630958743,2075.56137388907,950.35611197158,0.0071823880462798,0.0414296846409714,1,1
ElGamal encryption,Ephemeral key,0,232.007142857143,2.2,234.207142857143,229.807142857143,0.00082805376421413,0.000613668061366806,1,0
ElGamal encryption,GNU Privacy Guard,0,230.630626780627,513.864950980392,744.495577761019,342.765675800235,0.00118681621173578,0.00157398553414654,1,1
