A,B,result,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Cell cycle,Cellular model,0,520.713586956522,11.575,532.288586956522,522.661413043478,0.000373678746515974,0.000674991665514746,0,0
Cell cycle,Cyclin-dependent kinase complex,0,275.934632950875,16.1390524193548,292.073685370229,266.00441946848,0.00035614390695322,0.00398735546615716,0,0
Cell cycle,Cytokinesis,0,2662.6383113136,342.724904903454,3005.36321621706,2320.6844812626,0.00581458913777619,0.0333533159089362,1,1
Cell cycle,Eukaryote,0,1506.72888368382,144.381961828613,1651.11084551243,1381.07259089062,0.0132262089795824,0.0111796891723897,1,1
Cell cycle,Leland H. Hartwell,0,68.2266364070712,29.1260180995475,97.3526545066187,39.1006183075237,9.44488709264023E-05,0.0150409627487772,0,0
Cell cycle,Metaphase,1,5625.29557770856,958.019154657928,6583.31473236649,4667.27642305063,0.00656005462413906,0.0326511638031616,1,1
Cell cycle,Midblastula,0,34.5553571428571,30.9143159806295,65.4696731234867,3.6410411622276,0.000803697582056715,0.0346480231436837,0,0
Cell cycle,Ploidy,0,843.281542835274,57.5057222996349,900.787265134909,826.162706663078,0.00464115143020496,0.00555164125921652,1,1
Cell cycle,Retinoblastoma protein,0,275.49,177.451068079406,452.941068079406,110.054184021435,0.000682607957056682,0.0566670628691379,1,1
Cell cycle,Thymidine kinase,0,26.9409567901235,42.2021999525616,69.1431567426852,15.2612431624382,0.000916610000242218,0.00635886332332057,1,1
Centromere,Anti-nuclear antibody,0,24.5645401174168,21.1244866650932,45.6890267825101,4.89584292600781,0.00453686931592401,0.00297304573502331,0,0
Centromere,Caenorhabditis elegans,0,154.573846153846,21.990243902439,176.564090056285,145.956397748593,0.000433967906489964,0.000501822144403072,0,0
Centromere,Chromosome,0,1197.86347184423,7525.33123404945,8723.19470589368,6335.93744434992,0.021484551524324,0.00971451991391121,1,1
Centromere,Chromosome 13 (human),0,36.55,12.2166666666667,48.7666666666667,24.3333333333333,8.0336515865023E-05,0.00714424951267056,0,0
Centromere,DNA,0,139.270790777834,279.635611309221,418.906402087055,164.765735024169,0.0374463350012037,0.00427074869025425,1,1
Centromere,Genetics,0,116.333432631117,313.427497592377,429.760930223494,327.801816761595,0.00287989391190155,0.00277401734837085,1,1
Centromere,Kinetochore,0,5204.40423690106,1515.2174481834,6719.62168508447,3701.6902756192,0.0266632288242893,0.0845291743823249,1,1
Centromere,RNA interference,0,37.8304649947754,37.0477819548872,74.8782469496626,1.05601637322145,0.00855239031601831,0.0037269524760801,0,0
Centromere,Robertsonian translocation,0,504.465500510725,3543.12193189341,4047.58743240414,3038.65643138269,0.00468137871041656,0.170584119094706,1,1
Centromere,Schizosaccharomyces pombe,0,160.467132216015,30.0568387030577,190.523970919073,138.869706487043,0.00750530846103285,0.00655717861684962,1,1
Centromere,Sister chromatids,0,2860.84123776565,937.630154863602,3798.47139262926,1946.84696642529,0.0198674950206726,0.035394478464235,1,1
Centrosome,Amorphous solid,0,328.98905775076,13.2,342.18905775076,327.725227963526,0.000783301989258801,0.000145915233239195,0,0
Centrosome,Astral microtubules,0,168.947789218655,39.7119249171881,208.659714135843,129.235864301467,0.00431388165964703,0.0366560722197348,1,1
Centrosome,Centrin,0,395.209984726054,82.6435286458334,477.853513371888,337.778704142237,0.00656188976880227,0.295925841891749,1,1
Centrosome,Centriole,0,4050.0510531347,5124.40747713825,9174.45853027294,1080.5015238239,0.021845288877722,0.0495510068047637,1,1
Centrosome,Cyclin-dependent kinase 2,0,27.0221078431373,35.829865910263,62.8519737534002,32.4896628290305,0.00217506495979771,0.00531152978214842,0,0
Centrosome,Flagellum,1,98.1021807796033,29.3499400493619,127.452120828965,80.1847406913622,0.0022912560779436,0.000655572093537761,1,0
Centrosome,Golgi apparatus,0,34.5885208995013,2758.57711764706,2793.16563854656,2728.80808061853,0.00198460472406346,0.0109256974065637,0,1
Centrosome,Mitochondrion,0,53.8874769378142,73.279295897153,127.166772834967,19.3918189593388,0.0083325001618553,0.00177715876038375,1,1
Centrosome,Nuclear envelope,0,57.4072162485066,14.8935307017544,72.300746950261,52.6761855467522,0.00171988354329061,0.00548485508825452,1,1
Centrosome,Ribosome,0,118.719061302682,1705.28721035893,1824.00627166161,1748.63185094375,0.00496864489587926,0.0091183560800444,1,1
Centrosome,RNA polymerase,0,32.9678792869599,26.9774571453183,59.9453364322782,16.7534335982701,0.0118594320512357,0.00200452869548793,0,0
Centrosome,Vesicle (biology and chemistry),0,25.8872866137795,24.7463474686731,50.6336340824525,16.5360221591549,0.00290119873312727,0.00216496341509145,1,1
Centrosome,Zygote,0,11.0549107142857,41.3747635850389,52.4296742993246,31.5084242993245,0.000230379863975839,0.00183852715384059,0,0
Chiasma (genetics),Belgium,0,87.0209912536443,76.1439344262295,163.164925679874,10.8770568274148,0.0165953053303332,0.00157652745252935,0,0
Chiasma (genetics),Chromatid,0,479.090054750849,142.856679599755,621.946734350604,342.159664368548,0.0103984969009452,0.0068072425840144,1,1
Chiasma (genetics),Chromosomal crossover,0,1613.08649626966,1113.84782256986,2726.93431883952,505.377401558092,0.029066966281215,0.0192128510849146,1,1
Chiasma (genetics),Frans Alfons Janssens,0,143.22283957678,44.2387190300473,187.461558606828,108.718186480799,0.00451411298370896,0.0074579961202276,1,1
Chiasma (genetics),Genetics,0,41.8209606986899,14.84765625,56.6686169486899,26.9733044486899,0.00470297130316866,0.000986358872182578,0,0
Chiasma (genetics),Meiosis,1,1248.74036907846,2084.70588415569,3333.44625323415,861.503989198522,0.0274351470997088,0.00490832271178958,1,1
Chromatid,Cell division,1,40.7807370651205,57.8837601067354,98.6644971718557,17.1030230416149,0.014036488365796,0.00444989062604806,1,1
Chromatid,Chromosome,1,2975.95118474489,3522.38330839166,6498.33449313655,547.84542302238,0.040732603049842,0.00593527836407339,1,1
Chromatid,DNA replication,0,447.548370927318,68.4245805369128,515.972951464231,379.123790390406,0.0183375318587212,0.00512240744803315,1,1
Chromatid,Homologous chromosome,1,928.388605217689,376.247052257161,1304.63565747485,593.684153858194,0.0123195824467165,0.0166177166983154,1,1
Chromatid,Meiosis,0,878.959605792438,505.50618166445,1384.46578745689,427.346575872012,0.0202152620439148,0.00408693724034428,1,1
Chromatid,Ploidy,0,507.255134917646,90.4251111111112,597.680246028757,518.169976193466,0.00985624938551482,0.00382324498834712,1,1
Chromatid,Sister chromatids,0,1698.71600298656,2150.23868118045,3848.95468416702,481.211532197034,0.0214483779952403,0.049141562388593,1,1
Chromosomal crossover,Allele,1,91.7370245800078,69.6837423312884,161.420766911296,68.4990987036616,0.00739275436590031,0.00471788163099723,1,1
Chromosomal crossover,Cell (biology),0,16.3526162790698,36.7311908177905,53.0838070968604,20.3785745387208,0.00175680872990831,0.0007876873825374,0,0
Chromosomal crossover,Chiasma (genetics),0,1112.11272997727,1602.82964178874,2714.94237176601,502.994367528054,0.0127974453435302,0.0847721395062737,1,1
