A,B,result,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Angle,Astronomy,0,11.5030303030303,50.5754237288136,62.0784540318438,39.0723934257833,0.00104757988624541,0.00029853307154559,0,0
Angle,Longitude,0,6.56333333333333,17.4317771084337,23.9951104417671,11.3684437751004,0.000130034620948259,0.00045796555944941,0,0
Angle,Metric tensor,0,70.7457026157991,24.4844285145361,95.2301311303351,75.0803126467753,0.00231201405972978,0.00321265242554535,1,0
Angle,Perpendicular,0,491.022703725842,1691.26720316416,2182.28990689,1203.67958715762,0.00316317092778644,0.0553276091409363,1,1
Angle,Triangle,0,519.904262934089,753.473048689139,1273.37731162323,243.188801819306,0.0110323623537413,0.0110370811399886,1,1
Angle,Variable (mathematics),0,72.7867715617716,28.7065789473684,101.49335050914,76.7895043552938,0.0013731601569281,0.000852313791489598,1,0
Angle,Vertex (geometry),0,1445.90782945736,805.787591210614,2251.69542066798,656.779761753249,0.00383125316805107,0.0188108637584072,1,1
Axiom,Boethius,0,53.0814814814815,18.4759615384616,71.557443019943,56.6944800569801,0.000204119687338968,0.000478591528668417,0,0
Axiom,Circle,0,55.7451443894389,88.6921014492754,144.437245838714,32.9469570598364,0.00616575329395551,0.0107559398768378,1,1
Axiom,Complex analysis,0,62.0623737373737,17.60197740113,79.6643511385035,44.4603963362438,0.00423148189855041,0.000920301176223713,1,0
Axiom,Determinism,0,1.65,2.240625,3.890625,0.590625,4.61625363320144E-07,4.544158189942E-05,0,0
Axiom,Euclidean geometry,1,1845.86415571013,8397.88220346612,10243.7463591762,6561.53867465995,0.0163293315621758,0.015947157918151,1,1
Axiom,Henri Poincaré,0,28.0454545454546,30.359375,58.4048295454546,4.11392045454546,0.00155257199467201,0.00153961636713671,0,0
Axiom,Inaccessible cardinal,0,25.5173489553924,15.381299294313,40.8986482497054,25.1950746940175,0.000531521053474402,0.00108299294063019,0,0
Axiom,Löwenheim–Skolem theorem,0,52.0710700496415,81.8645833333333,133.935653382975,35.9635813109027,0.00281613424932144,0.0175590579222079,1,0
Axiom,Naive set theory,0,80.913418098831,20.2061894363314,101.119607535162,60.7072286624996,0.00293342781683619,0.0054494386967527,1,0
Elliptic geometry,Gödel's incompleteness theorems,0,266.302991452991,29.5638996138996,295.866891066891,239.560908160908,0.0086365006814061,0.00210919713578574,1,0
Elliptic geometry,Great circle,0,141.08728726518,35.8766325660699,176.96391983125,116.479632578592,0.00844365360758473,0.0118613185558581,1,0
Elliptic geometry,Hyperbolic geometry,0,1638.24814852362,1786.43062886034,3424.67877738396,148.514920528105,0.035311156367823,0.00968224072706368,1,1
Elliptic geometry,Line (geometry),0,48.8205475197585,41.9588793103449,90.7794268301033,6.8616682094137,0.0165761579081272,0.00966007372130443,1,1
Elliptic geometry,Non-Euclidean geometry,1,583.065863323736,6209.0700461477,6792.13590947144,5632.29265136701,0.0314849318980726,0.027140886290506,1,1
Elliptic geometry,Orientability,0,27.1262711864408,49.5136956521739,76.6399668386146,22.3874244657333,0.00337253742288367,0.00459655916478375,0,0
Elliptic geometry,Playfair's axiom,0,68.3190783016268,42.8207514556041,111.139829757231,25.4983268460226,0.0243852513966514,0.0150257300670016,1,1
