A,B,result,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Certificate authority,Kerberos (protocol),1,309.816095890411,24.7518000458611,334.567895936272,285.06429584455,0.00215286462784163,0.000608345206696484,1,0
Certificate authority,Key Ceremony,1,1446.5,273.9,1720.4,1172.6,0.000994943089117736,0.196203438395416,0,0
Certificate authority,OpenSSL,1,1453.99343159486,28.8703703703703,1482.86380196523,1430.62972789116,0.00338565051701946,0.000112203312293095,1,0
Certificate authority,Public key certificate,1,16965.5473461555,4401.53245599228,21367.0798021478,12564.0148901632,0.0235537403888109,0.0199606493819819,1,1
Certificate authority,X.509,1,6810.2632997247,3098.15533807003,9908.41863779473,3715.58994363666,0.00979987356754044,0.0164901576269588,1,1
Cryptography,Computer,0,552.293728925378,229.437494037791,781.731222963169,324.022901554253,0.00411120189521502,0.00241083392488347,1,1
Cryptography,Cryptography standards,0,1145.391115727,104.99937282721,1250.39048855421,1040.39174289979,0.000842093827529568,0.0204762847528972,1,1
Cryptography,Firefox,0,41.9855263157894,25.1676666666667,67.1531929824561,17.9178596491228,0.000217822648042511,0.000130723347664884,0,0
Cryptography,Internet,0,64.9756755795964,36.5425892857143,101.518264865311,28.433086293882,0.000747737356981216,0.000679412966680923,1,0
Cryptography,Microsoft Outlook,0,745.490189125296,34.9116666666667,780.401855791962,739.81036643026,0.000282860684300303,0.000961104775980583,1,0
Cryptography,Phil Zimmermann,0,306.733527173913,162.868362068965,469.601889242879,147.984889242879,0.000276972433236468,0.013042399593602,1,1
Cryptography,Social engineering (security),0,1021.36274914089,35.3972355072464,1056.75998464814,1023.99651535186,0.000193922908457904,0.00141530588059434,1,0
Cryptography,Steven Levy,0,988.709359605911,24.4658823529411,1013.17524195885,964.24347725297,0.000775910194806008,0.0146017920476896,1,0
Diffie–Hellman key exchange,Charles Babbage Institute,0,5.54032258064515,5.79285714285714,11.3331797235023,0.252534562211982,3.06577027768293E-05,3.54915750907201E-05,0,0
Diffie–Hellman key exchange,Communication,0,20.8476585365854,7.166,28.0136585365854,13.6816585365854,0.000259282947123629,0.000117344892813228,0,0
Diffie–Hellman key exchange,Cyclic group,0,586.963636363636,9.84428571428571,596.807922077922,577.880649350649,0.000708342477376837,0.000361802934746313,0,0
Diffie–Hellman key exchange,Dc (computer program),0,3.72,2.13947368421052,5.85947368421052,1.58052631578948,3.32013549722866E-06,2.55590612373729E-05,0,0
Diffie–Hellman key exchange,Power associativity,0,8.87500000000001,5.27368421052631,14.1486842105263,3.60131578947369,3.80209065005218E-05,0.000173281452658884,0,0
