A,B,result,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Attribution of recent climate change,Celsius,1,59.4652542372884,8.971875,68.4371292372884,50.4933792372881,0.00114531003790333,8.60908803039901E-05,0,0
Attribution of recent climate change,Climate oscillation,1,145.441666666667,2.40714285714286,147.84880952381,143.034523809524,0.000431145782088031,0.000187896562106226,0,0
Attribution of recent climate change,Effects of global warming,1,208.634782608696,889.178846153846,1097.81362876254,715.055936454849,0.00229975438494885,0.00255255174021985,1,1
Attribution of recent climate change,El Niño–Southern Oscillation,0,37.2439682539682,11.1048076923077,48.348775946276,26.1391605616605,0.00108691979274818,0.000132919944008334,0,0
Attribution of recent climate change,Enteric fermentation,0,25.2227272727273,13.3080357142857,38.530762987013,27.530762987013,7.34602622127862E-05,0.000332202737056352,0,0
Attribution of recent climate change,Environmental impact of aviation,0,243.647911714771,160.400795678564,404.048707393335,95.899857264277,0.0321979229643789,0.0110613430429189,1,1
Attribution of recent climate change,Fertilizer,0,309.548542159181,427.224238782052,736.772780941232,117.675696622871,0.0278982079669945,0.0392579617777672,1,1
Attribution of recent climate change,IPCC First Assessment Report,0,169.668021097429,52.1764933390632,221.844514436492,117.491527758365,0.0129671496654387,0.0322017916159027,1,1
Attribution of recent climate change,Radiative forcing,0,182.957868357488,60.2101468272348,243.168015184723,122.747721530253,0.0174318081483565,0.00243188485659121,1,1
Attribution of recent climate change,Slash-and-burn,0,56.7956834532374,32.5687194308582,89.3644028840958,24.2269640223793,0.00197462467693952,0.000357314762323461,0,0
Attribution of recent climate change,Water vapor,1,195.560294871795,70.9151963984446,266.475491270239,124.645098473351,0.0322054009549233,0.00378226987170619,1,1
Carbon cycle,Calvin cycle,0,44.5035805519744,36.7301685891748,81.2337491411493,13.7621243373816,0.00288478013949001,0.00254052568418131,0,1
Carbon cycle,Combustion,1,101.040671476538,57.3782170579476,158.418888534486,45.0130496566853,0.0191592830163721,0.00405038284510019,1,1
Carbon cycle,Deficit irrigation,0,11.0366666666667,7.51666666666669,18.5533333333333,3.52,6.87207480204647E-05,0.000145450089011585,0,0
Carbon cycle,Ocean,0,67.0239191283051,885.15858807083,952.182507199135,824.552617660473,0.0173763892663501,0.0175385063325564,1,1
Carbon cycle,Organic compound,1,62.8385598388839,102.205750292932,165.044310131815,39.3671904540476,0.0133443806710188,0.00920836716848183,1,1
Carbon cycle,Peat,0,71.6576796988829,94.8789581370958,166.536637835979,59.221278438213,0.00739622177737165,0.00753502496902031,1,1
Carbon cycle,Respiration (physiology),0,51.9507937247593,46.9296842105263,98.8804779352857,13.1857193145959,0.00144072891217029,0.00361264201611238,1,1
Carbon cycle,Sediment trap,0,56.3988888888888,74.7396361185986,131.138525007487,18.3407472297095,0.00729448124600803,0.014209552180893,0,0
Carbon cycle,Solubility pump,0,43.8877980295567,62.0599085742523,105.947706603809,32.2441105446959,0.00212590501694409,0.00741557101746961,1,0
Carbon cycle,Volcanic gas,0,42.7166666666667,19.8868421052632,62.60350877193,22.8298245614035,0.0015426780543996,0.000202183268953244,0,0
Carbon cycle,Volcano,0,36.8860429447853,707.877375565613,744.763418510398,673.091332620823,0.00485036477413061,0.0153526280331055,0,0
Carbon dioxide,Apnea,0,194.398457792208,74.7921476848159,269.190605477024,171.039838773847,0.00084063928826937,0.0172220168415841,1,1
Carbon dioxide,Calcium hydroxide,0,148.961066783606,99.5188368055554,248.479903589161,83.1376687630555,0.00130059275259505,0.0128041960713415,1,1
