A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Null hypothesis,Type I and type II errors,89.5106382978723,871.774193548387,961.284831846259,782.263555250515,0.000979128524350055,0.00111064082681158,1,1
Statistical classification,Regression analysis,278.322033898305,59.48,337.802033898305,218.842033898305,0.00253383704513381,1.26902984716383E-05,1,0
Probability density function,Median,20.3333333333333,14.75,35.0833333333333,5.58333333333333,0.00399086745328582,1.754181492969E-05,0,0
Statistical classification,Random forest,135.902777777778,169.310344827586,305.213122605364,33.4075670498084,0.00183715829669632,5.23277615741708E-05,1,1
Anomaly detection,Association rule learning,12,20.75,32.75,8.75,0.00200317156583938,9.16839356489234E-05,0,0
Statistical classification,Support vector machine,323,339.933333333333,662.933333333333,16.9333333333333,0.00251613558873068,0.000198196601388892,1,1
Feedforward neural network,Machine learning,13308.5428571429,0,13308.5428571429,13308.5428571429,2.81515046416201E-05,0,1,0
Data mining,Statistical hypothesis testing,119.503649635036,0,119.503649635036,119.503649635036,0.000640863050988356,0,1,0
Posterior probability,Conditional probability distribution,155.222222222222,0,155.222222222222,155.222222222222,0.000126642000446972,0,1,0
Regression analysis,Linear regression,283.576086956522,470.741935483871,754.318022440393,187.165848527349,0.0786712312273102,7.64193190510288E-05,1,1
Central tendency,Median,172.086092715232,45.3333333333333,217.419426048565,126.752759381898,0.0142768348148652,5.39138266765614E-05,1,0
Data mining,Cluster analysis,282.296296296296,182.310344827586,464.606641123883,99.9859514687101,0.0131501123718308,3.7062322935313E-05,1,1
Null hypothesis,Statistical hypothesis testing,91.8725490196078,434.5,526.372549019608,342.627450980392,0.0804884657634566,0.000229720491755176,1,1
Statistical hypothesis testing,Statistical significance,123.396226415094,402.8,526.196226415094,279.403773584906,0.012191869787865,0.000375558139253005,1,1
Likelihood function,Posterior probability,13,370.655172413793,383.655172413793,357.655172413793,0.000683510828426439,0.000784662974149337,0,1
Decision tree learning,Bootstrap aggregating,22.375,82.1923076923077,104.567307692308,59.8173076923077,0.00161282315210448,0.00038745466399685,0,0
Mixture model,Cluster analysis,649.645833333333,0,649.645833333333,649.645833333333,0.00040106784313234,0,1,0
Interquartile range,Descriptive statistics,275.38202247191,18.5454545454545,293.927477017365,256.836567926456,0.00162471627360541,8.05025569427339E-05,1,0
Ensemble learning,Boosting (machine learning),19.6666666666667,122.5,142.166666666667,102.833333333333,0.0020201660836389,0.00025089246032315,0,1
Cluster analysis,False positives and false negatives,22.5833333333333,0,22.5833333333333,22.5833333333333,0.00116643349743279,0,0,0
Conditional probability,Conditional probability distribution,48.8333333333333,192.607142857143,241.440476190476,143.77380952381,0.0372528092560995,0.000414818201481193,0,1
Statistical classification,Precision and recall,19.4705882352941,71.4736842105263,90.9442724458204,52.0030959752322,0.000388799845997329,2.77806241438868E-05,0,0
Conditional probability distribution,Likelihood function,69.943661971831,35,104.943661971831,34.943661971831,0.000580372877482681,3.78885880655278E-05,0,0
Confidence interval,Bayes' theorem,13,0,13,13,0.000202905412260318,0,0,0
Cluster analysis,OPTICS algorithm,22,16.0909090909091,38.0909090909091,5.90909090909091,0.0134915125224212,0.000322443722640104,0,0
Statistical hypothesis testing,Type I and type II errors,18.6923076923077,302.666666666667,321.358974358974,283.974358974359,0.020099084445926,0.000385597508394602,0,1
Posterior probability,Prior probability,87.8888888888889,254.241379310345,342.130268199234,166.352490421456,0.00851853691241837,0.00050992789427306,0,1
Central tendency,Standard deviation,409.752873563218,12,421.752873563218,397.752873563218,0.00148013024534535,5.6934722774634E-07,1,0
Decision tree learning,Statistical classification,196.02752293578,143.068965517241,339.096488453021,52.9585574185384,0.000147944171760867,5.20902195571995E-05,1,1
Mixture model,Statistical population,277.741935483871,21.6842105263158,299.426146010187,256.057724957555,0.00149958086935879,5.4612336582193E-05,1,0
Decision tree learning,Machine learning,318.320987654321,595.870967741935,914.191955396257,277.549980087614,0.00103759503013494,1.5178614888925E-05,1,1
Interquartile range,Quartile,442,434.59375,876.59375,7.40625,0.00773581456760896,0.00265140076016863,1,1
Posterior probability,Probability density function,705.862068965517,0,705.862068965517,705.862068965517,0.000294256412803258,0,1,0
Interquartile range,Statistical dispersion,54.7,603.258064516129,657.958064516129,548.558064516129,0.00241267260946648,0.000923269861348574,0,1
Arithmetic mean,Principal component analysis,13.3333333333333,0,13.3333333333333,13.3333333333333,1.86901760327041E-05,0,0,0
Regression analysis,Stepwise regression,22.2941176470588,109.148148148148,131.442265795207,86.8540305010893,0.00108026977181611,0.00103603299555916,0,1
Data mining,Association rule learning,123.2375,18.0909090909091,141.328409090909,105.146590909091,0.00937945302531795,7.99347346950088E-05,1,0
Conditional probability,Posterior probability,36.1489361702128,82.9615384615385,119.110474631751,46.8126022913257,0.00802838827216304,0.000175626437600505,0,1
Statistical dispersion,Interquartile range,21.75,108.76,130.51,87.01,0.0105255396724087,0.000336659897974345,0,1
Feedforward neural network,Artificial neural network,860.80701754386,119.692307692308,980.499325236167,741.114709851552,0.0042711462842266,7.56077403375579E-06,1,0
Interquartile range,Median,118.48275862069,28.85,147.33275862069,89.6327586206897,0.000893549583572175,3.43106007268852E-05,1,0
Genetic algorithm,Fitness function,60.8148148148148,52.6666666666667,113.481481481481,8.14814814814815,0.0058650510460375,0.00208094617198098,0,1
Likelihood function,Conditional probability distribution,176.025641025641,20,196.025641025641,156.025641025641,1.80006613957301E-05,4.30740205506152E-05,1,0
Central tendency,Arithmetic mean,359.296296296296,103.620689655172,462.916985951469,255.675606641124,0.0245643516440837,3.35111472350003E-05,1,1
Machine learning,Random forest,93.5833333333333,86.1666666666667,179.75,7.41666666666666,0.0411436380295848,2.66310295071807E-05,1,0
Median,Interquartile range,22.3846153846154,45.7727272727273,68.1573426573427,23.3881118881119,0.00255117187154575,0.000141686665075799,0,0
Machine learning,Support vector machine,46.2307692307692,296.666666666667,342.897435897436,250.435897435897,0.0512420143802163,0.000172970165950298,0,1
Feedforward neural network,Gradient descent,79.945945945946,0,79.945945945946,79.945945945946,0.00109453050046619,0,0,0
Bayesian network,Joint probability distribution,14.3333333333333,87.92,102.253333333333,73.5866666666667,0.0148050942983563,5.73792210470533E-05,0,1
Sensitivity and specificity,Statistical classification,65.6818181818182,0,65.6818181818182,65.6818181818182,0.014360543817315,0,1,0
Bayes' theorem,Conditional probability,69.1184210526316,664.290322580645,733.408743633277,595.171901528014,0.0399545094187735,0.000282146178135941,1,1
Confidence interval,Type I and type II errors,136.321428571429,14.5,150.821428571429,121.821428571429,0.000214500007246622,1.84730083867458E-05,1,0
Sensitivity and specificity,Accuracy and precision,14.7647058823529,104.346153846154,119.110859728507,89.5814479638009,0.0418339120710965,0.000316150648522517,0,1
Bayesian network,Bayes' theorem,13.1666666666667,31.0833333333333,44.25,17.9166666666667,0.0064477868066421,2.35166065070261E-05,0,0
Decision tree learning,Data mining,731.387096774194,27.8095238095238,759.196620583717,703.57757296467,0.00124676889266932,3.52332775700352E-06,1,0
Decision tree learning,Decision tree,106.339622641509,955.53125,1061.87087264151,849.191627358491,0.00680774870011021,0.000931316100081774,0,1
DBSCAN,Anomaly detection,244.689655172414,0,244.689655172414,244.689655172414,0.00117826684902651,0,1,0
Likelihood function,Conditional probability,128.210526315789,0,128.210526315789,128.210526315789,0.000510190174416123,0,1,0
Sensitivity and specificity,False positives and false negatives,41.8571428571429,317.206896551724,359.064039408867,275.349753694581,0.0893002177623448,0.00109038405486081,1,1
Anomaly detection,Support vector machine,235.588235294118,47.3846153846154,282.972850678733,188.203619909502,0.00475147004575109,2.76273869210156E-05,1,0
Least squares,Arithmetic mean,21.75,0,21.75,21.75,0.000116996593770055,0,0,0
Statistical classification,Artificial neural network,398.018072289157,68.25,466.268072289157,329.768072289157,0.00303263879877917,4.31124470530195E-06,1,0
Cluster analysis,K-means clustering,39.6304347826087,643.032258064516,682.662692847125,603.401823281907,0.056362348513414,0.000204870204848622,0,1
Cluster analysis,Data mining,505.614173228346,365.103448275862,870.717621504209,140.510724952484,0.00931561012224646,4.62567831904947E-05,1,1
Cluster analysis,Artificial neural network,406.308510638298,86.6666666666667,492.975177304965,319.641843971631,0.0044807256555462,5.47459645117708E-06,1,0
Regression analysis,Data mining,806.185185185185,171.366666666667,977.551851851852,634.818518518519,0.000950933026045649,2.17113006834393E-05,1,1
Confidence interval,Median,182.260869565217,0,182.260869565217,182.260869565217,0.00043914528510626,0,1,0
Mixture model,Bayesian network,22.1578947368421,13.5,35.6578947368421,8.65789473684211,0.00353146133934542,8.03396881034775E-06,0,0
Data mining,Decision tree,105.260869565217,0,105.260869565217,105.260869565217,0.0014282800554973,0,1,0
Hierarchical clustering,Cluster analysis,268.4,744.25,1012.65,475.85,0.00669635376371305,0.000151300431528957,1,1
K-medoids,Cluster analysis,11,26.7368421052632,37.7368421052632,15.7368421052632,0.00121531982883538,5.43539905710164E-06,0,0
Anomaly detection,Statistical classification,182.75,20.9411764705882,203.691176470588,161.808823529412,0.00124040851178902,7.62450805592457E-06,1,0
Statistical classification,Receiver operating characteristic,27.7777777777778,12.6,40.3777777777778,15.1777777777778,0.00033948864601718,3.17381152093582E-05,0,0
Statistical hypothesis testing,Confidence interval,70.9019607843137,152.928571428571,223.830532212885,82.0266106442577,0.00541918353037191,5.89298093399096E-05,1,1
Statistical population,Sampling (statistics),55.6949152542373,122.6,178.294915254237,66.9050847457627,0.00142326777631665,0.000712397222464336,0,1
Statistical hypothesis testing,Statistical model,69.2016129032258,83.9655172413793,153.167130144605,14.7639043381535,0.0056295368204468,0.000176154268022589,1,1
Bayes' theorem,Bayesian network,58.5375,63.875,122.4125,5.3375,0.000911277486437723,3.80125746489602E-05,0,1
Central tendency,Level of measurement,76.5333333333333,34.0909090909091,110.624242424242,42.4424242424242,0.00708872295188124,0.000122113044115372,1,0
Artificial neural network,Backpropagation,25.2631578947368,476.46875,501.731907894737,451.205592105263,0.111369895889284,0.000388448939460767,0,1
Bayesian network,Conditional independence,15.7777777777778,0,15.7777777777778,15.7777777777778,0.0148135062837531,0,0,0
Hierarchical clustering,DBSCAN,414.866666666667,28.1176470588235,442.98431372549,386.749019607843,7.1306077773539E-05,8.82191452155417E-05,1,0
Decision tree learning,Pruning (decision trees),20,50.2222222222222,70.2222222222222,30.2222222222222,0.000705961786053531,0.00146604262551368,0,1
Cluster analysis,Precision and recall,117.766666666667,0,117.766666666667,117.766666666667,0.000583216748716395,0,1,0
Cluster analysis,Information retrieval,48.551724137931,0,48.551724137931,48.551724137931,0.00167917088074539,0,0,0
Machine learning,K-means clustering,10.5,87.0344827586207,97.5344827586207,76.5344827586207,0.00277321759094439,2.77292034544611E-05,0,0
Standard deviation,Student's t-test,62.1466666666667,116.653846153846,178.800512820513,54.5071794871795,0.000390849948969992,9.6087712589708E-05,0,0
Central tendency,Mode (statistics),156.347222222222,40.5,196.847222222222,115.847222222222,0.0136621526261991,0.000116420793616116,1,0
Conditional probability,Conditional independence,16.875,13,29.875,3.875,0.00260361787319089,0.000182392143107682,0,0
Conditional probability distribution,Bayes' theorem,303.430555555556,48.8333333333333,352.263888888889,254.597222222222,0.00391388959252383,3.69456606249794E-05,1,0
Mixture model,Expectation–maximization algorithm,156.490196078431,80.8,237.290196078431,75.6901960784314,0.0103333950171744,0.000240515560582834,1,1
Conditional probability distribution,Conditional probability,25.4705882352941,195.714285714286,221.18487394958,170.243697478992,0.00978109665082531,8.31263618388595E-05,0,1
Statistical population,Sample (statistics),81.25,179.615384615385,260.865384615385,98.3653846153846,0.00485611118780015,0.000448930718166102,0,1
DBSCAN,Cluster analysis,365.103448275862,414.866666666667,779.970114942529,49.7632183908046,0.0347380345296594,8.43392753693604E-05,1,1
Statistical classification,Decision tree learning,458.59375,24.8333333333333,483.427083333333,433.760416666667,0.00262297652202101,9.16178970458332E-06,1,0
Conditional probability distribution,Probability density function,394.764705882353,10,404.764705882353,384.764705882353,0.00343326830335848,1.96667431047415E-06,1,0
Regression analysis,Standard deviation,16,15.4285714285714,31.4285714285714,0.571428571428571,2.58673491540915E-05,7.32017864245294E-07,0,0
Arithmetic mean,Regression analysis,137.325581395349,0,137.325581395349,137.325581395349,1.99224953315637E-05,0,1,0
Sensitivity and specificity,Precision and recall,42.8571428571429,1495.56666666667,1538.42380952381,1452.70952380952,0.150944617738803,0.000581301718355709,1,1
Machine learning,Bayesian network,178.730769230769,31.5555555555556,210.286324786325,147.175213675214,0.06086871642747,1.87789888241873E-05,1,0
Mixture model,Posterior probability,13.5,0,13.5,13.5,3.09647967124233E-05,0,0,0
Least squares,Regression analysis,44.4545454545455,739.4,783.854545454545,694.945454545454,0.0292935775287555,0.000157753979319593,0,1
Cluster analysis,Hierarchical clustering,24.3214285714286,302.935483870968,327.256912442396,278.614055299539,0.0419634141614189,0.00028592279183405,0,1
Probability density function,Likelihood function,37.9767441860465,72.125,110.101744186047,34.1482558139535,0.00756808969861671,7.80775546921769E-05,0,1
Bayes' theorem,Naive Bayes classifier,50.6190476190476,1164.16129032258,1214.78033794163,1113.54224270353,0.000896618867352934,0.000424784760047224,0,1
Likelihood function,Regression analysis,136.613333333333,0,136.613333333333,136.613333333333,5.65735072437233E-06,0,1,0
Central tendency,Interquartile range,22.7222222222222,23.5,46.2222222222222,0.777777777777779,0.000553519781833695,7.27428062007825E-05,0,0
Cluster analysis,Confusion matrix,33.8,0,33.8,33.8,0.000914469766114226,0,0,0
Linear regression,Regression analysis,178.814606741573,2060.25806451613,2239.0726712577,1881.44345777456,0.00518452253222696,0.000439564387479986,1,1
Arithmetic mean,Central tendency,100.888,535.5,636.388,434.612,0.000617186582178856,0.00141612344471036,1,1
Arithmetic mean,Cluster analysis,12.6666666666667,0,12.6666666666667,12.6666666666667,1.2733966088216E-05,0,0,0
Arithmetic mean,Poisson regression,14,0,14,14,1.86901760327041E-05,0,0,0
Regression analysis,Machine learning,38.5833333333333,568.5,607.083333333333,529.916666666667,0.00791048172702741,1.4481394515752E-05,0,1
Machine learning,Backpropagation,38.7575757575758,39.8421052631579,78.5996810207337,1.08452950558214,0.018901069072707,3.24819277976948E-05,0,0
Cluster analysis,Statistical classification,253.166666666667,309.857142857143,563.02380952381,56.6904761904762,0.0103040832220347,0.000112816406719946,1,1
Cluster analysis,Clustering high-dimensional data,13,31.8095238095238,44.8095238095238,18.8095238095238,0.00845576186432017,0.00044256113041243,0,0
Anomaly detection,Data mining,241.765432098765,244.689655172414,486.455087271179,2.92422307364834,0.00215160907732125,3.10009570759114E-05,1,1
Statistical hypothesis testing,Student's t-test,19.3269230769231,200.6,219.926923076923,181.273076923077,0.00137591742196525,0.000165234115985124,0,1
Confidence interval,Statistical significance,122.686274509804,78.0416666666667,200.727941176471,44.6446078431373,0.00468856434758663,7.27636125062974E-05,1,0
Interquartile range,Histogram,44.1162790697674,35.2631578947368,79.3794369645043,8.8531211750306,9.76072037665733E-06,0.000100307660061831,0,0
Joint probability distribution,Conditional probability,100.495238095238,155.25,255.745238095238,54.7547619047619,0.00671585018488049,6.5939834838234E-05,1,1
Central tendency,Descriptive statistics,216.333333333333,118.464285714286,334.797619047619,97.8690476190476,1.68196618789244E-05,0.000514232632207551,1,1
Standard deviation,Correlation and dependence,116.704225352113,346,462.704225352113,229.295774647887,0.000460980574386927,8.04007769596469E-05,1,1
Artificial neural network,Feedforward neural network,21,270.928571428571,291.928571428571,249.928571428571,0.0142257979726409,0.000395351673287131,0,1
K-medoids,K-means clustering,27.25,260.366666666667,287.616666666667,233.116666666667,0.00970556115055943,8.29528715966861E-05,0,1
Central tendency,Quartile,49.0416666666667,0,49.0416666666667,49.0416666666667,0.000250765868013055,0,0,0
Central tendency,Statistical dispersion,38.7735849056604,154.068965517241,192.842550422902,115.295380611581,0.00859026003961795,0.000235798310537825,0,0
Data mining,Anomaly detection,135.615384615385,63.6521739130435,199.267558528428,71.9632107023411,0.00881310893374685,7.75394980059002E-05,1,0
Dimensionality reduction,Principal component analysis,108.222222222222,149.838709677419,258.060931899642,41.6164874551971,0.0365717280613815,8.62517079973586E-05,1,1
Posterior probability,Conditional probability,30.5769230769231,51.3478260869565,81.9247491638796,20.7709030100334,0.00267810583298155,2.18091283186878E-05,0,0
Interquartile range,Standard deviation,338.977272727273,24.0454545454545,363.022727272727,314.931818181818,0.000690349132094491,1.1408510737796E-06,1,0
Confidence interval,Statistical population,213.11,0,213.11,213.11,5.79729749315194E-05,0,1,0
Arithmetic mean,Linear regression,29.3846153846154,0,29.3846153846154,29.3846153846154,1.33501257376458E-05,0,0,0
Natural selection,Genetic algorithm,14.8333333333333,75.6538461538462,90.4871794871795,60.8205128205128,4.95958905276377E-06,6.45554147027369E-05,0,0
Confidence interval,Standard deviation,201.393442622951,540,741.393442622951,338.606557377049,0.00523930760943607,2.56206252485853E-05,1,1
Statistical hypothesis testing,Null hypothesis,89.3,490.65625,579.95625,401.35625,0.0239733782393545,0.000793587734280483,1,1
Machine learning,Naive Bayes classifier,25.0851063829787,104.821428571429,129.906534954407,79.7363221884498,0.00272207218455402,3.824774604143E-05,0,1
Machine learning,Artificial neural network,333.625,29073.03125,29406.65625,28739.40625,0.196682501685626,0.00183649746584089,1,1
Joint probability distribution,Probability density function,535.649214659686,11.5,547.149214659686,524.149214659686,0.00959467827256161,2.26167545704528E-06,1,0
