A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Geometry,Congruence_(geometry),17.4102564102564,34.4782608695652,51.8885172798216,17.0680044593088,0.00384690420384196,6.8691236184984E-05,0,0
Polygon,Geometry,50.3214285714286,31.6315789473684,81.953007518797,18.6898496240601,0.246057370199738,1.12183180163005E-06,1,0
Geometry,Trapezoid,28.6521739130435,0,28.6521739130435,28.6521739130435,0.00132610672865359,0,0,0
Angle,Congruence_(geometry),13.4285714285714,33.4090909090909,46.8376623376623,19.9805194805195,0.00882274208726705,6.65611227620747E-05,0,0
Geometry,Pythagorean_theorem,86.21875,32,118.21875,54.21875,0.0103818625873871,5.9772472348227E-06,1,0
Polygon,Hexagon,26.6190476190476,353.068965517241,379.688013136289,326.449917898194,0.165801208338571,0.000167604434676822,0,1
Triangle,Equilateral_triangle,27.7741935483871,171.269230769231,199.043424317618,143.495037220844,0.0535226473091692,0.000188393233751031,0,1
Polygon,Triangle,53.1290322580645,309.645161290323,362.774193548387,256.516129032258,0.186424308754908,4.51535823675783E-05,1,1
Circle,Sphere,23.64,147.892857142857,171.532857142857,124.252857142857,0.0137676436958787,3.55249764519421E-05,0,1
Quadrilateral,Kite_(geometry),19.1875,84.2666666666667,103.454166666667,65.0791666666667,0.0262559144097514,0.000154031287605295,0,1
Polygon,Rectangle,31.3703703703704,27.7222222222222,59.0925925925926,3.64814814814815,0.000745413268060373,1.62940488713057E-05,0,0
Angle,Right_angle,41.4736842105263,120.178571428571,161.652255639098,78.7048872180451,0.0807164533883064,0.000388772661460232,0,1
Angle,Sine,28,35.65,63.65,7.65,0.00110019805404769,8.96016584223925E-06,0,0
Diagonal,Vertex_(geometry),53.1842105263158,0,53.1842105263158,53.1842105263158,0.00130946659456468,0,0,0
Geometry,Parallel_(geometry),16.6153846153846,28.375,44.9903846153846,11.7596153846154,0.000197123973178237,8.3356589944331E-05,0,0
Circle,Cartesian_coordinate_system,35.3137254901961,0,35.3137254901961,35.3137254901961,0.00348873964402368,0,0,0
Slope,Trigonometric_functions,1368.78787878788,15.1111111111111,1383.89898989899,1353.67676767677,0.0039652736690856,3.60933636591898E-06,1,0
Tangent,Line_(geometry),75.6363636363636,20.4375,96.0738636363636,55.1988636363636,0.000371653451262891,4.43326352186046E-06,0,0
Symmetry,Reflection_(mathematics),18,0,18,18,0.000627326022067026,0,0,0
Midpoint,Angle,95.2413793103448,0,95.2413793103448,95.2413793103448,0.000971728338555786,0,1,0
Quadrilateral,Circle,30.3157894736842,0,30.3157894736842,30.3157894736842,0.00013658018394966,0,0,0
Quadrilateral,Distance,21,0,21,21,9.75572742497575E-05,0,0,0
Geometry,Tessellation,13.25,0,13.25,13.25,0.00215641679749526,0,0,0
Triangle,Parallelogram,13.5357142857143,27.9473684210526,41.4830827067669,14.4116541353383,0.00534673362716468,1.22233227305025E-05,0,0
Geometry,Similarity_(geometry),14.75,33.0526315789474,47.8026315789474,18.3026315789474,0.00197123973178237,0.000173613078925667,0,1
Triangle,Altitude_(triangle),12.3333333333333,19.25,31.5833333333333,6.91666666666667,0.0206125799833452,5.26731990554396E-05,0,0
Geometry,Rhombus,15.1111111111111,0,15.1111111111111,15.1111111111111,0.000226991241841606,0,0,0
Square,Pythagorean_theorem,65.4,0,65.4,65.4,0.0058989044891663,0,1,0
Rectangle,Polygon,148.625,10.5,159.125,138.125,0.000395586083773083,7.28076321813895E-07,1,0
Parallelogram,Congruence_(geometry),14.6428571428571,18.8888888888889,33.531746031746,4.24603174603175,0.0212996745883049,3.76324412895177E-05,0,0
Symmetry,Geometry,347.903225806452,35,382.903225806452,312.903225806452,9.07529608153466E-05,1.24129475554739E-06,1,0
