A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Energy,Work_(physics),117.184,236.793103448276,353.977103448276,119.609103448276,0.0276988886362201,7.10004924748008E-05,1,1
Electron,Photoelectric_effect,62.5608108108108,81.0333333333333,143.594144144144,18.4725225225225,5.84249222565203E-05,7.31147170210821E-05,0,1
Mass,Gravity,116.276923076923,271.379310344828,387.656233421751,155.102387267904,0.00659547031058111,1.81367821027525E-05,1,1
Wavelength,Snell's_law,30.936170212766,0,30.936170212766,30.936170212766,0.00110005377849788,0,0,0
Electron,Physics,193.924623115578,13.5,207.424623115578,180.424623115578,0.000566272323409351,1.3529019069453E-07,1,0
Wave,Mass,71.6464646464647,0,71.6464646464647,71.6464646464647,0.000855823704889596,0,0,0
Mass,Kilogram,23.4318181818182,217.103448275862,240.53526645768,193.671630094044,0.0126817960630251,3.70880529638132E-05,0,1
Magnet,Compass,47.9076923076923,10,57.9076923076923,37.9076923076923,0.00253681787531625,2.34609059194212E-05,0,0
Electron,Potential_energy,27.5,0,27.5,27.5,3.14595735227417E-05,0,0,0
Physics,Energy,83.5157894736842,308.033333333333,391.549122807018,224.517543859649,0.0370859310481676,1.16715262451085E-05,1,1
Wave,Diffraction,51.921875,62.4230769230769,114.344951923077,10.5012019230769,0.000626237465494063,4.6787001412143E-05,0,1
Electron,Kilogram,302.137254901961,0,302.137254901961,302.137254901961,0.000296618836071565,0,1,0
Joule,Ohm,87.1153846153846,71,158.115384615385,16.1153846153846,0.0145896833869195,0.000137543854211263,1,0
Wave,Dispersion_(optics),21.2962962962963,0,21.2962962962963,21.2962962962963,9.63442254606251E-05,0,0,0
Physics,Energy_level,24.5,0,24.5,24.5,0.00108209024735502,0,0,0
Speed,Acceleration,25.5,43.8181818181818,69.3181818181818,18.3181818181818,0.00235506885454149,1.80203009532328E-05,0,0
Energy,Electric_field,10.6666666666667,0,10.6666666666667,10.6666666666667,0.0110837459066267,0,0,0
Acceleration,Euclidean_vector,207.666666666667,28.2173913043478,235.884057971014,179.449275362319,0.00935101075402917,6.97539852176796E-06,1,0
Wavelength,Interference_(wave_propagation),44.6363636363636,0,44.6363636363636,44.6363636363636,0.000530482786585272,0,0,0
Refraction,Refracting_telescope,12.5,12,24.5,0.5,0.000272251738978645,3.26497740363555E-05,0,0
Voltage,Ohm,111.495145631068,24.7142857142857,136.209431345354,86.7808599167822,0.00181901416724397,4.78774381862145E-05,1,0
Dielectric,Refractive_index,22.5,0,22.5,22.5,0.000966720131220372,0,0,0
Ohm,Metre,27.2777777777778,0,27.2777777777778,27.2777777777778,0.0104764879736646,0,0,0
Collision,Inelastic_collision,16.3333333333333,33.304347826087,49.6376811594203,16.9710144927536,0.00164006367794027,0.000160011664557897,0,0
Frequency,Electromagnetic_spectrum,512.529411764706,447.612903225806,960.142314990512,64.9165085388994,0.000187964625057564,1.9824895028781E-05,1,1
Torque,Velocity,173.25,11.5,184.75,161.75,3.77791606286195E-05,1.52059359742827E-06,1,0
Speed,Displacement_(vector),18.030303030303,73.05,91.080303030303,55.019696969697,1.48678589301862E-05,0.000100264214391106,0,1
Wave,Gravitational_field,59.5205479452055,0,59.5205479452055,59.5205479452055,0.000728731322367069,0,0,0
Force,Newton's_laws_of_motion,534.5,336.285714285714,870.785714285714,198.214285714286,3.3837734121187,0.000396740659192864,1,1
Force,Metre,19.2,0,19.2,19.2,0.0747879554324837,0,0,0
Joule,Kilogram,267.023622047244,20.2307692307692,287.254391278013,246.792852816475,0.0101705979838563,3.45604755100922E-06,1,0
Dielectric,Dispersion_(optics),81.9565217391304,0,81.9565217391304,81.9565217391304,0.000800317485682439,0,0,0
Force,Distance,28.6363636363636,11.5,40.1363636363636,17.1363636363636,0.0163312474107668,3.11690789726888E-06,0,0
Mass,Force,177.988505747126,351.433333333333,529.42183908046,173.444827586207,0.00499927285963967,1.64617303803397E-05,1,1
Gravity,Force,127.948717948718,151.888888888889,279.837606837607,23.9401709401709,0.000866809080653268,7.11473186946294E-06,1,1
Joule,Mass,194.44578313253,0,194.44578313253,194.44578313253,0.000559777098336279,0,1,0
Acceleration,Displacement_(vector),56.7450980392157,23.8125,80.5575980392157,32.9325980392157,0.00148188088832157,3.26836633153759E-05,1,0
Electrostatics,Coulomb's_law,154.22962962963,50.75,204.97962962963,103.47962962963,0.00334478138287809,4.22218247315898E-05,1,0
Torque,Power_(physics),17.4705882352941,372.59375,390.064338235294,355.123161764706,0.000349242581492977,0.000100565630431033,0,1
Electrostatics,Electric_potential_energy,26.6285714285714,19.5555555555556,46.184126984127,7.07301587301587,0.000776587309741423,2.60980494821984E-05,0,0
Capacitance,Dielectric,362.476744186047,21.2222222222222,383.698966408269,341.254521963824,0.00156382435998891,9.59308783365927E-06,1,0
