A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Cluster analysis,K-means clustering,107.294736842105,255.440366972477,362.735103814582,148.145630130372,0.082886091595108,0.0153758306278506,1,1
Data analysis,Hierarchical clustering,289.244897959184,144.555555555556,433.800453514739,144.689342403628,0.0766203365823859,0.00742153657466994,1,1
Anomaly detection,Statistical classification,118.417910447761,206.700854700855,325.118765148616,88.2829442530935,0.0869841687497259,0.00382225019333309,1,1
Mode (statistics),Central tendency,195.572580645161,156.347222222222,351.919802867384,39.2253584229391,24251,0.00860631517141147,1,1
Least squares,Arithmetic mean,17.1428571428571,50.6666666666667,67.8095238095238,33.5238095238095,0.000930239769300537,0.000249750044568881,0,0
Statistical hypothesis testing,Sample (statistics),52.5,94.1666666666667,146.666666666667,41.6666666666667,0.00793840033963559,0.00457575558176379,0,1
Cluster analysis,Data mining,81.1485148514851,282.296296296296,363.444811147781,201.147781444811,0.0333235753317721,0.00315546393710158,1,1
Likelihood function,Expectation–maximization algorithm,53.1666666666667,17.4736842105263,70.640350877193,35.6929824561403,0.0165755904079812,0.000452965903400928,0,0
Sample (statistics),Student's t-test,44.0983606557377,64.8285714285714,108.926932084309,20.7302107728337,2690,0.00198679729851608,1,0
Anomaly detection,Data analysis,63.6521739130435,210.676470588235,274.328644501279,147.024296675192,0.0321010393369294,0.00603706859569677,0,1
Hierarchical clustering,Cluster analysis,24.375,24.3214285714286,48.6964285714286,0.053571428571427,0.00736189370558088,0.000149988899499949,0,0
Conditional independence,Conditional probability distribution,13.4117647058824,19.9230769230769,33.3348416289593,6.51131221719457,228,0.000313159531808363,1,0
Type I and type II errors,Statistical population,25.3333333333333,136.321428571429,161.654761904762,110.988095238095,380,0.000924385418104586,1,1
Support vector machine,Multiclass classification,192.777777777778,301.085714285714,493.863492063492,108.307936507937,5205,0.00477892809250568,1,1
Expectation–maximization algorithm,Likelihood function,180.741935483871,99.4705882352941,280.212523719165,81.2713472485769,5603,0.000869689097719419,1,1
Sample (statistics),Type I and type II errors,55.3846153846154,46.2777777777778,101.662393162393,9.10683760683761,1440,0.00117746171482527,1,0
AdaBoost,Boosting (machine learning),65.0444444444445,22.5625,87.6069444444445,42.4819444444445,2927,0.000115359972645946,1,0
Statistical significance,Confidence interval,62.25,122.686274509804,184.936274509804,60.4362745098039,1494,0.00302280753455431,1,1
Statistical significance,Null hypothesis,20.25,61.8636363636364,82.1136363636364,41.6136363636364,1134,0.000996704503844746,1,1
Arithmetic mean,Data mining,23.7777777777778,21.1666666666667,44.9444444444444,2.61111111111111,0.0103811264007244,1.75257552703534E-05,0,0
Support vector machine,Outlier,13,10,23,3,13,3.80259222712123E-06,1,0
Backpropagation,Feedforward neural network,379.975609756098,374.845070422535,754.820680178633,5.13053933356235,31158,0.0299689657812831,1,1
Statistical classification,Backpropagation,155.778947368421,221.871559633028,377.650507001449,66.0926122646065,0.107763109030139,0.00409864404435701,1,1
Likelihood function,Prior probability,80.1797752808989,168.3125,248.492275280899,88.1327247191011,0.0617990664322644,0.010093696843018,1,1
Likelihood function,Naive Bayes classifier,104.095238095238,38.4,142.495238095238,65.6952380952381,0.0757246408189069,0.00100945735358137,1,0
Data mining,Correlation and dependence,138.25,92.4230769230769,230.673076923077,45.8269230769231,0.0252223489167617,0.00299168043922799,1,1
OPTICS algorithm,Data mining,14.8666666666667,204.973684210526,219.840350877193,190.10701754386,223,0.00107486699055734,1,1
Ensemble learning,Random forest,33.2564102564103,26.3333333333333,59.5897435897436,6.92307692307692,0.0255818540433925,0.000615687448994247,0,0
Conditional independence,Probability density function,13.9,16.875,30.775,2.975,139,0.000103989018759619,1,0
Regression analysis,Arithmetic mean,57.0945945945946,137.325581395349,194.420175989943,80.2309868007543,0.0216340491771381,0.00242561515325534,0,1
Conditional independence,Naive Bayes classifier,11.6666666666667,135.461538461538,147.128205128205,123.794871794872,70,0.00370344666595163,1,1
Sample (statistics),Data mining,40.25,71.9733333333333,112.223333333333,31.7233333333333,1771,0.000744913598026517,1,0
Cluster analysis,Biclustering,118.78431372549,365.103448275862,483.887762001352,246.319134550372,0.0246308222742649,0.0145709763985413,1,1
Anomaly detection,Cluster analysis,43.9285714285714,173.684931506849,217.613502935421,129.756360078278,0.0202276016313643,0.00279252460610845,0,1
Data analysis,Cluster analysis,193.753086419753,152.193548387097,345.94663480685,41.5595380326563,0.0848429804786541,0.00207826028734437,1,1
Statistical classification,Support vector machine,139.948717948718,186.692771084337,326.641489033055,46.7440531356194,0.198719862519934,0.00836664991950835,1,1
Statistical hypothesis testing,Data mining,173.38202247191,119.503649635036,292.885672106947,53.8783728368736,0.179483451488523,0.00451860890214529,1,1
Sample (statistics),Statistical hypothesis testing,39.304347826087,50.1571428571429,89.4614906832298,10.8527950310559,1808,0.00201789727172932,1,0
Joint probability distribution,Decision tree learning,12.6666666666667,34.4615384615385,47.1282051282051,21.7948717948718,0.00084318902966694,0.00029655028612469,0,0
Boosting (machine learning),Support vector machine,67.984126984127,34.0909090909091,102.075036075036,33.8932178932179,4283,0.000404955467047289,1,0
Data mining,Hierarchical clustering,262.377358490566,139.818181818182,402.195540308748,122.559176672384,0.105708855948309,0.0109668747615703,1,1
Statistical hypothesis testing,Bayes' theorem,149.651685393258,109.7,259.351685393258,39.9516853932584,0.0774590140099681,0.00402012628400342,1,1
Random forest,Boosting (machine learning),88.3272727272727,171.836363636364,260.163636363636,83.5090909090909,4858,0.00302013047500507,1,1
Statistical significance,Standard deviation,49.0217391304348,92.2,141.221739130435,43.1782608695652,2255,0.00131423651695964,1,1
