A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Mass,Wavelength,63.6896551724138,42.9545454545455,106.644200626959,20.7351097178683,0.00756183137975787,0.000202957989199628,0,0
Mass,Mechanical_energy,39.7166666666667,72.2232142857143,111.939880952381,32.5065476190476,0.0195125546052659,0.00578443900809993,0,1
Physics,Energy,135.277777777778,120.064516129032,255.34229390681,15.2132616487455,0.0177648888098528,0.00415916342930959,1,1
Mass,Field_(physics),40.9722222222222,51.9918032786885,92.9640255009107,11.0195810564663,0.0241552816137366,0.00150593220479823,0,0
Physics,Energy_level,220.743243243243,182.14,402.883243243243,38.6032432432433,0.0297935789228896,0.00642621158585664,1,1
Energy,Intensity_(physics),277.758928571429,180.93125,458.690178571429,96.8276785714286,0.0554004238420031,0.00859244634061931,1,1
Speed,Gravity_of_Earth,49.8484848484849,40.4285714285714,90.2770562770563,9.41991341991342,0.013111853274775,0.000139283666074055,0,0
Physics,Velocity,84.1267605633803,54.8301886792453,138.956949242626,29.296571884135,0.0108942177475617,0.00243117051741433,1,0
Refraction,Refracting_telescope,12.6363636363636,28.7368421052632,41.3732057416268,16.1004784688995,0.00358016741790084,0.00143729724939213,0,0
Dielectric,Refractive_index,24.8636363636364,73.9636363636364,98.8272727272727,49.1,0.00395614250791952,0.000738970349813813,0,1
Velocity,Elastic_collision,31.05,281.5625,312.6125,250.5125,0.00435190895329932,0.00572468399871401,0,1
Electron,Potential_energy,216.530303030303,321.854838709677,538.38514173998,105.324535679374,0.0327363022249507,0.00416555769521812,1,1
Energy,Magnet,63.1851851851852,13.3333333333333,76.5185185185185,49.8518518518518,0.00303812797179136,1.04664997434399E-05,0,0
Wave,Mass,80.56,23.4,103.96,57.16,0.0266482014007727,5.1353373536246E-05,1,0
Energy,Coulomb,156.520833333333,28.6176470588235,185.138480392157,127.90318627451,0.0401385500329457,0.00167705321239859,1,0
Wave,Absorption_spectroscopy,107.147058823529,66.5098039215686,173.656862745098,40.6372549019608,0.160674276238026,0.00825489720803412,1,0
Electron,Hertz,120.611111111111,47.4193548387097,168.030465949821,73.1917562724014,0.00994619160735679,0.000485963425797517,1,0
Wave,Dispersion_(optics),59.2105263157895,27.6435643564356,86.8540906722251,31.5669619593538,0.238166646084364,0.00531240169266209,1,0
Friction,Physics,143.058823529412,69.0185185185185,212.07734204793,74.0403050108932,0.0927736734356523,0.000942498329491043,1,0
Acceleration,Euclidean_vector,259.957264957265,565.41095890411,825.368223861375,305.453693946845,0.20013028372901,0.00677744289665693,1,1
Speed,Acceleration,165.976470588235,142.548872180451,308.525342768686,23.4275984077842,0.112451079635578,0.00579516909275755,1,1
Voltage,Ohm,41.9523809523809,22.6111111111111,64.5634920634921,19.3412698412698,0.00332735341327542,0.00391186294062523,0,0
Electron,Photoelectric_effect,99.0444444444445,55.1885245901639,154.232969034608,43.8559198542805,0.02041924274251,0.0013718592207155,1,0
Wave,Diffraction,103.91095890411,69.8152173913043,173.726176295414,34.0957415128052,0.0669115960693682,0.00126541753557817,1,0
Mass,Kilogram,137.206349206349,65.6138613861386,202.820210592488,71.5924878202106,0.0707790692437759,0.00729104264550317,1,0
Acceleration,Electromagnetic_radiation,84.9883720930233,244.443298969072,329.431671062095,159.454926876049,0.0480931199663105,0.00169209302079959,1,1
Physics,Shock_wave,353.368421052632,200.18,553.548421052632,153.188421052632,0.0122457354691326,0.00427780745806176,1,1
Physics,Refraction,33.72,63.9466666666667,97.6666666666667,30.2266666666667,0.000768778299112212,0.00140702515101464,0,0
Electrostatics,Electric_potential_energy,108.060975609756,151.341772151899,259.402747761655,43.2807965421426,0.185862611431568,0.0137389045073742,1,1
Joule,Kilogram,187.25,73.0862068965517,260.336206896552,114.163793103448,0.15809748289388,0.00699563824678315,1,0
Speed,Projectile_motion,183.115384615385,218.231707317073,401.347091932458,35.1163227016885,0.227691915287066,0.0181248135737078,1,1
Electrostatics,Coulomb's_law,114.44262295082,65,179.44262295082,49.4426229508197,0.219643418982695,0.00137593432417455,1,0
Force,Distance,255.903225806452,297.896551724138,553.799777530589,41.9933259176863,0.0267547587248911,0.00182918243654554,1,1
Frequency,Energy,103.6875,81.6129032258064,185.300403225806,22.0745967741936,0.0140073287289552,0.000353394797022879,1,1
Diffraction,Transverse_wave,60.6666666666667,33.1777777777778,93.8444444444444,27.4888888888889,0.0110492765354649,0.000612348020389179,1,0
Energy,Tension_(physics),297.591397849462,238.849462365591,536.440860215054,58.7419354838709,0.0492867700746176,0.00961259256983335,1,1
