A,B,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Bayesian network,Posterior probability,748,0,748,748,0.000415465307258257,0,1,0
Cluster analysis,Correlation and dependence,250,0,250,250,4.23526023556517E-05,0,1,0
Decision tree learning,Machine learning,3664,18739,22403,15075,0.000991293445856683,0.000477338349746132,1,1
Bayes' theorem,Posterior probability,1082,1653,2735,571,0.000727648840166754,0.00349933844932522,1,1
Support vector machine,Hyperplane separation theorem,1232,614,1846,618,0.000493839631191585,0.0386406544996853,1,1
Cluster analysis,Statistical classification,5848,9731,15579,3883,0.000990712074303406,0.00354297610721189,1,1
Random forest,Decision tree,981,13055,14036,12074,0.00022234078382719,0.0127241591382465,1,1
Mutation (genetic algorithm),Genetic algorithm,2815,13606,16421,10791,0.167012755858796,0.0116099976022275,1,1
K-means clustering,Cluster analysis,20419,31988,52407,11569,0.00477069853269303,0.00650291999159995,1,1
Precision and recall,Receiver operating characteristic,4999,9163,14162,4164,0.00155442218964884,0.0230806626716944,1,1
Standard deviation,Student's t-test,682,3033,3715,2351,4.14181124442237E-05,0.00249828052733241,1,1
Statistical classification,Receiver operating characteristic,815,111,926,704,0.000312352327293116,0.000279597681606251,1,0
Support vector machine,Regression analysis,9108,46,9154,9062,0.00365088584488064,9.81428597335848E-06,1,0
K-means clustering,Fuzzy clustering,4141,2309,6450,1832,0.000967503923986574,0.0318052838921182,1,1
Hyperplane,Support vector machine,244,5735,5979,5491,0.00264260881808238,0.00334376596087065,1,1
Precision and recall,Confusion matrix,7495,9977,17472,2482,0.00233054497127786,0.0252634724170587,1,1
Mixture model,Expectation–maximization algorithm,7710,1285,8995,6425,0.00749739633220759,0.00382503088303145,1,1
Statistical hypothesis testing,Posterior probability,211,0,211,211,7.21832208563667E-05,0,1,0
Bayesian network,Conditional independence,4367,0,4367,4367,0.00242558422031659,0,1,0
Genetic algorithm,Mutation (genetic algorithm),13606,2815,16421,10791,0.0145124939069071,0.167012755858796,1,1
Interquartile range,Histogram,11,1075,1086,1064,2.12811648148829E-05,0.0030578865026312,0,1
Likelihood function,Posterior probability,1398,11747,13145,10349,0.000864788092894819,0.0248679544853136,1,1
Fitness function,Genetic algorithm,1703,6490,8193,4787,0.0448594684297869,0.00553791595167251,1,1
Regression analysis,Confidence interval,761,686,1447,75,0.000162362426646213,0.000264344646847497,1,1
Positive and negative predictive values,False positives and false negatives,4717,0,4717,4717,0.0311814167481954,0,1,0
Random forest,Regression analysis,7399,67,7466,7332,0.001676961732454,1.42947208742395E-05,1,0
Mixture model,Posterior probability,62,0,62,62,6.02903466403204E-05,0,1,0
Data mining,Cluster analysis,11569,5841,17410,5728,0.00244289064765003,0.00118743140149229,1,1
AdaBoost,Boosting (machine learning),5549,27900,33449,22351,0.0239815719187851,0.0571420379021704,1,1
Artificial neural network,Confidence interval,23,0,23,23,9.98850670304799E-07,0,0,0
Cluster analysis,K-medoids,825,979,1804,154,0.000139763587773651,0.00799601424417655,1,1
Decision tree,Decision tree model,6272,886,7158,5386,0.00550174955986881,0.140256450846921,1,1
Conditional probability,Conditional probability distribution,6299,6048,12347,251,0.00294293399165849,0.013025583814506,1,1
AdaBoost,Machine learning,747,0,747,747,0.00322837163873354,0,1,0
Natural selection,Fitness function,58,0,58,58,8.49069171323128E-05,0,0,0
Confidence interval,Bayes' theorem,176,0,176,176,6.32988558372155E-05,0,1,0
Confidence interval,Median,341,0,341,341,0.000122641533184605,0,1,0
Bayesian network,Bayes' theorem,2080,500,2580,1580,0.00115530459772349,0.000378283214590232,1,1
Artificial neural network,Data mining,3875,2290,6165,1585,0.000168284623801352,0.000290131561360101,1,1
Confidence interval,Joint probability distribution,106,0,106,106,3.8123174538323E-05,0,1,0
Feedforward neural network,Gradient descent,2483,0,2483,2483,0.00271748349864783,0,1,0
Confidence interval,Statistical significance,3839,2531,6370,1308,0.00138070629294926,0.00235982534868261,1,1
Interquartile range,Median,1509,894,2403,615,0.00291938888233257,0.00106321237607748,1,1
Bayesian network,Probability density function,46,0,46,46,2.55500055265773E-05,0,0,0
Sensitivity and specificity,Accuracy and precision,7549,3342,10891,4207,0.00806598098526989,0.0101256771660223,1,1
K-medoids,Cluster analysis,979,825,1804,154,0.00499752420915073,0.000167716299645803,1,1
Backpropagation,Feedforward neural network,6335,15967,22302,9632,0.00309882841295472,0.023299794975813,1,1
Random forest,Boosting (machine learning),3095,4000,7095,905,0.000701472707385476,0.00819240686769468,1,1
K-means clustering,Machine learning,2704,707,3411,1997,0.000631763006631175,1.80094035578481E-05,1,1
Cluster analysis,Information retrieval,1278,0,1278,1278,0.000216506503242092,0,1,0
Gradient descent,Maxima and minima,5057,0,5057,5057,0.00739352346643235,0,1,0
Statistical classification,Artificial neural network,5343,2225,7568,3118,0.00204772820211917,0.000140549735813873,1,1
Statistical hypothesis testing,Type I and type II errors,11657,9717,21374,1940,0.00398786637688468,0.0123794636202765,1,1
Arithmetic mean,Cluster analysis,143,0,143,143,4.81734351465972E-05,0,1,0
Confusion matrix,Sensitivity and specificity,19846,10976,30822,8870,0.150759647523549,0.0117276735056726,1,1
Sensitivity and specificity,Statistical classification,3237,0,3237,3237,0.00345868067946995,0,1,0
Bayesian network,Prior probability,800,1432,2232,632,0.000444347922201344,0.00287213964375039,1,1
Stepwise regression,Regression analysis,3469,1224,4693,2245,0.0109759724604023,0.000261145348508495,1,1
K-medoids,K-means clustering,4785,8333,13118,3548,0.0244261014716918,0.00265489545134497,1,1
Statistical classification,Naive Bayes classifier,5103,781,5884,4322,0.00195574714868316,0.000284975029108685,1,1
Linear separability,Support vector machine,487,1677,2164,1190,0.0162457884378023,0.000977767308871853,1,1
DBSCAN,Cluster analysis,9457,13349,22806,3892,0.0173083082441868,0.00271375137451131,1,1
Interquartile range,Outlier,4573,2803,7376,1770,0.00884716060895086,0.00298860109372351,1,1
Hierarchical clustering,Cluster analysis,9699,23816,33515,14117,0.0114428840928692,0.00484161380892661,1,1
Precision and recall,Null hypothesis,1896,0,1896,1896,0.000589554805275894,0,1,0
Random forest,Decision tree learning,67741,13802,81543,53939,0.0153532997321485,0.00509198744306009,1,1
Machine learning,Bayesian network,10920,1052,11972,9868,0.000352342388005697,0.000626054458406358,1,1
Mixture model,Bayesian network,2914,188,3102,2726,0.00283364629209506,0.000111880454544102,1,1
Cluster analysis,Fuzzy clustering,3788,2512,6300,1276,0.000641726630892835,0.0346015041736687,1,1
Likelihood function,Confidence interval,285,222,507,63,0.000176298001770403,8.55459352771785E-05,1,1
Decision tree,Statistical classification,17,0,17,17,1.49122676208179E-05,0,0,0
Random forest,Bootstrapping (statistics),802,45,847,757,0.000181770956808773,0.000379346680716544,1,0
Bayesian network,Likelihood function,309,0,309,309,0.000171629384950269,0,1,0
Regression analysis,Least squares,23746,19780,43526,3966,0.00506630510268197,0.0383337047839611,1,1
Data mining,Regression analysis,5526,952,6478,4574,0.00116686089713148,0.000203113048839941,1,1
Naive Bayes classifier,Data mining,373,0,373,373,0.000102076532222113,0,1,0
Confidence interval,Sample (statistics),101,0,101,101,3.63249115884021E-05,0,1,0
Naive Bayes classifier,Conditional independence,1999,0,1999,1999,0.000547053586895453,0,1,0
Backpropagation,Ensemble learning,1225,0,1225,1225,0.000599220963831023,0,1,0
Backpropagation,Machine learning,1191,3741,4932,2550,0.000582589524834896,9.52944536208059E-05,1,1
Joint probability distribution,Conditional probability distribution,6947,6447,13394,500,0.00405657600926817,0.0138849105244908,1,1
Web search engine,Data mining,3738,0,3738,3738,0.00591436044055498,0,1,0
Statistical significance,Confidence interval,2531,3839,6370,1308,0.00209762274946876,0.00147932813301391,1,1
Prior probability,Bayesian network,1432,800,2232,632,0.00861638436776076,0.0004760870406132,1,1
Association rule learning,Conditional probability,88,0,88,88,0.000486034784625836,0,1,0
Decision tree,Association rule learning,922,0,922,922,0.000808771220376123,0,1,0
Standard deviation,Confidence interval,17280,4822,22102,12458,0.00104942079624074,0.00185811936894844,1,1
Arithmetic mean,Regression analysis,161,0,161,161,5.4237224186029E-05,0,1,0
Machine learning,Joint probability distribution,527,0,527,527,1.70040694577841E-05,0,1,0
Precision and recall,Information retrieval,7536,3688,11224,3848,0.00234329378299532,0.0126385771319888,1,1
Principal component analysis,Standard deviation,43,0,43,43,8.84004069708038E-06,0,0,0
Statistical classification,Regression analysis,4610,1807,6417,2803,0.00176680273475002,0.000385530755518669,1,1
Random forest,Statistical classification,5387,3268,8655,2119,0.00122094781088386,0.00118985159987344,1,1
Naive Bayes classifier,Bayes' theorem,36971,499,37470,36472,0.0101176178895006,0.000377526648161052,1,1
Pruning (decision trees),Statistical classification,130,0,130,130,0.00303589360360571,0,1,0
Expectation–maximization algorithm,Missing data,497,2457,2954,1960,0.000941443002919042,0.19828908078444,1,1
Central tendency,Standard deviation,1404,12,1416,1392,0.00165016307701349,5.6934722774634E-07,1,0
Naive Bayes classifier,Random forest,7293,2161,9454,5132,0.00199582881902378,0.000667887676189758,1,1
Descriptive statistics,Interquartile range,337,2247,2584,1910,0.00292570277637907,0.0069554504482195,1,1
Arithmetic mean,Central tendency,3268,17219,20487,13951,0.00110091458782573,0.0455354427534411,1,1
Bayesian network,Joint probability distribution,4126,2793,6919,1333,0.00229172440875343,0.00182279531829413,1,1
Outlier,Anomaly detection,2148,5440,7588,3292,0.0137413077272466,0.00662687294432939,1,1
Statistical classification,Support vector machine,3980,5099,9079,1119,0.00152535246948049,0.00297294902083338,1,1
DBSCAN,Data mining,10,0,10,10,1.83021129789434E-05,0,0,0
Gradient descent,Artificial neural network,255,2697,2952,2442,0.000372819553873888,0.000170365230332591,1,1
Association rule learning,Apriori algorithm,11592,8993,20585,2599,0.0640240366293488,0.252505966587112,1,1
Statistical significance,Conditional probability,307,0,307,307,0.000254433103155633,0,1,0
Posterior probability,Conditional probability,2615,1600,4215,1015,0.00830377528047073,0.000679573177076807,1,1
OPTICS algorithm,DBSCAN,3348,6297,9645,2949,0.036594963273872,0.0197568436740136,1,1
Joint probability distribution,Conditional independence,42,12,54,30,2.45251464501602E-05,0.000168361978253244,0,0
Interquartile range,Quartile,8718,13907,22625,5189,0.0168662904414681,0.0848448243253961,1,1
Bootstrapping (statistics),Random forest,45,802,847,757,0.000379346680716544,0.00024786946612873,0,1
Ensemble learning,Random forest,4966,39257,44223,34291,0.0326500019724125,0.0121329322092463,1,1
Machine learning,Artificial neural network,37449,930337,967786,892888,0.00120832143666899,0.0587679189069084,1,1
