A,B,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Polyhedron,Vertex_(geometry),1574,3822,5396,2248,0.000404355426878846,0.00242596275239502,1,1
Radius,Geometry,939,0,939,939,0.000529919874309101,0,1,0
Equilateral_triangle,Square,440,332,772,108,0.00043021560646223,0.00015080619995176,1,1
Similarity_(geometry),Square,35,0,35,35,8.35647280445615E-05,0,1,0
Tessellation,Vertex_(geometry),20,419,439,399,1.68678295910648E-05,0.000265954576989407,0,1
Pythagorean_theorem,Altitude_(triangle),598,0,598,598,8.47377889728646E-05,0,1,0
Bisection,Line_(geometry),41,0,41,41,0.000167051019826104,0,1,0
Altitude_(triangle),Bisection,304,0,304,304,0.000831826104563825,0,1,0
Geometry,Parallelogram,101,0,101,101,3.5398805749439E-06,0,1,0
Decagon,Polygon,3102,3610,6712,508,0.022344678552134,0.000250319573499825,1,1
Congruence_(geometry),Geometry,1055,994,2049,61,0.00164495225740462,3.52527710575459E-05,1,1
Distance,Arc_length,101,0,101,101,0.000390086398343871,0,1,0
Circle,Cone,10,709,719,699,1.32630532981102E-06,0.000669285280726944,0,1
Geometry,Perpendicular,35,2328,2363,2293,1.2266912883469E-06,0.00238776332834515,0,1
Angle_bisector_theorem,Triangle,109,0,109,109,0.000858835765388131,0,1,0
Isosceles_triangle,Line_segment,12,0,12,12,1.12797220676483E-05,0,0,0
Angle,Circle,10,848,858,838,1.38105809766152E-06,9.76719184135408E-05,0,1
Similarity_(geometry),Reflection_(mathematics),595,0,595,595,0.00142060037675755,0,1,0
Triangle,Sphere,10,0,10,10,1.09367728754909E-06,0,0,0
Diameter,Geometry,1324,14,1338,1310,0.00143415454206709,4.96517902218956E-07,1,0
Midpoint,Line_segment,674,781,1455,107,0.00441993297965126,0.000543001777791992,1,1
Rectangle,Square,10083,15341,25424,5258,0.0042058308507683,0.00696842745018058,1,1
Polyhedron,Polygon,6942,1944,8886,4998,0.00178337698436655,0.000134798130438687,1,1
Perpendicular,Cartesian_coordinate_system,212,3957,4169,3745,0.000195698148529356,0.0010462112320836,1,1
Line_(geometry),Hexagon,10,0,10,10,2.07486873342958E-06,0,0,0
Isosceles_triangle,Vertex_(geometry),439,0,439,439,0.000412649832308132,0,1,0
Edge_(geometry),Diagonal,518,207,725,311,0.000873001828584911,0.00144109272422219,1,1
Perpendicular,Line_(geometry),1569,530,2099,1039,0.00144835092001207,0.000114966589190755,1,1
Triangle_inequality,Right_triangle,127,0,127,127,0.000141338980957076,0,1,0
Pentagon,Vertex_(geometry),493,0,493,493,0.000198409264787024,0,1,0
Congruence_(geometry),Line_segment,884,0,884,884,0.00137832966402435,0,1,0
Geometry,Rectangle,62,0,62,62,2.17299599650021E-06,0,1,0
Square,Edge_(geometry),492,687,1179,195,0.000139677452964611,0.00121045110887541,1,1
Circle,Secant_line,1855,2966,4821,1111,0.000246029638679944,0.0320888013761617,1,1
Prism_(geometry),Polygon,1061,0,1061,1061,0.00198415295743515,0,1,0
Edge_(geometry),Square,687,492,1179,195,0.00115782288849003,0.0002234838866755,1,1
