A,B,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Newton's_laws_of_motion,Motion,2906,1866,4772,1040,0.00105489903679659,0.0162433189992862,1,1
Motion_graphs_and_derivatives,Acceleration,344,0,344,344,0.0220838415612762,0,1,0
Snell's_law,Refractive_index,8977,10963,19940,1986,0.00875939900979858,0.00250508134145129,1,1
Acceleration,Displacement_(vector),475,597,1072,122,7.81378387666E-05,0.000819407748001235,1,1
Physics,Collision,418,0,418,418,4.43253081019824E-06,0,1,0
Potential_energy,Gravity,680,396,1076,284,0.000237373062136937,2.64654136808144E-05,1,1
Refractive_index,Electric_field,129,0,129,129,1.76861546611724E-05,0,1,0
Hardness,Elasticity_(physics),2071,0,2071,2071,0.00151298308980223,0,1,0
Refractive_index,Reflection_(physics),158,1338,1496,1180,2.16621119105832E-05,0.000678658670194204,1,1
Shock_wave,Wave,676,2096,2772,1420,0.000461188843869156,0.000231110850400822,1,1
Projectile_motion,Gravity,819,0,819,819,0.00112330732399118,0,1,0
Non-inertial_reference_frame,Frame_of_reference,2503,3383,5886,880,0.0158788563163337,0.0157682537463003,1,1
Magnetic_field,Velocity,10,0,10,10,6.07895899043081E-07,0,0,0
Wave,Reflection_(physics),962,0,962,962,8.65900617651771E-05,0,1,0
Refractive_index,Scattering,539,0,539,539,7.38979640493946E-05,0,1,0
Electric_potential,Joule,1124,0,1124,1124,0.000357320768188787,0,1,0
Temperature,Physics,1225,20,1245,1205,0.000322393364118171,2.00429912140045E-07,1,0
Electromagnetic_radiation,Velocity,10,0,10,10,5.96132258141244E-07,0,0,0
Magnetism,Electric_current,6263,133,6396,6130,0.00133862141871214,1.95949416173871E-05,1,1
Electric_potential,Magnetic_field,174,53,227,121,5.5314780840613E-05,8.25598539469452E-06,1,0
Position_(vector),Acceleration,25,0,25,25,5.22657189149637E-05,0,0,0
Refractive_index,Wave,138,33,171,105,1.89200724282309E-05,3.63867274008928E-06,1,0
Energy,Joule,17990,13317,31307,4673,0.000582500455898078,0.0055772497462031,1,1
Electromotive_force,Voltage,2703,6871,9574,4168,0.00223518476865879,0.00152649573143273,1,1
Diffraction,Scattering,357,162,519,195,0.00017201362424997,0.00024141019317286,1,1
Capacitance,Coulomb,3341,51,3392,3290,0.00210158301221447,1.26818256756243E-05,1,0
Refractive_index,Refraction,5993,9121,15114,3128,0.000821652130886867,0.00559351958774393,1,1
Energy_level,Energy,220,685,905,465,0.000411137336689709,2.59549685463672E-05,1,1
Elastic_collision,Kinetic_energy,1855,318,2173,1537,0.00390003300836562,0.000126363825295256,1,1
Electrostatics,Electric_current,12,305,317,293,6.99185390754322E-06,4.49357683706998E-05,0,1
Electroscope,Electrostatics,384,0,384,384,0.00563934618830129,0,1,0
Intensity_(physics),Light,365,4081,4446,3716,0.000448152445500365,0.000428979189306067,1,1
Mirror_image,Reflection_(physics),1209,265,1474,944,0.00618297304346492,0.000134412965322469,1,1
Work_(physics),Potential_energy,2680,1236,3916,1444,0.000768638185371439,0.000334033921739311,1,1
Voltage,Electromotive_force,6871,2703,9574,4168,0.00129752141495739,0.00292293318453733,1,1
Absorption_spectroscopy,Wavelength,561,0,561,561,0.00189357500886031,0,1,0
Reflection_(physics),Total_internal_reflection,1748,840,2588,908,0.00187174880017475,0.0013974473295447,1,1
Power_(physics),Energy,26479,267,26746,26212,0.0151870840672409,1.01167541633285E-05,1,1
Wave,Tension_(physics),89,0,89,89,8.01093087016711E-06,0,1,0
Intensity_(physics),Velocity,78,0,78,78,9.57695636959685E-05,0,1,0
Deformation_(engineering),Elasticity_(physics),2860,2549,5409,311,0.00679984212953937,0.00363768175921658,1,1
Magnetic_field,Mirror_image,26,0,26,26,1.58052933751201E-06,0,0,0
Electromagnetic_spectrum,Wavelength,14202,6322,20524,7880,0.00102628005348623,0.0010785265232737,1,1
Emission_spectrum,Frequency,1043,0,1043,1043,0.000973879851424965,0,1,0
Specular_reflection,Wave,358,0,358,358,0.000673462746034941,0,1,0
Energy,Power_(physics),267,26479,26746,26212,8.64522633267297E-06,0.00714686526057758,1,1
Total_internal_reflection,Light,285,0,285,285,0.000745066873019691,0,1,0
Magnetic_field,Magnet,18414,27769,46183,9355,0.00111937950849793,0.00730382398018296,1,1
Phase_velocity,Dispersion_(optics),7849,12402,20251,4553,0.0956985052061742,0.00891401020489573,1,1
Diffraction,Wave,1997,1161,3158,836,0.000962216267863278,0.000128015122764959,1,1
Wavelength,Dispersion_(optics),47,730,777,683,2.08471852529673E-05,0.000524691779517327,0,1
Kinetic_energy,Elastic_collision,318,1855,2173,1537,0.000196565907065123,0.0036400313180053,1,1
Strength_of_materials,Hardness,33,3123,3156,3090,4.18968879499472E-05,0.00313710127020959,0,1
Electromagnetic_radiation,Electric_field,7352,139,7491,7213,0.000438276436185443,2.98685718374608E-05,1,1
Gravity_of_Earth,Euclidean_vector,854,0,854,854,0.000412519931620232,0,1,0
Snell's_law,Wave,222,262,484,40,0.000216618756842518,2.88888563001027E-05,1,1
Ray_(optics),Snell's_law,785,0,785,785,0.00398880086991428,0,1,0
Position_(vector),Euclidean_vector,3778,862,4640,2916,0.00789839544242931,0.000213088214318292,1,1
Hooke's_law,Torque,11,0,11,11,6.51642939952288E-06,0,0,0
Pigment,Color,3875,43,3918,3832,0.00664081177283111,2.70561919353672E-05,1,0
Magnetism,Capacitance,62,0,62,62,1.32515612262738E-05,0,1,0
Wavelength,Snell's_law,656,0,656,656,0.000290973479275458,0,1,0
Euclidean_vector,Position_(vector),862,3778,4640,2916,0.000204564687768313,0.0102214466404231,1,1
Distance,Acceleration,187,393,580,206,8.75444393363851E-05,0.000161621910831588,1,1
Electric_potential_energy,Electric_potential,12288,12435,24723,147,0.0122993030595117,0.00527079867329314,1,1
Electrical_conductor,Electrical_resistance_and_conductance,3079,4457,7536,1378,0.0040380380826729,0.00235936825890057,1,1
Elastic_collision,Collision,2833,8261,11094,5428,0.00595622291789747,0.0130878937378999,1,1
Emission_spectrum,Wavelength,1062,3794,4856,2732,0.000991620711613914,0.000647252393119335,1,1
Friction,Force,5313,3558,8871,1755,0.00116480819141002,0.000166662724157968,1,1
Transmission_medium,Wave,1422,1436,2858,14,0.0137529498239777,0.000158337395599036,1,1
Deformation_(engineering),Plasticity_(physics),4403,3572,7975,831,0.0104684282854412,0.0186055233194087,1,1
Force,Tension_(physics),1156,2264,3420,1108,6.72194360463761E-05,0.0114197515296112,1,1
Light,Photoelectric_effect,1350,2647,3997,1297,0.00011722741023463,0.00238833388673144,1,1
Friction,Temperature,10,0,10,10,2.19237378394507E-06,0,0,0
Torque,Gravity,638,0,638,638,0.000253276114633246,0,1,0
Electric_current,Electromagnetic_radiation,320,113,433,207,6.89052845185329E-05,8.20070626224073E-06,1,1
Electromotive_force,Force,651,0,651,651,0.000538329738955558,0,1,0
Friction,Torque,50,695,745,645,1.09618689197254E-05,0.000189684182659045,1,1
Speed,Distance,3485,665,4150,2820,0.00060387425622532,0.00018023858710294,1,1
Electromagnetic_spectrum,Wave,11,686,697,675,7.94893718374069E-07,7.56402878697346E-05,0,1
