A,B,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Universal_quantification,Existential_quantification,7287,6858,14145,429,0.237958397283088,0.222640651884557,1,1
Square_root,Set_(mathematics),67,0,67,67,2.13844551607872E-05,0,1,0
Addition,Multiplication,6687,3225,9912,3462,0.00200426269238989,0.000992052200710156,1,1
Descartes'_rule_of_signs,Rational_root_theorem,726,1680,2406,954,0.00801138808885358,0.00478064521636688,1,1
Triangular_matrix,Matrix_(mathematics),571,2398,2969,1827,0.00787445009860301,0.000617568351656502,1,1
Inverse_trigonometric_functions,Trigonometry,701,2667,3368,1966,0.000764170123237421,0.000739873758173081,1,1
Secant_line,Slope,89,635,724,546,0.000577730751504372,0.000983585735373615,1,1
Number,Quadratic_formula,101,0,101,101,3.22984938540763E-06,0,0,0
Trigonometric_functions,Trigonometric_substitution,459,0,459,459,0.000219267131856935,0,1,0
Unit_circle,Complex_number,684,0,684,684,0.000811213725166957,0,1,0
Polynomial_long_division,Degree_of_a_polynomial,88,0,88,88,0.000244464137388845,0,1,0
Logarithm,E_(mathematical_constant),13875,3626,17501,10249,0.00166075159812181,0.000922970171976375,1,1
Commutative_property,Subtraction,645,172,817,473,0.00254934665581053,0.00044910375079964,1,1
Determinant,Minor_(linear_algebra),7665,3491,11156,4174,0.00380233606797277,0.0201965854984929,1,1
Inverse_trigonometric_functions,Geometry,430,0,430,430,0.000468749148348204,0,1,0
Number,Exponentiation,1553,0,1553,1553,4.96629316389906E-05,0,1,0
Secant_line,Derivative,366,2107,2473,1741,0.00237583657360225,0.00138428900958622,1,1
Amplitude,Sine_wave,1993,4221,6214,2228,0.00546280332537531,0.00367774870546905,1,1
Polynomial,Mathematics,2422,449,2871,1973,0.000309097273882008,1.71608029419686E-06,1,1
Interval_(mathematics),Real_number,1721,11,1732,1710,0.00619100379877979,5.81924955909927E-07,1,0
Common_logarithm,Mathematics,23,0,23,23,0.000122303344198833,0,0,0
Addition,Number,17,644,661,627,5.09532911180321E-06,2.08583164844668E-05,0,1
Perpendicular,Parallel_(geometry),699,865,1564,166,0.00148903672744237,0.00762322748944646,1,1
Limit_of_a_function,Calculus,2708,5551,8259,2843,0.0157767485216581,0.000579504741112964,1,1
Logarithm,Scientific_notation,1820,0,1820,1820,0.000217842732150032,0,1,0
Force,Work_(physics),1523,17076,18599,15553,0.00102729377229288,0.0281605129448317,1,1
Geometry,Trigonometry,2645,4885,7530,2240,0.000125075222461297,0.00135518684239801,1,1
Equation,Parametric_equation,1662,0,1662,1662,0.000684614947343966,0,1,0
Complex_number,Number,6977,13413,20390,6436,0.000641428680568241,0.000434429501562349,1,1
Binomial,Binomial_coefficient,15916,0,15916,15916,0.0160291497682138,0,1,0
Quadratic_function,Graph_of_a_function,310,0,310,310,0.00147988313697034,0,1,0
Mathematics,Analytic_geometry,804,0,804,804,3.13198618686576E-06,0,1,0
Number,Algebra,11,328,339,317,3.51765774648356E-07,5.80929810041266E-05,0,1
Degree_(angle),Minute_and_second_of_arc,3878,4094,7972,216,0.0106736099260719,0.0589259755026843,1,1
Geometry,Mathematics,17949,21071,39020,3122,0.000848761878244922,8.0533469663746E-05,1,1
Angle,Right_angle,4573,3786,8359,787,0.00352619586464281,0.033680577177984,1,1
Circle,Eccentricity_(mathematics),1877,1302,3179,575,0.000410763356757276,0.00363628239000385,1,1
Degree_of_a_polynomial,Polynomial,6533,5223,11756,1310,0.0080972111534033,0.00126964325042285,1,1
Position_(vector),Euclidean_vector,3778,862,4640,2916,0.0579207996688488,0.00255705161862554,1,1
Monotonic_function,Mathematics,88,0,88,88,0.00125397209912079,0,1,0
Periodic_function,Mathematics,486,0,486,486,0.00383347268453517,0,1,0
Exponential_growth,Function_(mathematics),257,0,257,257,0.000247626352068788,0,1,0
Algebraic_operation,Algebra,179,0,179,179,0.0106408274878136,0,1,0
Function_(mathematics),Domain_of_a_function,12309,4390,16699,7919,0.00139517945040879,0.00551152335241233,1,1
Basis_(linear_algebra),Mathematics,188,0,188,188,0.000938878040741314,0,1,0
Parallel_(geometry),Line_(geometry),1745,569,2314,1176,0.0153786496752417,0.000246852736074078,1,1
Polynomial,Addition,1738,0,1738,1738,0.00022180473245538,0,1,0
Matrix_(mathematics),Square_matrix,4439,7080,11519,2641,0.00123846316736885,0.0637516208039187,1,1
Negative_number,Subtraction,312,1952,2264,1640,0.00126538640926328,0.00509680535791219,1,1
Radius,Line_segment,1065,0,1065,1065,0.00180307996532669,0,1,0
Linear_equation,Line_(geometry),2461,4140,6601,1679,0.00214089917765461,0.00179608141888697,1,1
Natural_logarithm,E_(mathematical_constant),58509,55469,113978,3040,0.0201638013774755,0.0141192036595029,1,1
Zero_of_a_function,Graph_of_a_function,11,0,11,11,6.15663601408191E-05,0,0,0
Circle,Conic_section,446,6622,7068,6176,9.76028008064705E-05,0.00449881245482165,1,1
Imaginary_number,Real_number,3832,18681,22513,14849,0.00593680524892907,0.000988267281941213,1,1
Binary_number,Number,3570,11,3581,3559,0.017488769466666,3.56275592125986E-07,1,0
Distance,Cartesian_coordinate_system,133,0,133,133,0.00102735228914174,0,1,0
Right_angle,Angle,3786,4573,8359,787,0.033680577177984,0.00325495022196725,1,1
Symmetry,Geometry,520,1117,1637,597,0.00191625239992188,4.55844241491506E-05,1,1
Binary_logarithm,Common_logarithm,195,1503,1698,1308,0.0014405921942066,0.0053281812219721,1,1
Ellipse,Curve,1262,0,1262,1262,0.00213192601439641,0,1,0
Binomial_coefficient,Binomial_theorem,23289,38425,61714,15136,0.0167782019536746,0.027576273424582,1,1
Linear_equation,Graph_of_a_function,266,0,266,266,0.000231401536471405,0,1,0
Geometry,Line_(geometry),3184,89,3273,3095,0.000150563141140556,3.86114121451546E-05,1,1
Triangle,Geometry,2541,1832,4373,709,0.00122277449988234,7.4763352767452E-05,1,1
Equation,Algebraic_equation,6685,2168,8853,4517,0.00275370091636246,0.0125010811590025,1,1
Polynomial,Integer,3843,0,3843,3843,0.000490446252489082,0,1,0
Vector_(mathematics_and_physics),Position_(vector),1196,0,1196,1196,0.00126774283476202,0,1,0
Law_of_sines,Spherical_law_of_cosines,175,60,235,115,0.000172355209313091,0.000921644828804473,1,1
Partial_fraction_decomposition,Polynomial_long_division,2813,0,2813,2813,0.00689738031954021,0,1,0
Cartesian_coordinate_system,Perpendicular,3957,212,4169,3745,0.00230166398032563,0.00058709336169105,1,1
Polynomial,Fundamental_theorem_of_algebra,1184,2827,4011,1643,0.000151102878726795,0.00225530139426609,1,1
Domain_of_a_function,Cartesian_coordinate_system,1320,0,1320,1320,0.00662886872328993,0,1,0
