A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Decision tree learning,Data mining,383.814814814815,297.355263157895,681.17007797271,86.4595516569201,0.000103840914396458,0.00311861845161194,1,1
Likelihood function,Standard deviation,32.175,31.1470588235294,63.3220588235294,1.02794117647058,1.99031165156587E-05,0.000301903789904611,0,0
Mixture model,Arithmetic mean,12,35.25,47.25,23.25,1.16690993497394E-05,0.000144797517616004,0,0
Statistical population,Statistical hypothesis testing,86.6923076923077,40.7027027027027,127.39501039501,45.989604989605,0.000218337185069921,0.00173110412487859,1,0
Bootstrap aggregating,Random forest,115.135922330097,134.192307692308,249.328230022405,19.0563853622106,0.00162823739011903,0.0116535271765331,1,1
Principal component analysis,Cluster analysis,42.9189189189189,53.4166666666667,96.3355855855856,10.4977477477477,8.82337185855666E-06,0.000564715915297899,0,0
Confidence interval,Type I and type II errors,87.8928571428571,79.7058823529412,167.598739495798,8.18697478991596,3.1610893712538E-05,0.00287297831378436,1,1
Naive Bayes classifier,Machine learning,15.8,25.0851063829787,40.8851063829787,9.28510638297872,4.32388527911364E-06,0.00039412048453754,0,0
DBSCAN,Anomaly detection,295.774193548387,414.866666666667,710.640860215054,119.09247311828,0.000541329270657846,0.0182916165138936,1,1
Bayesian network,Bayes' theorem,101.23595505618,58.5375,159.77345505618,42.6984550561798,5.62299828516027E-05,0.00286026304891948,1,0
Likelihood function,Conditional probability,81.8787878787879,121.112903225806,202.991691104594,39.2341153470186,5.06493568084667E-05,0.0127614664554768,1,1
Correlation and dependence,Arithmetic mean,40.3191489361702,184.655172413793,224.974321349963,144.336023477623,8.4321441576096E-06,0.0010998449742322,0,1
Standard deviation,Precision and recall,174.857142857143,384.387096774194,559.244239631336,209.529953917051,1.06191390095789E-05,0.0121472966760079,0,1
Machine learning,Support vector machine,715.148351648352,165.549382716049,880.697734364401,549.598968932302,2.30748239925017E-05,0.00724033378049416,1,1
Bayes' theorem,Conditional probability,70.1190476190476,60.2352941176471,130.354341736695,9.88375350140056,4.71553083859495E-05,0.00696110888289158,0,0
Anomaly detection,Support vector machine,71.7758620689655,211.296296296296,283.072158365262,139.520434227331,7.15382121282754E-05,0.00616072250534609,0,1
Median,Interquartile range,38.8556701030928,118.48275862069,157.338428723782,79.6270885175969,0.000107823395519788,0.0152444705519066,0,1
K-means clustering,Data mining,281.5,624.538461538462,906.038461538462,343.038461538462,6.57697064965517E-05,0.00448162541858266,1,1
Sensitivity and specificity,False positives and false negatives,151.446428571429,51.9347826086956,203.381211180124,99.5116459627329,0.000161817990878815,0.00531430948456314,1,0
Machine learning,Random forest,100.683760683761,53.7361111111111,154.419871794872,46.9476495726496,3.24864072094417E-06,0.00430758542524185,0,0
Boosting (machine learning),Bootstrap aggregating,25.8333333333333,65.4615384615385,91.2948717948718,39.6282051282051,2.88596419691436E-05,0.000959668367481188,0,0
Central tendency,Arithmetic mean,114.121621621622,100.888,215.009621621622,13.2336216216216,0.000134130545789818,0.00259012977965309,1,1
Standard deviation,Anomaly detection,12.6,16,28.6,3.4,7.65202663925541E-07,0.000470297066081147,0,0
F-test,Stepwise regression,10,12.875,22.875,2.875,5.75698610263555E-05,0.000108745916749194,0,0
Arithmetic mean,Mixture model,30.468085106383,10.5,40.968085106383,19.968085106383,1.02640022511423E-05,1.54823983562117E-05,1,0
Bayesian network,Joint probability distribution,46.09375,15,61.09375,31.09375,2.56020775487103E-05,1.06151478159333E-05,0,0
Cluster analysis,K-medoids,35.0454545454545,11,46.0454545454545,24.0454545454545,5.93706480294682E-06,2.33715351699111E-05,0,0
Backpropagation,Ensemble learning,39.8421052631579,118.785714285714,158.627819548872,78.9436090225564,1.94891630341604E-05,0.00128619303104575,0,0
Artificial neural network,Backpropagation,3490.02877697842,715.686390532544,4205.71516751096,2774.34238644587,0.000151565981881214,0.0204984740245214,1,1
Hyperplane,Support vector machine,70,171.416666666667,241.416666666667,101.416666666667,0.000758125480597403,0.00111065786095503,1,1
Standard deviation,Principal component analysis,2199.10344827586,1285,3484.10344827586,914.103448275862,0.000133552366418137,0.0397566214111528,1,1
Expectation–maximization algorithm,Likelihood function,180.741935483871,99.4705882352941,280.212523719165,81.2713472485769,0.000342370685101278,0.000869689097719419,1,1
F1 score,Precision and recall,54.5,240.121212121212,294.621212121212,185.621212121212,2.43848856662063E-05,0.00807780957206163,0,1
Standard deviation,Mixture model,190.946428571429,268.914893617021,459.86132218845,77.9684650455927,1.1596247286502E-05,0.00931819203924567,1,1
Statistical hypothesis testing,Confidence interval,77.7142857142857,94.1666666666667,171.880952380952,16.452380952381,2.65861016559671E-05,0.00218364872242057,1,1
Statistical hypothesis testing,Statistical model,175.917647058824,62.6111111111111,238.528758169935,113.306535947712,6.01815278207556E-05,0.00789180685263726,1,1
Boosting (machine learning),Ensemble learning,25.3333333333333,19.6666666666667,45,5.66666666666666,2.83010682536118E-05,9.12632457386638E-05,0,0
AdaBoost,Boosting (machine learning),65.0444444444445,22.5625,87.6069444444445,42.4819444444445,0.000281107951407797,0.000115359972645946,1,0
Natural selection,Mutation (genetic algorithm),115.648148148148,47.1,162.748148148148,68.5481481481482,0.00016929875398828,0.00295415972031446,1,0
Association rule learning,Data mining,85.9393939393939,123.2375,209.176893939394,37.2981060606061,0.000474653804820548,0.0013605230016568,1,1
Data mining,Null hypothesis,75.6478873239437,92.4230769230769,168.070964247021,16.7751895991333,1.59736810837709E-05,0.0017597949469059,1,1
Statistical population,Sampling (statistics),78.0625,168.183486238532,246.245986238532,90.1209862385321,0.000196602754768207,0.0161169082473873,1,1
Statistical significance,Confidence interval,62.25,122.686274509804,184.936274509804,60.4362745098039,5.15910771056618E-05,0.00302280753455431,0,1
Statistical classification,Receiver operating characteristic,85.9803921568627,322.666666666667,408.647058823529,236.686274509804,3.29523626892894E-05,0.00374837194614658,1,1
Support vector machine,Outlier,13,10,23,3,5.21097013432678E-06,3.80259222712123E-06,0,0
Artificial neural network,Genetic algorithm,33.5833333333333,36.4285714285714,70.0119047619048,2.84523809523809,1.45846673961172E-06,0.000236120621525034,0,0
Sample (statistics),Type I and type II errors,55.3846153846154,46.2777777777778,101.662393162393,9.10683760683761,0.000138428315665779,0.00117746171482527,1,0
Support vector machine,Classification rule,62.9166666666667,102.928571428571,165.845238095238,40.0119047619048,2.52197593039533E-05,0.0277435502502888,0,1
Random forest,Bootstrap aggregating,161.011494252874,174.931034482759,335.942528735632,13.9195402298851,3.64927847475749E-05,0.00381386418192876,0,1
