A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Inverse_trigonometric_functions,Trigonometric_functions,63.8851351351351,56.0752688172043,119.960403952339,7.80986631793083,4.17852777831351E-05,0.00143542948242789,1,0
Pythagorean_theorem,Sine,219.974025974026,134.676470588235,354.650496562261,85.2975553857907,3.11707568436429E-05,0.00381877442610384,1,1
Angle,Right_angle,27.7,91.412213740458,119.112213740458,63.712213740458,3.82553093052242E-06,0.00419071882638876,0,1
Plane_(geometry),Geometry,98.3535353535353,61.6185567010309,159.972092054566,36.7349786525044,0.000145663407962156,0.000714066659203832,1,0
Edge_(geometry),Nonagon,18.9615384615385,52.9090909090909,71.8706293706294,33.9475524475524,3.195648214229E-05,0.000494268985088278,0,0
Vertex_(geometry),Diagonal,95.051948051948,53.1842105263158,148.236158578264,41.8677375256323,6.43551301612183E-05,0.00405272892437246,1,0
Plane_(geometry),Two-dimensional_space,85.0307692307692,94,179.030769230769,8.96923076923076,0.000125932144515965,0.00173156168992269,1,1
Geometry,Parallel_(geometry),152.257142857143,141.970873786408,294.228016643551,10.2862690707351,5.33635744946988E-06,0.00904744798199087,1,1
Angle,Star_polygon,15.7083333333333,63.0757575757576,78.7840909090909,47.3674242424242,2.16941209507664E-06,0.00305004476524986,0,1
Edge_(geometry),Square,14,51.9285714285714,65.9285714285714,37.9285714285714,2.35946440158084E-05,0.00311513576050162,0,1
Angle,Sine,31.4347826086957,91.6132075471698,123.047990155865,60.1784249384742,4.34132610699688E-06,0.00161974747551406,0,1
Geometry,Sine,216.605769230769,270.908045977012,487.513815207781,54.3022767462423,7.59166886060179E-06,0.00393119434150868,1,1
Circle,Acute_and_obtuse_triangles,82.7794117647059,30.9459459459459,113.725357710652,51.8334658187599,1.0979077502215E-05,0.00192814177651742,1,0
Angle,Congruence_(geometry),10,67.6938775510204,77.6938775510204,57.6938775510204,1.38105809766152E-06,0.00324884253251046,0,1
Quadrilateral,Kite_(geometry),136.394230769231,351.85,488.244230769231,215.455769230769,3.88954010999055E-05,0.0244128925421048,1,1
Grade_(slope),Slope,18.7647058823529,81.7428571428571,100.50756302521,62.9781512605042,5.8719527740375E-05,0.00172726065274877,0,1
Diagonal,Vertex_(geometry),22.8461538461538,11.3333333333333,34.1794871794872,11.5128205128205,0.00020449292296125,4.37100583272161E-05,1,0
Line_(geometry),Convex_polygon,143.642857142857,130.641025641026,274.283882783883,13.0018315018315,2.98040073066206E-05,0.0142535822791184,1,1
Circle,Sphere,92.7962962962963,54.8793103448276,147.675606641124,37.9169859514687,1.230762223645E-05,0.00114851989595124,1,0
Perpendicular,Acute_and_obtuse_triangles,87.4193548387097,28.3333333333333,115.752688172043,59.0860215053764,8.06971975828599E-05,0.00085882297469335,1,0
Line_(geometry),Reflection_(mathematics),12,22.4705882352941,34.4705882352941,10.4705882352941,2.4898424801155E-06,0.000196987940934558,0,0
Geometry,Dodecagon,31.6315789473684,164,195.631578947368,132.368421052632,1.10863378089697E-06,0.0116032262629121,0,1
Slope,Trigonometric_functions,37.4782608695652,13.5,50.9782608695652,23.9782608695652,8.12728880528195E-05,7.43175379205237E-06,0,0
Polygon,Geometry,18.7441860465116,23.9714285714286,42.7156146179402,5.22724252491694,1.34972287869987E-06,0.000100234553634267,0,0
Point_(geometry),Cartesian_coordinate_system,99.7228915662651,76.9705882352941,176.693479801559,22.7523033309709,3.32732499990041E-05,0.00120400906955756,1,1
Line_(geometry),Trigonometric_functions,16.1578947368421,105.649122807018,121.80701754386,89.4912280701754,3.35255105875201E-06,0.00165755634576813,0,1
Tangent,Line_(geometry),29.6621621621622,23.6086956521739,53.2708578143361,6.05346650998825,1.52990325909402E-05,0.000276268392453752,0,0
Quadrilateral,Circle,112.414285714286,159.929577464789,272.343863179074,47.515291750503,3.20570650793456E-05,0.00553895954388827,1,1
Angle,Cone,78.9827586206897,77.0944881889764,156.077246809666,1.88827043171327,1.09079778368749E-05,0.00560172645999037,1,1
Geometry,Pythagorean_theorem,202.564853556485,177.866359447005,380.43121300349,24.6984941094807,7.09955831951444E-06,0.00856821920362646,1,1
Triangle_inequality,Pythagorean_theorem,26.0444444444444,103.51724137931,129.561685823755,77.4727969348659,2.89850018690627E-05,0.000666419515746991,0,1
Polygon,Rectangle,106.931506849315,148.625,255.556506849315,41.6934931506849,7.69987562491319E-06,0.00471294442491178,1,1
Convex_polygon,Edge_(geometry),15.5,76.6969696969697,92.1969696969697,61.1969696969697,5.23523073857284E-05,0.00214255481249471,0,1
Right_angle,Line_(geometry),26.3783783783784,36.3913043478261,62.7696827262045,10.0129259694477,6.25775527265572E-05,0.000425850174003297,0,0
Congruence_(geometry),Line_(geometry),31.7692307692308,24,55.7692307692308,7.76923076923077,4.95344719145541E-05,0.000427376518712986,0,0
Rhombus,Line_(geometry),84.030303030303,12.875,96.905303030303,71.155303030303,2.71536741281007E-05,5.24045016993304E-05,1,0
Translation_(geometry),Cartesian_coordinate_system,42.3181818181818,17.2352941176471,59.5534759358289,25.0828877005348,0.000156564684926605,4.49337227589306E-05,1,0
Tessellation,Kite_(geometry),33.35,32.9615384615385,66.3115384615385,0.388461538461542,2.81271058431005E-05,0.000991040164302201,0,0
Line_segment,Octagon,49.5625,87.7586206896552,137.321120689655,38.1961206896552,2.77895679994258E-05,0.00275735493279421,1,1
Right_triangle,Pythagorean_theorem,126.542056074766,138.820512820513,265.362568895279,12.2784567457465,7.94819724290891E-05,0.00240372768704478,1,1
Cone,Geometry,20.2222222222222,11.5,31.7222222222222,8.72222222222222,6.68129944666359E-05,2.74778871702997E-06,0,0
Triangle,Midpoint,66.0816326530612,42.5,108.581632653061,23.5816326530612,7.22719807568151E-06,0.00458871715429121,1,0
Pythagorean_triple,Right_triangle,13.75,25.7179487179487,39.4679487179487,11.9679487179487,1.82097739471771E-05,0.000638473672350334,0,0
Polygon,Hexagon,155.659574468085,25.2058823529412,180.865456821026,130.453692115144,1.12086642987286E-05,0.00120566677452484,1,0
Triangle,Equilateral_triangle,137.765151515152,97.3289473684211,235.094098883573,40.4362041467304,1.5067061722788E-05,0.00615984450910278,1,1
Geometry,Trapezoid,254.426470588235,218.571428571429,472.997899159664,35.8550420168067,8.9172209998696E-06,0.0149283585147747,1,1
Vertex_(geometry),Edge_(geometry),83.5274725274725,46.1111111111111,129.638583638584,37.4163614163614,5.65524586997974E-05,0.00351307881147888,1,0
Polygon,Triangle,125.269662921348,87.5555555555556,212.825218476904,37.7141073657928,9.02036128068796E-06,0.00282496002753261,1,1
Inverse_trigonometric_functions,Tangent,16.0434782608696,24.195652173913,40.2391304347826,8.15217391304348,1.04935396054196E-05,0.000353547257483417,0,0
Angle,Trapezoid,131.380952380952,25.6666666666667,157.047619047619,105.714285714286,1.81444728164197E-05,0.00103303265212534,1,0
Line_segment,Vertex_(geometry),42.8666666666667,87.7586206896552,130.625287356322,44.8919540229885,2.40352312381751E-05,0.0032718264247872,1,1
Circle,Cartesian_coordinate_system,77.1369863013699,15.12,92.2569863013699,62.0169863013699,1.02307196057066E-05,5.79691030814872E-05,1,0
Rotation_(mathematics),Circle,20.8333333333333,17.6,38.4333333333333,3.23333333333333,3.04979956717245E-05,4.2926326716175E-05,0,0
Point_(geometry),Acute_and_obtuse_triangles,167.214285714286,14.1428571428571,181.357142857143,153.071428571429,5.57922323008378E-05,0.000166712695087533,1,0
