A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Acceleration,Newton's_law_of_universal_gravitation,59.1339285714286,298.185567010309,357.319495581738,239.051638438881,9.72757342389458E-06,0.00203826661646403,0,1
Laser,Absorption_spectroscopy,25.375,14,39.375,11.375,5.01197937138422E-06,8.85843922088567E-05,0,0
Electric_field,Coulomb,234.792682926829,206.862068965517,441.654751892347,27.930613961312,4.03621434146766E-05,0.00689321152530259,1,1
Dielectric,Refractive_index,24.8636363636364,73.9636363636364,98.8272727272727,49.1,8.99129475006025E-06,0.000738970349813813,0,1
Geometrical_optics,Diffraction,23.8421052631579,21,44.8421052631579,2.84210526315789,9.46863009406551E-05,7.03338097775816E-05,0,0
Mass,Field_(physics),40.9722222222222,51.9918032786885,92.9640255009107,11.0195810564663,5.41115083299366E-06,0.000752966102399116,0,0
Collision,Inelastic_collision,130,71.1290322580645,201.129032258065,58.8709677419355,0.000437661808620591,0.000610384340056881,1,0
Ohm,Metre,52.75,57.6538461538462,110.403846153846,4.90384615384615,4.37954507527421E-05,0.000253035412128684,0,0
Force,Acceleration,135.774725274725,54.6827586206897,190.457483895415,81.0919666540356,7.8950696040819E-06,0.00242364553702593,1,1
Deformation_(engineering),Elasticity_(physics),39.8285714285714,55.2456140350877,95.0741854636591,15.4170426065163,9.46951041815972E-05,0.000967428771559007,1,0
Physics,Energy_level,220.743243243243,182.14,402.883243243243,38.6032432432433,2.34079240865732E-06,0.00642621158585664,1,1
Refractive_index,Reflection_(physics),13.5555555555556,17.56,31.1155555555556,4.00444444444444,1.85849342692767E-06,0.000341318687470261,0,0
Mass,Wavelength,63.6896551724138,42.9545454545455,106.644200626959,20.7351097178683,8.41141417153511E-06,0.000202957989199628,0,0
Energy,Electric_field,146.567307692308,173.239583333333,319.806891025641,26.6722756410257,4.74572115344764E-06,0.00406354186137143,1,1
Displacement_(vector),Potential_energy,83.5,18.5,102,65,0.000109624362603257,2.31709799132654E-05,1,0
