A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Multiplication,Binomial_coefficient,17.1875,45.984126984127,63.171626984127,28.796626984127,3.66030028198421E-06,0.00110303664427087,0,0
Pythagorean_theorem,Sine,219.974025974026,134.676470588235,354.650496562261,85.2975553857907,0.000100439073757479,0.00381877442610384,1,1
Complex_number,Division_(mathematics),162.385964912281,103.87323943662,266.2592043489,58.512725475661,1.49289114542762E-05,0.00658849510284976,1,1
Polynomial,Equation,121.773148148148,137.699453551913,259.472601700061,15.9263054037644,1.5540771314873E-05,0.00282352208244362,1,1
Number,Subtraction,236.737991266376,131.060975609756,367.798966876132,105.677015656619,7.57057480786475E-06,0.0116926488196104,1,1
Equation,Equation_solving,51.5416666666667,34.2424242424242,85.7840909090909,17.2992424242424,2.12311645072324E-05,0.000427969673993154,1,0
Number,Division_(mathematics),284.375,166.257352941176,450.632352941176,118.117647058824,9.09394474232965E-06,0.0100998279844431,1,1
Inverse_trigonometric_functions,Trigonometric_functions,63.8851351351351,56.0752688172043,119.960403952339,7.80986631793083,6.96420992714059E-05,0.00143542948242789,1,0
Mathematics,Right_angle,353.986666666667,294.054054054054,648.040720720721,59.9326126126126,1.37895690340131E-06,0.00761503479433982,1,1
Angle,Right_angle,27.7,91.412213740458,119.112213740458,63.712213740458,2.13592008420306E-05,0.00419071882638876,0,1
Polynomial,Division_(mathematics),89.8159509202454,186.944444444444,276.76039536469,97.1284935241991,1.14623722463122E-05,0.00450921071615378,1,1
Geometry,Sine,216.605769230769,270.908045977012,487.513815207781,54.3022767462423,1.02427277024343E-05,0.00393119434150868,1,1
Plane_(geometry),Geometry,98.3535353535353,61.6185567010309,159.972092054566,36.7349786525044,0.000182079192537031,0.000714066659203832,1,0
Mathematics,Rational_function,56.8918918918919,66.9333333333333,123.825225225225,10.0414414414414,2.21622661131922E-07,0.00230962926769569,0,0
Mathematics,Cone,431.69387755102,235.538461538462,667.232339089482,196.155416012559,1.68166574806507E-06,0.0140149005580558,1,1
Open_set,Real_number,12.8888888888889,18.6363636363636,31.5252525252525,5.74747474747475,2.64732295171945E-05,4.90644780239605E-05,0,0
Polynomial,Addition,62.7006802721088,147.232323232323,209.933003504432,84.5316429602144,8.00190311422635E-06,0.00256262484796722,1,1
Mathematics,Linear_equation,93.5294117647059,138.928571428571,232.457983193277,45.3991596638655,3.64344310587983E-07,0.00632489325145736,0,1
Number,Square_root,318.369047619048,117.621212121212,435.99025974026,200.747835497835,1.01810304236158E-05,0.0028865990114988,1,1
Trigonometry,Mathematics,55.9579831932773,59.5925925925926,115.55057578587,3.63460939931529,1.55237507780263E-05,0.000372176774179892,0,0
Trigonometry,Inverse_trigonometric_functions,546.282608695652,112.186274509804,658.468883205456,434.096334185848,0.000151548618942725,0.00272410741024824,1,1
Geometry,Unit_circle,187.7375,216.224,403.9615,28.4865,8.87762176817683E-06,0.0082272007792524,1,1
Geometry,Parallel_(geometry),152.257142857143,141.970873786408,294.228016643551,10.2862690707351,7.19984726433974E-06,0.00904744798199087,1,1
Euclidean_vector,Geometry,81.6268656716418,19.2,100.826865671642,62.4268656716418,0.000161426384668832,8.02832181671365E-05,1,0
Mathematics,Spherical_law_of_cosines,142.027777777778,120.012658227848,262.040436005626,22.0151195499297,5.53269947949303E-07,0.0118695885142545,1,1
Arithmetic,Synthetic_division,332.033333333333,495.733333333333,827.766666666667,163.7,4.36543048859427E-05,0.0210676027527277,1,1
Addition,Empty_sum,88.2916666666667,70.6153846153846,158.907051282051,17.6762820512821,2.64632411468407E-05,0.00279211233335023,1,0
Geometry,Ellipse,160.47972972973,356.932203389831,517.41193311956,196.452473660101,7.58867217258025E-06,0.00269640311425021,1,1
Domain_of_a_function,Function_(mathematics),132.561403508772,89.3235294117647,221.884932920537,43.2378740970072,0.000665706167905086,0.000708445760510809,1,0
Equality_(mathematics),Linear_equation,22.8181818181818,87.8076923076923,110.625874125874,64.9895104895105,6.15853743814166E-05,0.000530287597983002,0,1
Pythagorean_theorem,Pythagorean_trigonometric_identity,19.375,15.75,35.125,3.625,8.84653106399455E-06,0.000153986038599167,0,0
Geometry,Pythagorean_theorem,202.564853556485,177.866359447005,380.43121300349,24.6984941094807,9.57876904401415E-06,0.00856821920362646,1,1
Number,Exponentiation,118.54347826087,254.344827586207,372.888305847076,135.801349325337,3.7908671327223E-06,0.00122326816588883,1,1
Polynomial,Monomial,193.9,127.808219178082,321.708219178082,66.0917808219178,2.47456488050047E-05,0.00367964454554812,1,1
Coordinate_system,Equation,105.207547169811,22.6603773584906,127.867924528302,82.5471698113208,4.49257591758386E-05,0.000134570817136187,1,0
Division_by_zero,Division_(mathematics),14.695652173913,26.2,40.895652173913,11.504347826087,3.45239852323142E-05,0.000468118160527901,0,0
Vector_space,Scalar_(mathematics),118.435897435897,229.524475524476,347.960372960373,111.088578088578,0.000178066426063034,0.0151545653000994,1,1
Polynomial,Real_number,62.7923076923077,96.2424242424242,159.034731934732,33.4501165501166,8.01359666740402E-06,0.0011402106014934,1,1
Zero_(complex_analysis),Real_number,44,14,58,30,0.0307262569832402,6.70148968132143E-06,1,0
Line_(geometry),Analytic_geometry,61.1730769230769,84.4631578947368,145.636234817814,23.2900809716599,2.08521429801749E-05,0.00124998208525177,1,1
Cone,Ellipse,64.1470588235294,77.9873417721519,142.134400595681,13.8402829486225,0.000105969168948089,0.000788857001134694,1,0
E_(mathematical_constant),Natural_logarithm,295.353488372093,366.760638297872,662.114126669965,71.4071499257793,0.000150359840357302,0.0305811848828684,1,1
Natural_logarithm,Common_logarithm,1383.93548387097,1061.1875,2445.12298387097,322.747983870968,0.000476942012613694,0.0144716677832156,1,1
Complex_number,Graph_of_a_function,249.069444444444,267.017857142857,516.087301587302,17.9484126984127,2.28981346022452E-05,0.00218721655082108,1,1
Geometry,Polar_coordinate_system,191.058823529412,298.481481481481,489.540305010893,107.42265795207,9.03467858455004E-06,0.00665343703121917,1,1
Scientific_notation,E_(mathematical_constant),20,60.6153846153846,80.6153846153846,40.6153846153846,6.11884635270866E-05,0.000471712372782076,0,0
Complex_number,Set_(mathematics),10,102.674418604651,112.674418604651,92.6744186046512,9.19347399409834E-07,0.00189826911393613,0,0
Associative_property,Complex_number,20.2105263157895,39.8484848484849,60.0590111642743,19.6379585326954,2.25382547255941E-05,0.00109488671252979,0,0
Polygon,Geometry,18.7441860465116,23.9714285714286,42.7156146179402,5.22724252491694,7.79839617178087E-06,0.000100234553634267,0,0
Image_(mathematics),Function_(mathematics),175.586206896552,284.470588235294,460.056795131846,108.884381338742,0.0018303767046102,0.0022562026327496,1,1
Trigonometric_substitution,Trigonometric_functions,29.6086956521739,50.9230769230769,80.5317725752508,21.314381270903,0.000634059910747455,0.000364431185951013,0,0
Square_root,Quadratic_function,20.7380952380952,17.2307692307692,37.9688644688645,3.50732600732601,6.61899802595793E-06,0.000142511044605957,0,0
Addition,Fundamental_theorem_of_algebra,32.5882352941176,52.8846153846154,85.472850678733,20.2963800904977,9.76751670567121E-06,0.00199895036933334,0,0
Function_(mathematics),Linear_inequality,33.8461538461538,23.04,56.8861538461538,10.8061538461538,3.83633587793714E-06,0.00543211739409257,0,0
Number,Cartesian_coordinate_system,11,80.0294117647059,91.0294117647059,69.0294117647059,3.51765774648356E-07,0.000417285527737372,0,1
Function_(mathematics),Distance,183.928571428571,36.0769230769231,220.005494505494,147.851648351648,2.08476207003159E-05,0.000198607839504539,1,0
Unit_circle,Curve,16.5,31.0666666666667,47.5666666666667,14.5666666666667,1.95687521421854E-05,0.000111248965396558,0,0
Addition,Summation,51.7234042553191,35.2142857142857,86.9376899696049,16.5091185410334,1.55028098508055E-05,0.000727925188780679,0,0
Mathematics,Multiplication,147.160621761658,178.886363636364,326.046985398022,31.7257418747056,5.73264968418021E-07,0.00654306889965438,1,1
Line_segment,Point_(geometry),62.6086956521739,28.8333333333333,91.4420289855073,33.7753623188406,0.00012091546103176,0.000345268031772642,1,0
Polynomial,Algebraic_expression,75.7988165680473,96.51,172.308816568047,20.7111834319527,9.67349610432114E-06,0.00236103275795341,1,1
Function_composition,Commutative_property,14.9333333333333,19.0952380952381,34.0285714285714,4.16190476190476,3.84024577572965E-05,0.000189014175591812,0,0
Amplitude,Simple_harmonic_motion,189.103448275862,82.22,271.323448275862,106.883448275862,0.000518331633758815,0.00122097764936706,1,1
Arithmetic,Empty_sum,287.418181818182,373.022727272727,660.440909090909,85.6045454545454,3.77884979586012E-05,0.00832006894104527,1,1
Product_(mathematics),Number,144.75,62.3863636363636,207.136363636364,82.3636363636364,0.000598457035126017,0.000489320425731944,1,0
Number,Algebraic_expression,91.7794871794872,126.597701149425,218.377188328912,34.8182139699381,2.93498930950192E-06,0.0026944787893585,0,1
Addition,Partial_fraction_decomposition,28.3863636363636,40.5952380952381,68.9816017316017,12.2088744588745,8.50810970674092E-06,0.000562683986112761,0,0
Polygon,Triangle,125.269662921348,87.5555555555556,212.825218476904,37.7141073657928,5.21176250247435E-05,0.00282496002753261,1,1
Circle,Eccentricity_(mathematics),92.2285714285714,96.3780487804878,188.606620209059,4.14947735191637,2.0183333824682E-05,0.00330004393078786,1,1
Real_number,Extended_real_number_line,119.06976744186,72.5957446808511,191.665512122712,46.4740227610094,1.30480538441602E-05,0.00216917257382625,1,0
Geometry,Solution_of_triangles,33.8840579710145,86.02,119.904057971014,52.1359420289855,1.60228963652783E-06,0.0040412487374034,0,1
Rational_number,Binary_logarithm,794.29347826087,601.423423423423,1395.71690168429,192.870054837446,0.000257780614420862,0.0108953127534795,1,1
Addition,Synthetic_division,23,52.8846153846154,75.8846153846154,29.8846153846154,6.89368056302787E-06,0.00194781830184242,0,0
Mathematics,Fundamental_theorem_of_algebra,81.1612903225806,56.9230769230769,138.084367245658,24.2382133995037,3.16164229102642E-07,0.0032273962326691,0,1
Circle,Cartesian_coordinate_system,77.1369863013699,15.12,92.2569863013699,62.0169863013699,1.68806858941346E-05,5.79691030814872E-05,1,0
Open_set,Domain_of_a_function,14,19.45,33.45,5.45,2.87554044755733E-05,0.000126670239917993,0,0
Mathematics,Product_(mathematics),102.045454545455,25.3333333333333,127.378787878788,76.7121212121212,3.97518599588061E-07,0.000170643559732431,0,0
Real_line,Real_number,16.7333333333333,44.8648648648649,61.5981981981982,28.1315315315315,0.000230381965956705,0.000198651301267742,0,0
Degree_(angle),Geometry,195.392857142857,65.8571428571429,261.25,129.535714285714,0.000537789360361926,0.000165225730245759,1,0
Fundamental_theorem_of_algebra,Addition,111.234042553191,356.358974358974,467.593016912166,245.124931805783,0.000102391605862511,0.00244342481730573,1,1
Curve,Asymptote,34.4285714285714,52.3863636363636,86.8149350649351,17.9577922077922,3.20955760976121E-05,0.00589711642519617,0,1
Identity_(mathematics),Equality_(mathematics),19.2105263157895,31.65,50.8605263157895,12.4394736842105,0.000454762358634317,0.000275099816035147,0,0
Angle,Solution_of_triangles,25.0909090909091,39.2173913043478,64.3083003952569,14.1264822134387,1.93473561942909E-05,0.00084752531065749,0,0
Arithmetic,Polynomial_long_division,332.033333333333,239.208955223881,571.242288557214,92.8243781094528,4.36543048859427E-05,0.0131212795273818,1,1
Addition,Polynomial,156.546391752577,54.6698113207547,211.216203073332,101.876580431823,4.69209051320387E-05,0.000831662712621138,1,0
Number,Multiplicative_inverse,194.363636363636,33.3777777777778,227.741414141414,160.985858585859,6.21549773717508E-06,0.000537354740706661,1,0
Mathematics,Linear_function,416.991525423729,179.065573770492,596.057099194221,237.925951653237,1.62439265879005E-06,0.00682166069310771,1,1
Mathematics,Limit_(mathematics),507.571428571429,433.984962406015,941.556390977444,73.5864661654135,1.97724714320079E-06,0.0161515989299426,1,1
Mathematics,Function_(mathematics),298.891025641026,227.014388489209,525.905414130234,71.876637151817,1.16433154687292E-06,0.00736088441650266,1,1
Exponential_function,Mathematics,13.6363636363636,54,67.6363636363636,40.3636363636364,4.48988178201133E-06,5.58623253098748E-05,0,0
Algebraic_equation,Number,51.6944444444444,108.607142857143,160.301587301587,56.9126984126984,0.00029807954126824,0.000542085032659687,1,1
Identity_matrix,Square_matrix,11,15.5384615384615,26.5384615384615,4.53846153846154,6.08336421101531E-05,0.000105063761220238,0,0
