A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Kyoto Protocol,New Zealand,1066.24224422442,336.36524822695,1402.60749245137,729.876995997472,0.0285126155443431,0.00839482487610299,1,0
Carbon dioxide,Combustion,97.8992511912866,81.0493273542601,178.948578545547,16.8499238370265,0.0216222522735923,0.0198858786312991,1,1
Attribution of recent climate change,Carbon dioxide,299.929347826087,338.670384138786,638.599731964872,38.7410363126987,0.0900771352901869,0.0205456801915623,1,1
Northern Hemisphere,Axial tilt,208.583955223881,172.972286374134,381.556241598015,35.6116688497467,0.0307520035383742,0.01329191909458,1,1
Greenhouse gas,Nitrogen trifluoride,165.244897959184,372.851411589896,538.09630954908,207.606513630712,0.00704607753556977,0.207786497343141,1,1
Carbon cycle,Volcano,65.1564417177914,1287.04977375566,1352.20621547345,1221.89333203786,0.00881726009485165,0.0279138691511009,1,1
Stratosphere,Atmosphere of Earth,145.554561717352,123.430985915493,268.985547632845,22.1235758018595,0.106162278956344,0.00542650673551619,1,1
Troposphere,Lapse rate,290.5,126.840277777778,417.340277777778,163.659722222222,0.0216946040246049,0.0834180149115696,1,1
Stratosphere,Léon Teisserenc de Bort,279.219387755102,385.18407960199,664.403467357092,105.964691846888,0.0714059244201294,0.00861577975689039,1,1
Climate model,Land use,97.6272727272727,272.078787878788,369.706060606061,174.451515151515,0.00184901538510278,0.163890318741535,1,1
Northern Hemisphere,Arctic,87.554347826087,147.589285714286,235.143633540373,60.0349378881988,0.00221560977541886,0.00130737191670214,0,1
Carbon cycle,Solubility pump,61.9448275862069,107.558685446009,169.503513032216,45.6138578598025,0.00372847936405807,0.0133081151038684,1,1
Carbon cycle,Volcanic gas,77.6666666666667,36.1578947368421,113.824561403509,41.5087719298246,0.00280486918981746,0.000367605943551352,1,0
Climate model,Colorado,85.8018867924528,87.9375,173.739386792453,2.13561320754717,0.0015659553894692,0.00109608833313814,0,1
United Nations Framework Convention on Climate Change,United Nations Convention to Combat Desertification,25.65,46.6122448979592,72.2622448979592,20.9622448979592,0.00056402819481292,0.000246229635655604,0,0
