A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Mitosis,Interphase,119.902133580705,141.996054362122,261.898187942827,22.0939207814169,0.0363017793150535,0.177510826805098,1,1
Oogenesis,Meiosis,133.928057553957,134.436936936937,268.364994490894,0.508879382980098,0.186273626912417,0.00592652695194618,1,1
Mitosis,Cell division,176.056444818871,182.656356413167,358.712801232038,6.59991159429575,0.0880392118589361,0.0706257691490688,1,1
Meiosis,Interphase,185.309336332958,140.452015355086,325.761351688045,44.857320977872,0.0490703325547134,0.240624715697031,1,1
Centromere,DNA,207.773323873714,143.504700854701,351.278024728415,64.2686230190132,0.230008062080771,0.0269455979786529,1,1
Meiosis,Polar body,160.245299910474,118.137763371151,278.383063281625,42.1075365393237,0.0177720349344389,0.221369501902677,1,1
Synaptonemal complex,Gene,147.529010238908,158.43161634103,305.960626579938,10.9026061021223,0.0299850303762661,0.00992684713732708,1,1
Sexual reproduction,Self-pollination,42.2020460358056,63.0636604774536,105.265706513259,20.861614441648,0.00220305105414945,0.0285266909038552,0,1
Meiosis,Drosophila melanogaster,222.192017259978,140.280042918455,362.472060178433,81.9119743415235,0.0204506384544523,0.00920879295651763,1,0
Meiosis,Trisomy,114.433121019108,136.236947791165,250.670068810273,21.8038267720564,0.0053514483105377,0.133601668297812,1,1
Chromosome,Base pair,248.158169177289,180.932439977666,429.090609154955,67.2257291996224,0.0773349337611733,0.0589525994175873,1,1
Dictyate,Puberty,362.661333333333,230.057603686636,592.718937019969,132.603729646697,0.286746225858143,0.00900297333913424,1,1
Chromosomal crossover,Thomas Hunt Morgan,102.080620155039,130.271587743733,232.352207898771,28.1909675886938,0.0445826059989681,0.0200227681790081,1,1
Meiosis,Gene family,118.626288659794,159.550617283951,278.176905943744,40.9243286241568,0.00456994900347172,0.0326354029829338,1,1
Eukaryote,Peroxide,36.0756302521008,16.84,52.9156302521008,19.2356302521008,0.000817971985840873,0.00021092596498629,0,0
Fungus,Vegetative reproduction,26.7746478873239,56.3951612903226,83.1698091776465,29.6205134029986,0.000237980662099508,0.0128334061287635,0,1
Dictyate,Immature ovum,89.5316455696203,104.559633027523,194.091278597143,15.0279874579027,0.0149131314835119,0.0420902963715262,0,1
Dictyate,Messenger RNA,17.3333333333333,15.3,32.6333333333333,2.03333333333333,0.000328919625537657,4.03813264078039E-05,0,0
Centromere,Sister chromatids,155.331343283582,120.141849529781,275.473192813363,35.1894937538015,0.0817376395499843,0.138289782409258,1,1
Mitosis,Centrosome,135.614793467819,154.678238780694,290.293032248514,19.0634453128749,0.01982485598104,0.0965226994124361,1,1
Meiosis,Metaphase,141.485268630849,111.720144752714,253.205413383563,29.7651238781351,0.0243168309989628,0.176805283388424,1,1
Meiosis,Chromatid,161.453403833444,117.633628318584,279.087032152028,43.8197755148594,0.024254080705218,0.0816784244616208,1,1
Meiosis,Genetic diversity,147.008498583569,97.4379905808477,244.446489164417,49.5705080027217,0.00515247427784043,0.0384799227772897,1,1
Nuclear envelope,Nuclear lamina,47.5315985130112,57.8714285714286,105.40302708444,10.3398300584174,0.0398032562338511,0.0266682027270558,0,0
Gamete,Sperm,300.675893306492,168.09229155742,468.768184863912,132.583601749072,0.121464240159035,0.0281561206966442,1,1
Homologous chromosome,Gamete,103.376119402985,184.03056768559,287.406687088575,80.6544482826044,0.0253851831924593,0.0171359191521943,1,1
Nuclear envelope,Cell nucleus,92.4714673913043,137.972451790634,230.443919181938,45.5009843993293,0.211869999688697,0.0118766234051103,1,1
Chiasma (genetics),Chromosomal crossover,161.057712486884,130.036101083032,291.093813569916,31.021611403851,0.0426689084189697,0.0731690471773107,1,1
Mitosis,Cytoskeleton,158.3538710985,124.763112639725,283.116983738225,33.5907584587754,0.054859276874072,0.0621147380031135,1,1
Chromosome,Sex-determination system,177.980158730159,388.848275862069,566.828434592228,210.86811713191,0.0323920528213409,0.0748067903650584,1,1
Meiosis,Amoebozoa,284.204819277108,400.522267206478,684.727086483586,116.317447929369,0.0257632649851574,0.0871343428647301,1,1
Meiosis,Edwards syndrome,93.6958041958042,55.0228310502283,148.718635246033,38.6729731455759,0.00266063231246946,0.00644926143914332,0,0
Chromosomal crossover,Allele,132.57960199005,133.558282208589,266.137884198639,0.978680218539211,0.0360881982917743,0.0304641479519263,1,1
Sexual reproduction,Guppy,98.2178217821782,151.677865612648,249.895687394826,53.46004383047,0.00264884145896158,0.0530294916910168,1,1
Mitosis,Tubulin,221.784679089027,173.504318936877,395.288998025904,48.2803601521499,0.0451286323159406,0.136789621078857,1,1
Eukaryote,Cell wall,310.181893004115,241.50626118068,551.688154184795,68.6756318234355,0.0718075751865445,0.04819234959569,1,1
Cell cycle,Metaphase,141.463414634146,128.349436392915,269.812851027061,13.1139782412317,0.0198151722724245,0.152157997672911,1,1
Centrosome,Centriole,154.530017152659,134.046351084813,288.576368237471,20.4836660678461,0.0952054360231644,0.0397767028732415,1,1
Fungus,Mycetoma,84.125,76.0645161290323,160.189516129032,8.06048387096774,0.000589756390926239,0.00129346236507235,1,0
Spermatozoon,Somatic cell,443.410229645094,182.262394195889,625.672623840983,261.147835449205,0.0817555265578869,0.0289532007356096,1,1
Spermatozoon,Model organism,130.119047619048,47.1641025641026,177.28315018315,82.9549450549451,0.00631084217698073,0.00241115154311601,1,0
Eukaryote,Micrometre,190.660377358491,138.28,328.940377358491,52.3803773584906,0.00577610546255906,0.00840199295175599,1,1
Centrosome,Zygote,23.7946428571429,49.3394495412844,73.1340923984273,25.5448066841415,0.00140814558058925,0.0106012639513659,0,0
Oogenesis,Plant,29.7333333333333,82.0441176470588,111.777450980392,52.3107843137255,0.00148757408685965,0.000423650013300287,0,0
Chromosomal crossover,Chromosome,144.091844232182,149.187296416938,293.27914064912,5.09545218475591,0.132788346038268,0.0330777957067584,1,1
Mitosis,Algae,98.9844444444444,109.629502572899,208.613947017343,10.6450581284544,0.00625506328998382,0.0160819430783658,1,1
Mitosis,Meiosis,179.102693602694,183.449987402368,362.552681005062,4.34729379967476,0.104577642449331,0.0722932035275991,1,1
Centromere,Kinetochore,148.380771663504,131.034068136273,279.414839799777,17.3467035272316,0.0921229190465775,0.106686579957556,1,1
Spermatozoon,Y chromosome,409.080932784637,397.732904734074,806.81383751871,11.3480280505628,0.172188412993522,0.0645695785240523,1,1
Cell cycle,Ploidy,197.014925373134,177.219834710744,374.234760083878,19.7950906623905,0.0273800779429313,0.0361977843045141,1,1
Centromere,Genetics,81.3010204081633,114.953959484346,196.254979892509,33.652939076183,0.0125152710261069,0.0161979796899859,1,1
Sexual reproduction,Karyogamy,170.172126265634,164.067510548523,334.239636814158,6.1046157171111,0.038146387742593,0.156692894982233,1,1
Sexual reproduction,Fern,93.155830753354,103.311985361391,196.467816114745,10.1561546080367,0.0120516945976585,0.0292181354265235,0,1
Oogenesis,Gametogenesis,73.8152173913043,70.5089285714286,144.324145962733,3.30628881987577,0.0226504834615782,0.00723368550643127,1,0
Chromosomal crossover,Chromosomal inversion,150.246268656716,103.435779816514,253.68204847323,46.8104888402027,0.0408970690399999,0.0831222928762326,1,1
Centrosome,Nuclear envelope,127.541935483871,56.7485380116959,184.290473495567,70.7933974721751,0.0104456397683561,0.0302088845998194,1,1
