A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Classical mechanics,Acceleration,124.683890577508,71.0446313065977,195.728521884105,53.6392592709099,0.0101383789913127,0.0335730997047854,1,1
General relativity,Newton's laws of motion,187.822010869565,120.335042735043,308.157053604608,67.4869681345225,0.0119739239280728,0.0144658281900351,1,1
Newton's law of universal gravitation,General relativity,207.885697538101,300.335260115607,508.220957653708,92.4495625775061,0.0249923029431896,0.0450053993832914,1,1
Newton's laws of motion,Classical mechanics,165.19262295082,287.230708661417,452.423331612237,122.038085710598,0.0496966421548733,0.0300521546166438,1,1
General relativity,Inertial frame of reference,400.267482517483,218.310580204778,618.578062722261,181.956902312704,0.0396632711228405,0.038804948336154,1,1
Newton's laws of motion,Lagrangian mechanics,182.665955176094,131.06954887218,313.735504048274,51.5964063039135,0.0351716322141886,0.024732471899352,1,1
Momentum,Inertia,116.436657681941,179.37120079721,295.80785847915,62.9345431152691,0.0298347561441378,0.0402348656270963,1,1
Newton's laws of motion,Special relativity,259.052884615385,313.960784313725,573.01366892911,54.9078996983408,0.0110725356606009,0.00976695813420113,1,1
Quantum mechanics,Stephen Hawking,305.865853658537,235.590517241379,541.456370899916,70.2753364171573,0.00757194494920388,0.0153618495940101,1,1
Special relativity,Four-momentum,710.741007194245,275.254777070064,985.995784264308,435.486230124181,0.0150653743278812,0.0217771110292513,1,1
Newton's laws of motion,Standard Model,72.4320388349515,119.372413793103,191.804452628055,46.940374958152,0.00919844689002983,0.00813880592681305,0,1
Quantum mechanics,Quantum entanglement,253.925738396624,295.986543313709,549.912281710333,42.0608049170845,0.0454211032077139,0.064245508945416,1,1
Classical mechanics,Lester Germer,284.340206185567,287.208416833667,571.548623019234,2.86821064810033,0.0113611171090984,0.01042947379176,1,1
Momentum,John Philoponus,43.463976945245,79.6641791044776,123.128156049723,36.2002021592327,0.00208328067116944,0.00402416155604432,0,0
Velocity,Torricelli's equation,173.625,187.771604938272,361.396604938272,14.1466049382716,0.0174306392740287,0.184009630274874,1,1
Energy,Conjugate variables,114.492424242424,58.6570048309179,173.149429073342,55.8354194115064,0.00358750462146699,0.00434717385365756,1,0
Net force,Absolute value,193.661971830986,72.2820512820513,265.944023113037,121.379920548935,0.00900387068215289,0.00192922238103271,1,0
Force,Wind,31.4146341463415,34.2923076923077,65.7069418386492,2.87767354596623,0.00561672808146,0.00011189674214819,0,0
Quantum mechanics,Determinism,18,25.4285714285714,43.4285714285714,7.42857142857143,5.16248389742778E-05,0.00180498779985423,0,0
Special relativity,Poynting vector,188.938461538462,169.864864864865,358.803326403326,19.0735966735967,0.00187278311338565,0.00292649265094137,0,1
Special relativity,Einstein notation,245.922222222222,150.956140350877,396.878362573099,94.966081871345,0.00337515745041646,0.0020182357788204,1,0
Energy,Light,214.704595185996,259.709872397582,474.414467583578,45.0052772115866,0.0349374002638465,0.050573679631849,1,1
Inertial frame of reference,Speed of light,242.328488372093,366.812354312354,609.140842684447,124.483865940261,0.0379287809534527,0.0166297155593426,1,1
Force,Newton (unit),119.018404907975,207.61935483871,326.637759746685,88.6009499307342,0.0845997863201273,0.00600340381299437,1,1
Inertial frame of reference,Frame of reference,254.542772861357,71.037610619469,325.580383480826,183.505162241888,0.0130871530990649,0.0151168259608852,1,1
Momentum,Four-momentum,234.940114068441,144.737308622079,379.67742269052,90.2028054463621,0.034139862143232,0.0905144719648986,1,1
General relativity,Connection (mathematics),110.344023323615,38.0220264317181,148.366049755333,72.3219968918971,0.0032783485812749,0.00383264430698455,0,0
Velocity,Terminal velocity,39.9310344827586,65.0286532951289,104.959687777888,25.0976188123703,0.00484393575217789,0.0127616216790684,0,0
Inertial frame of reference,Euclidean vector,194.867469879518,174.798863636364,369.666333515882,20.0686062431544,0.0269832860872294,0.0252580641718342,1,1
Quantum mechanics,Self-adjoint operator,416.501170960187,404.784102060844,821.285273021031,11.7170688993434,0.0268458219655539,0.0873656341011385,1,1
Speed of light,Louis Essen,413.714681440443,387.728249194415,801.442930634858,25.9864322460286,0.0157830782333998,0.0465017864492654,1,1
Inertial frame of reference,Time dilation,156.990476190476,314.084444444444,471.074920634921,157.093968253968,0.0100001683478959,0.0723829313026722,1,1
Mass,Spring (device),130.909677419355,212.835897435897,343.745574855252,81.9262200165426,0.00296869316929905,0.0233799697152695,1,1
Classical mechanics,Energy flux,140.951086956522,77.6168582375479,218.56794519407,63.3342287189739,0.00213661993564025,0.0263019176588203,1,1
Net force,Mechanics,120.495890410959,268.525885558583,389.021775969542,148.029995147624,0.0287999444706739,0.0131396686956583,1,1
Frame of reference,Atomic clock,95.3913043478261,78.0711111111111,173.462415458937,17.320193236715,0.0103292896565393,0.00353871341598658,1,1
