A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Parallel postulate,Hyperbolic geometry,197.317796610169,250.060869565217,447.378666175387,52.7430729550479,0.150128957379586,0.0568285716544188,1,1
Pythagorean theorem,Right angle,101.233149171271,122.476451259584,223.709600430854,21.2433020883131,0.0203380047817043,0.0391323899695714,1,1
Parallel postulate,Axiom,229.734478203435,290.125581395349,519.860059598783,60.3911031919142,0.140167805790186,0.0698055885765348,1,1
Playfair's axiom,Mathematician,214.951127819549,286.032786885246,500.983914704795,71.081659065697,0.037082676396786,0.0181415640895183,1,1
Angle,Metric tensor,52.5209003215434,148.584362139918,201.105262461461,96.0634618183743,0.0150256145608821,0.021283870214725,0,1
Parallel postulate,Elliptic geometry,182.940581542351,229.683422459893,412.624004002245,46.7428409175416,0.116630666064866,0.150846304000742,1,1
Euclid,Euclidean geometry,193.67140600316,236.983747609943,430.655153613102,43.3123416067831,0.0516304067441203,0.0260353019726374,1,1
Triangle,Euclidean space,235.259109311741,284,519.259109311741,48.7408906882591,0.119039595532917,0.031542743022175,1,1
Parallel postulate,Saccheri quadrilateral,106.194139194139,75.9849246231156,182.179063817255,30.2092145710236,0.0233662711973693,0.0420559902877113,1,0
Saccheri quadrilateral,Hyperbolic geometry,120.333333333333,95.2849056603774,215.618238993711,25.048427672956,0.106429106828223,0.0110886999382558,1,1
Right angle,Orthogonality,171.330909090909,166.419047619048,337.749956709957,4.91186147186147,0.0164885100813472,0.0154923983161747,1,1
Euclidean geometry,Alfred Tarski,193.42266824085,197.230409356725,390.653077597575,3.80774111587507,0.0172069204948876,0.00652049581783382,1,1
Parallel postulate,Parallel (geometry),204.410329985653,270.087557603687,474.497887589339,65.6772276180339,0.11483171061964,0.145706362238512,1,1
Euclid,Locus (mathematics),196.697368421053,226.269035532995,422.966403954048,29.5716671119423,0.00629576447801568,0.103306982230967,1,1
Euclid,Egypt,138.704641350211,124.40490797546,263.109549325671,14.2997333747509,0.00692222441921899,0.00116686772376435,1,1
