A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Diffie–Hellman key exchange,Whitfield Diffie,181.657949790795,106.85393258427,288.511882375065,74.8040172065253,0.030999533931517,0.0267847109152344,1,1
ElGamal encryption,Diffie–Hellman key exchange,107.593570608496,187.546733668342,295.140304276838,79.9531630598457,0.0495472418152201,0.0333100626345347,1,1
Key (cryptography),Ciphertext,200.068493150685,189.501712328767,389.570205479452,10.5667808219178,0.0468572612369657,0.0590170456121041,1,1
Digital signature,Public-key cryptography,111.82995951417,148.085714285714,259.915673799884,36.2557547715442,0.000727824916238345,0.0137633385570364,0,1
Public-key cryptography,Man-in-the-middle attack,106.95,78.2937625754527,185.243762575453,28.6562374245473,0.00527434683795254,0.0229223795399854,1,1
Prime number,Infinite product,156.0703125,208.905172413793,364.975484913793,52.8348599137931,0.0147163961073044,0.0170712334605475,1,1
Discrete logarithm,Group (mathematics),183.493253373313,146.907324364723,330.400577738037,36.5859290085899,0.0259331890363995,0.0149753331589175,1,1
Cryptography,Social engineering (security),69.9072164948454,89.455,159.362216494845,19.5477835051546,0.000504862418476371,0.0081738628274959,0,0
Certificate authority,OpenSSL,175.687074829932,44.4,220.087074829932,131.287074829932,0.0158138053920998,0.000276354472329628,1,0
Public-key cryptography,PGP word list,72.8139534883721,97.2543352601156,170.068288748488,24.4403817717435,0.00118775703597147,0.0233746783810969,0,1
Diffie–Hellman key exchange,Communication,63.3577235772358,34.44,97.7977235772358,28.9177235772358,0.00139106537257543,0.000763577952462616,0,0
Prime number,Mathematical analysis,166.006493506494,264.373076923077,430.37957042957,98.3665834165834,0.0188328911489832,0.0188855500553486,1,1
Transport Layer Security,Tcpcrypt,92.6382978723404,205.44696969697,298.08526756931,112.808671824629,0.00292628569393095,0.0299659776373961,1,1
Discrete logarithm,ElGamal encryption,228.654929577465,87.6073903002309,316.262319877696,141.047539277234,0.0206395468949143,0.0200559689162618,1,1
Discrete logarithm,Diffie–Hellman key exchange,104.598095238095,123.614414414414,228.21250965251,19.0163191763192,0.0116357148684112,0.0122463019313371,1,1
