A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Troposphere,Lapse rate,75.5952380952381,15.5833333333333,91.1785714285714,60.0119047619048,0.00174345367465123,0.000650796965267627,1,0
Attribution of recent climate change,Carbon dioxide,284.881481481482,127.111111111111,411.992592592593,157.77037037037,0.0125546833352974,0.000307304829198687,1,1
Kyoto Protocol,New Zealand,757.775147928994,637.011235955056,1394.78638388405,120.763911973938,0.00226045363165588,6.72181875441995E-05,1,1
Carbon dioxide,Combustion,68.1182795698925,55.1451612903226,123.263440860215,12.9731182795699,0.000476229602657624,0.000202661330333226,0,1
Northern Hemisphere,Axial tilt,139.170731707317,87.4868421052632,226.65757381258,51.6838896020539,0.00156949340515705,0.00096547858638485,1,1
Stratosphere,Atmosphere of Earth,178.512605042017,195.190839694656,373.703444736673,16.6782346526397,0.0277171424060666,0.000396190626352899,1,1
Carbon cycle,Solubility pump,70.36,0,70.36,70.36,0.000730170919770447,0,1,0
Climate model,Land use,28.6086956521739,0,28.6086956521739,28.6086956521739,0.000113292869298597,0,0,0
Carbon cycle,Volcano,10.5,0,10.5,10.5,8.71721962204626E-06,0,0,0
United Nations Framework Convention on Climate Change,Human impact on the environment,327.5,19.2916666666667,346.791666666667,308.208333333333,0.0187239769155244,9.72019280831696E-05,1,0
Attribution of recent climate change,IPCC First Assessment Report,115.0625,34.6923076923077,149.754807692308,80.3701923076923,0.00120196427469682,0.00668187744458931,1,1
Greenhouse gas,Diatomic molecule,51.6206896551724,0,51.6206896551724,51.6206896551724,0.000108558499760693,0,0,0
Gross domestic product,Penn effect,61.3214285714286,21,82.3214285714286,40.3214285714286,0.0013017565753112,0.00644567219152855,0,0
IPCC Fourth Assessment Report,United States,1159.21875,405.34693877551,1564.56568877551,753.87181122449,0.00792929281053939,7.18216125090841E-06,1,1
Northern Hemisphere,Tropics,68.6410256410256,152.098765432099,220.739791073124,83.4577397910731,0.000736336110340943,0.00094883821230255,0,1
Carbon dioxide,Pascal (unit),67.5882352941177,16.3529411764706,83.9411764705882,51.2352941176471,0.000172750690908796,3.59306589980128E-05,0,0
Greenhouse gas,Absorption (electromagnetic radiation),24,20.5625,44.5625,3.4375,3.13275029369534E-05,0.000223333079905725,0,0
Instrumental temperature record,Celsius,563.645161290323,80.4074074074074,644.05256869773,483.237753882915,0.0153568964532275,0.000142418351513157,1,0
Fossil fuel,Abiogenic petroleum origin,52.8313253012048,30.4242424242424,83.2555677254473,22.4070828769624,0.00048747771470892,0.00202329204124775,0,0
Intergovernmental Panel on Climate Change,Methane,536.609756097561,219.838709677419,756.44846577498,316.771046420142,0.00631307769208961,0.000206074383387798,1,1
Climate change in the Arctic,Habitat,18,0,18,18,6.33447283461325E-06,0,0,0
Instrumental temperature record,Arctic oscillation,14,0,14,14,1.23045012502252E-05,0,0,0
Attribution of recent climate change,Effects of global warming,487.347826086957,314.788461538462,802.136287625418,172.559364548495,0.0182955154197131,0.000903658289641887,1,1
Attribution of recent climate change,Radiative forcing,94.7717391304348,49.3970588235294,144.168797953964,45.3746803069054,0.00284625923712157,0.000938518777640063,1,1
Carbon dioxide,Sedimentary rock,121.25974025974,50.0909090909091,171.350649350649,71.1688311688312,0.00070190304656894,0.000316376291415293,1,0
Fossil fuel,Reserves-to-production ratio,14.9,11,25.9,3.9,1.65642370562438E-05,0.00572022880915237,0,0
Fossil fuel,Fossil fuel power station,39.4769230769231,36.4972067039106,75.9741297808337,2.97971637301247,0.000285260619371286,0.000595629648370634,0,1
Carbon cycle,Ocean,80.4210526315789,216.932432432432,297.353485064011,136.511379800853,0.00190284451178381,0.000366919642289805,1,1
Troposphere,Vapor pressure,17.5333333333333,0,17.5333333333333,17.5333333333333,0.000144418367380558,0,0,0
Troposphere,Gas constant,22.9411764705882,45.6,68.5411764705882,22.6588235294118,0.000214156514366607,0.00027979064787488,0,0
Climate change in the Arctic,Younger Dryas,26.6666666666667,16,42.6666666666667,10.6666666666667,4.22298188974217E-05,0.000100849658371782,0,0
Climate change,Ice age,41.8421052631579,61.6380952380952,103.480200501253,19.7959899749373,0.000279115327293442,4.95114928514531E-05,0,0
