A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Fungus,Algae,34.0909090909091,64.9722222222222,99.0631313131313,30.8813131313131,0.000422506435868405,0.000104887459657117,0,0
Spermatozoon,Drosophila melanogaster,17,27.0454545454545,44.0454545454545,10.0454545454545,5.88934951557213E-05,0.000161543519824241,0,0
Homologous recombination,Bacterial conjugation,169.311111111111,79.0681818181818,248.379292929293,90.2429292929293,0.000891971576791272,0.00169492351164377,1,1
Meiosis,Mitosis,174.102209944751,136.618122977346,310.720332922098,37.4840869674051,0.00625765389757762,0.000209058920440138,1,1
Meiosis,Chromosome,130.846753246753,143.137566137566,273.984319384319,12.2908128908129,0.00500175442672543,5.45199980412865E-05,1,1
Meiosis,Ploidy,154.576158940397,92.0912698412698,246.667428781667,62.4848890991275,0.00695247439698656,0.000316751118162703,1,1
Eukaryote,Chlorophyll,225.666666666667,229.48,455.146666666667,3.81333333333333,0.00206388831833877,0.00163695635115952,1,1
Mitosis,DNA,348.308108108108,132.04845814978,480.356566257888,216.259649958328,0.00904872849194459,7.09537020478105E-05,1,1
Gamete,Chromosomal crossover,134.274509803922,105.172413793103,239.446923597025,29.1020960108181,0.00139224514574456,0.000772412172304136,1,1
Nuclear envelope,Cell (biology),15.4545454545455,40.2839506172839,55.7384960718294,24.8294051627385,0.0010584316533325,3.9505804780522E-05,0,0
Mitosis,Kinetochore,29.2142857142857,13.0454545454545,42.2597402597403,16.1688311688312,0.000402044006897238,0.000594678148582511,0,0
Gamete,Mating type,19.8928571428571,35.5531914893617,55.4460486322188,15.6603343465046,0.000226483804374919,0.00420449284405886,0,1
Meiosis,Centriole,43.8815789473684,34.4838709677419,78.3654499151104,9.39770797962648,0.000331126945631438,0.00029392501805068,0,0
Meiosis,Puberty,23.15,328.983050847458,352.133050847458,305.833050847458,4.59705474744695E-05,0.000223538111710574,0,1
Synaptonemal complex,Sister chromatids,185.730769230769,30.2105263157895,215.941295546559,155.52024291498,0.00334978280865658,0.000443717798572218,1,0
Chromosomal crossover,Cell (biology),33.5625,75.5853658536585,109.147865853659,42.0228658536585,0.000363610756378085,7.41253194367136E-05,0,0
Nuclear envelope,Endoplasmic reticulum,43.8064516129032,73.1694915254237,116.975943138327,29.3630399125205,0.004227500544781,0.000192924449989911,0,0
Centromere,Schizosaccharomyces pombe,42.45,21,63.45,21.45,0.000333400222816592,0.00586920067076579,0,1
Oogenesis,Immature ovum,110.892857142857,59.4722222222222,170.365079365079,51.4206349206349,0.0103563173535857,0.00674823808263046,1,1
Mitosis,Fluorescence,24.7368421052632,0,24.7368421052632,24.7368421052632,6.60009372133084E-05,0,0,0
Chromosomal crossover,Gene duplication,11,17.6363636363636,28.6363636363636,6.63636363636364,2.23447950846868E-05,0.000489477495389072,0,0
Homologous chromosome,Ploidy,228.597222222222,132.633802816901,361.231025039124,95.9634194053208,0.0120647607682333,0.000456198567147977,1,1
Meiosis,Protozoa,71.7397260273973,496.451612903226,568.191338930623,424.711886875829,0.0005199735575028,0.00209695336792648,0,1
Meiosis,Archaea,329.350364963504,378.308641975309,707.659006938812,48.958277011805,0.00447999367731217,0.000884624170699122,1,1
Meiosis,Germ cell,44.8482142857143,83.8067226890756,128.65493697479,38.9585084033613,0.000498725831456285,0.00199449588731468,0,1
Meiosis,Spermatozoon,250.661202185792,111.835483870968,362.49668605676,138.825718314825,0.00455446000691445,0.00123643431587582,1,1
Centrosome,Vesicle (biology and chemistry),64.7560975609756,20.9705882352941,85.7266857962697,43.7855093256815,0.00140286173225684,0.000561025929941789,1,0
Meiosis,Opisthokont,551.057971014493,174.135135135135,725.193106149628,376.922835879358,0.00377524433395627,0.0021052934258839,1,1
Homologous chromosome,Natural selection,45.4791666666667,55.6,101.079166666667,10.1208333333333,0.00160018061589728,0.000244179867457763,0,0
Gamete,Zygote,113.28125,65.7745098039216,179.055759803922,47.5067401960784,0.00442192346961803,0.000120714639301275,0,0
Synaptonemal complex,Chromosomal crossover,109.347222222222,88.2236842105263,197.570906432749,21.1235380116959,0.00546134604525849,0.00064793651787609,1,1
Cell cycle,Cytokinesis,126.708860759494,47.0234375,173.732298259494,79.6854232594937,0.00122136622196409,0.00214601302939029,1,1
Centrosome,Amorphous solid,19.2857142857143,0,19.2857142857143,19.2857142857143,0.000142663904975272,0,0,0
Sexual reproduction,Rhizome,15.7777777777778,0,15.7777777777778,15.7777777777778,1.89584418937775E-05,0,0,0
Meiosis,Fungus,188.076923076923,479.675862068966,667.752785145889,291.598938992042,0.00436968422106134,0.000321630280274942,1,1
Nuclear envelope,Protein,57.8867924528302,12.8,70.6867924528302,45.0867924528302,0.00955078915418859,1.39303807456019E-05,1,0
Meiosis,Rhizaria,56.25,22.952380952381,79.2023809523809,33.2976190476191,0.000178719191045454,0.0013599799106702,0,0
Mitosis,Staining,14,15.8888888888889,29.8888888888889,1.88888888888889,1.17959121828041E-05,0.00034197599950258,0,0
Meiosis,Interphase,128.583850931677,124.376963350785,252.960814282462,4.20688758089166,0.00205546927390166,0.00119490977289421,1,1
Mitosis,Cell division,72.534188034188,123.298932384342,195.83312041853,50.7647443501536,0.00238347639855635,0.000537796247974378,0,1
Synaptonemal complex,Gene,188.222222222222,85.1020408163265,273.324263038549,103.120181405896,0.00352528395808505,0.000302018045469577,1,1
Mitosis,Interphase,78.0789473684211,75.5390334572491,153.61798082567,2.53991391117198,0.00249989081759855,0.000725715814901181,0,1
Centromere,DNA,273.496183206107,260.695364238411,534.191547444517,12.8008189676963,0.0140695679423708,0.000140079645446799,1,1
Meiosis,Trisomy,59.9444444444444,68.125,128.069444444444,8.18055555555556,0.000321396678563408,0.000379845998583767,0,0
Chromosome,Base pair,277.25,76.7209302325581,353.970930232558,200.529069767442,0.0034039785726112,0.00104631340242152,1,1
Meiosis,Polar body,39.4912280701754,37.4210526315789,76.9122807017544,2.07017543859649,0.000223498277246287,0.00370395453148361,0,1
Chromosomal crossover,Thomas Hunt Morgan,16.4347826086957,20.4736842105263,36.908466819222,4.03890160183066,0.000255949470970049,0.000395405168321642,0,0
Meiosis,Drosophila melanogaster,23.1509433962264,24.1481481481481,47.2990915443746,0.997204751921732,0.000121826915229318,0.000144237799462117,0,0
Dictyate,Immature ovum,48.25,29.95,78.2,18.3,0.00101733153411487,0.00339838874390106,0,0
Fungus,Vegetative reproduction,27.3333333333333,0,27.3333333333333,27.3333333333333,2.05306831059018E-05,0,0,0
Oogenesis,Meiosis,16,31.2682926829268,47.2682926829268,15.2682926829268,0.000640390638289357,2.2869861905102E-05,0,0
Centromere,Chromosome 13 (human),37,25.3333333333333,62.3333333333333,11.6666666666667,4.35894284247841E-05,0.0148148148148148,0,0
Sexual reproduction,Self-pollination,19.3333333333333,16.4545454545455,35.7878787878788,2.87878787878788,7.74358894252882E-06,0.000821003166078508,0,0
Meiosis,Centromere,102.812865497076,74.5816326530612,177.394498150137,28.2312328440148,0.00174559005431673,0.0007329530013568,0,1
Mitosis,Centromere,149.757894736842,38.7291666666667,188.487061403509,111.028728070175,0.00199786241219944,0.000380611927341818,1,1
Centrosome,Mitochondrion,151.838709677419,220.054054054054,371.892763731473,68.2153443766347,0.0049742148201378,0.000256599163522024,1,1
Meiosis,Oogenesis,93.2771084337349,44.4568965517241,137.734004985459,48.8202118820108,0.00076869109837439,0.000551978452610771,0,0
Chromosomal crossover,Chiasma (genetics),68.5740740740741,37.8804347826087,106.454508856683,30.6936392914654,0.00250735685450288,0.00189279142470438,0,0
