A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Quantum mechanics,Quantum entanglement,55.5271317829457,100.066666666667,155.593798449612,44.5395348837209,0.000540626785925076,0.000224909852504988,0,0
Classical mechanics,Acceleration,296.19,69.3381294964029,365.528129496403,226.851870503597,0.00244012129838937,9.12492689549385E-05,1,1
Energy,Conjugate variables,18.0588235294118,0,18.0588235294118,18.0588235294118,3.64376337851639E-05,0,0,0
Quantum mechanics,Stephen Hawking,244.537037037037,958.071428571429,1202.60846560847,713.534391534391,0.000996646196864531,0.000120761947113668,1,1
Momentum,Inertia,86.7,78.965034965035,165.665034965035,7.73496503496504,0.00119758940585062,0.000396603943511825,1,1
Newton's laws of motion,Classical mechanics,307.620111731844,103.262569832402,410.882681564246,204.357541899441,0.0113152219367022,0.000114124355353137,1,1
Newton's laws of motion,Special relativity,61.0709219858156,244.296703296703,305.367625282519,183.225781310888,0.00176949324598545,0.000190475253707966,0,1
Newton's law of universal gravitation,General relativity,1089.1,397.010526315789,1486.11052631579,692.08947368421,0.0130472600345203,0.000560344110354926,1,1
General relativity,Newton's laws of motion,99.44,61.0731707317073,160.513170731707,38.3668292682927,0.000861337409960834,0.000144104732372938,0,0
Newton's laws of motion,Lagrangian mechanics,491.375,207.469387755102,698.844387755102,283.905612244898,0.00323115919171702,0.00112738558882719,1,1
Quantum mechanics,Determinism,29.2461538461538,17.6136363636364,46.8597902097902,11.6325174825175,0.000143477805394886,8.45865974664622E-05,0,0
Special relativity,Einstein notation,39.4761904761905,45.4090909090909,84.8852813852814,5.93290043290043,0.000126417816219909,0.000731425525652609,0,0
Newton's laws of motion,Standard Model,16.8518518518519,13.8888888888889,30.7407407407407,2.96296296296296,9.3498946338797E-05,1.17587650775589E-05,0,0
Momentum,John Philoponus,13,11,24,2,1.97526280319075E-05,0.00240437158469945,0,0
General relativity,Inertial frame of reference,19.75,69.84,89.59,50.09,6.84288569860276E-06,0.000260997275672767,0,1
Inertial frame of reference,Euclidean vector,174.088235294118,33.8461538461538,207.934389140271,140.242081447964,0.00359081512079568,0.000100401812617815,1,0
Inertial frame of reference,Frame of reference,99.9080459770115,50.311320754717,150.219366731728,49.5967252222945,0.00263654038097281,0.000234502415599138,1,0
Inertial frame of reference,Speed of light,187.558333333333,164.489361702128,352.047695035461,23.0689716312057,0.00341351900336832,0.000166533223959786,1,1
Inertial frame of reference,Time dilation,279.340206185567,138.116071428571,417.456277614138,141.224134756996,0.00410950863799121,0.000289370125285348,1,1
Momentum,Four-momentum,20.9,16.8571428571429,37.7571428571429,4.04285714285714,0.000115476902340383,0.000383823467227006,0,0
Frame of reference,Atomic clock,117.965517241379,16,133.965517241379,101.965517241379,0.00161059707908027,4.14762431855829E-05,1,0
Velocity,Terminal velocity,101.272727272727,34,135.272727272727,67.2727272727273,0.000931976585134053,0.000336207578514358,1,0
Energy,Light,43.3243243243243,32.375,75.6993243243243,10.9493243243243,0.000380518090929106,6.46594767325744E-05,0,0
Newton's law of universal gravitation,Geodesic,52.2558139534884,41.7272727272727,93.9830866807611,10.5285412262156,0.000158345494647859,0.000479464003117038,0,0
Mass,Spring (device),18.28,15.1111111111111,33.3911111111111,3.16888888888889,6.68617997323772E-05,0.000182063773191377,0,0
Inertial frame of reference,Nuclear force,23.2222222222222,0,23.2222222222222,23.2222222222222,6.33958743238974E-05,0,0,0
Quantum mechanics,Self-adjoint operator,24.4444444444444,10.5,34.9444444444444,13.9444444444444,3.32089607436875E-05,0.000226551880380607,0,0
Net force,Mechanics,149.941176470588,161,310.941176470588,11.0588235294118,0.00333830783546294,0.000750327394406566,1,1
Classical mechanics,Energy flux,12.5,0,12.5,12.5,4.1191824477352E-06,0,0,0
Momentum,Proper time,15.4761904761905,18.75,34.2261904761905,3.27380952380952,4.48923364361535E-05,0.000279997013365191,0,0
Momentum,Quantum mechanics,205.8,696.821428571429,902.621428571429,491.021428571429,0.00810175448919911,0.000285546157260869,1,1
Galilean invariance,Dialogue Concerning the Two Chief World Systems,707.90625,98.2,806.10625,609.70625,0.019798216036791,0.00250542160989922,1,1
Newton's laws of motion,Reaction (physics),15.6923076923077,15.25,30.9423076923077,0.442307692307692,4.1920406710142E-05,0.00273935692473505,0,0
Net force,Euclidean vector,70,55.7916666666667,125.791666666667,14.2083333333333,0.00247524590389367,0.000165501359113476,0,1
Philosophiæ Naturalis Principia Mathematica,Latin,39.6808510638298,14,53.6808510638298,25.6808510638298,0.000284295920193486,8.2942614374903E-06,0,0
Quantum mechanics,Grand Unified Theory,28.1363636363636,14.2,42.3363636363636,13.9363636363636,4.67189697735058E-05,6.8355661244747E-05,0,0
Momentum,Invariant mass,23.4411764705882,32.78125,56.2224264705882,9.34007352941176,0.000110089821968044,0.00112910308958771,0,0
Newton's laws of motion,René Descartes,235.459459459459,143.866666666667,379.326126126126,91.5927927927928,0.00179024795715077,0.000123842456097763,1,1
Energy,Phonon,20.05,11.75,31.8,8.3,4.75944337063542E-05,0.000123845861967199,0,0
Energy,Thomas Young (scientist),33,111.379310344828,144.379310344828,78.3793103448276,9.00852248955682E-05,0.00166270037984725,0,1
Newton's laws of motion,Euler's laws of motion,52.4761904761905,15,67.4761904761905,37.4761904761905,0.000226452393110669,0.001499700059988,0,0
Classical mechanics,Irradiance,13.1428571428571,0,13.1428571428571,13.1428571428571,7.57929570383276E-06,0,0,0
Newton's laws of motion,Inertial frame of reference,147.847826086957,195.45,343.297826086957,47.6021739130435,0.00279510476505564,0.000730411190295565,1,1
Newton's laws of motion,Force,90.7259259259259,236.539215686275,327.2651416122,145.813289760349,0.00251686834012656,0.000199437969633352,1,1
Newton's laws of motion,Net force,114.802816901408,33.4285714285714,148.23138832998,81.374245472837,0.00167496683869788,0.00240130532494587,1,0
Quantum mechanics,Molecular physics,20.8333333333333,0,20.8333333333333,20.8333333333333,4.71718192381925E-05,0,0,0
Momentum,Isaac Newton,116.496350364964,600.051948051948,716.548298416912,483.555597686985,0.00220455904468003,4.56760198783059E-05,1,1
Euler's laws of motion,Newton's laws of motion,1017.09090909091,289.755555555556,1306.84646464646,727.335353535354,0.0204252600110679,0.000683690502501246,1,1
Philosophiæ Naturalis Principia Mathematica,Kepler's laws of planetary motion,389.115942028986,87.2285714285714,476.344513457557,301.887370600414,0.00409279418835115,0.000439968382226315,1,1
Newton's laws of motion,Hamiltonian mechanics,435.8,112.217391304348,548.017391304348,323.582608695652,0.00268660488886469,0.000604932461318073,1,1
Newton's laws of motion,Inertia,93.8363636363636,78.3989637305699,172.235327366934,15.4373999057937,0.00212109038265728,0.00039376083600232,1,1
General relativity,Einstein–Cartan theory,25.5263157894737,14.7272727272727,40.2535885167464,10.799043062201,4.20101210610423E-05,0.00139238656776711,0,0
Philosophiæ Naturalis Principia Mathematica,Samuel Pepys,135.153846153846,15,150.153846153846,120.153846153846,0.000535665342391372,8.38429119202263E-05,1,0
Speed of light,Field (physics),21.1333333333333,13,34.1333333333333,8.13333333333333,3.34998480089703E-05,0.000141667756418639,0,0
General relativity,Proper time,82.8928571428571,12,94.8928571428571,70.8928571428571,0.000201042249448823,0.000179198088553722,0,0
Special relativity,Twin paradox,15,17.4615384615385,32.4615384615385,2.46153846153846,2.28741525126494E-06,0.000289750737779412,0,0
Special relativity,Relativity of simultaneity,16,13.5,29.5,2.5,2.43990960134927E-06,0.000365566357063554,0,0
Quantum mechanics,Bohr–Einstein debates,197.691358024691,84.7777777777778,282.469135802469,112.913580246914,0.00120857974633788,0.00361202240116645,1,1
Newton's laws of motion,Mass,147.387755102041,134.604651162791,281.992406264832,12.7831039392501,0.00296812918882986,0.000275544060271217,1,1
Inertial frame of reference,Force,64.8666666666667,178.336633663366,243.203300330033,113.4699669967,0.00103298875602886,0.000150364479842707,0,1
Inertial frame of reference,Galilean transformation,117.416666666667,39.1875,156.604166666667,78.2291666666667,0.00149586963745598,0.000603757741965304,1,1
Quantum mechanics,Niels Bohr,178.346820809249,116.816666666667,295.163487475915,61.5301541425819,0.00232870289724031,0.000292850666633241,1,1
Inertial frame of reference,Acceleration,220.699029126214,160.878172588832,381.577201715046,59.8208565373811,0.00689528715373606,0.00021171634923176,1,1
Newton's laws of motion,Isaac Newton,192.716535433071,1557.19090909091,1749.90744452398,1364.47437365784,0.00502942134426826,0.000118533542218908,1,1
General relativity,Ricci curvature,847.607843137255,106.730769230769,954.338612368024,740.877073906486,0.00374435775923038,0.00132216898606077,1,1
Inertial frame of reference,Fictitious force,179.290322580645,138.446153846154,317.736476426799,40.8441687344913,0.00421476398914141,0.00316919203035719,1,1
Newton's laws of motion,Momentum,113.743243243243,157.298342541436,271.04158578468,43.5550992981932,0.00345925552234573,0.000242278493115763,1,1
Inertial frame of reference,Metre,26.5833333333333,10,36.5833333333333,16.5833333333333,0.000193524247936108,2.67903308337955E-05,0,0
Classical mechanics,Action (physics),29.75,239.857142857143,269.607142857143,210.107142857143,9.80365422560976E-05,0.00368857771167581,0,1
Euler's laws of motion,Torque,24.3,45.6666666666667,69.9666666666667,21.3666666666667,0.000110907628322522,9.97090968903134E-05,0,0
Isaac Newton,French Academy of Sciences,22.2,0,22.2,22.2,2.19734058442529E-05,0,0,0
Speed of light,Relative permittivity,10,14.7857142857143,24.7857142857143,4.78571428571429,5.28388769857577E-07,8.33975265985735E-05,0,0
Inertial frame of reference,Velocity,252.613924050633,267.652173913044,520.266097963676,15.0382498624106,0.00605339600930554,0.000625229916215535,1,1
Classical mechanics,Kinetic energy,28.6122448979592,82.6233766233766,111.235621521336,54.0111317254174,0.00023100375166899,0.000229824110861198,0,1
Quantum mechanics,The Feynman Lectures on Physics,26.6415094339623,23.8571428571429,50.4986522911051,2.78436657681941,0.000106570574022924,0.000726355392210165,0,0
Inertial frame of reference,Lorentz transformation,267.376623376623,81.349593495935,348.726216872558,186.027029880688,0.00312247430760861,0.000273343862235131,1,1
Mass,Physics,1185.2027027027,197.466666666667,1382.66936936937,987.736036036036,0.0128317596182235,0.000180080768839096,1,1
Newton's laws of motion,Hypotheses non fingo,165.896551724138,16.695652173913,182.592203898051,149.200899550225,0.000988622924914181,0.00166208583115112,1,0
Velocity,Scalar (physics),63.1176470588235,21.64,84.7576470588235,41.4776470588235,0.00134651374665463,0.000683425972713492,1,0
Newton's laws of motion,Lorentz factor,18.0294117647059,38.45,56.4794117647059,20.4205882352941,0.000125966712320181,0.00041962697399295,0,0
Newton's law of universal gravitation,Free fall,49.3035714285714,64.7820512820513,114.085622710623,15.4784798534799,0.000194566938461388,0.000534003093476856,0,0
Frame of reference,Quantum field theory,69,11,80,58,0.000779640094404246,3.25809117323863E-05,1,0
Philosophiæ Naturalis Principia Mathematica,Calculus,1264.33333333333,320.330188679245,1584.66352201258,944.003144654088,0.0109857126437447,0.000434736839598507,1,1
General relativity,Albert Einstein,162.138121546961,164.411764705882,326.549886252844,2.27364315892103,0.00254200210882146,3.01061118186017E-05,1,0
Inertial frame of reference,Centrifugal force,81.5611510791367,306.156862745098,387.718013824235,224.595711665961,0.00171942351007183,0.00215274448726311,1,1
Newton's laws of motion,Principle of relativity,26.6153846153846,60.4883720930233,87.1037567084079,33.8729874776386,0.000142200595310874,0.00210694806830692,0,1
General relativity,Stress–energy tensor,307.5,116,423.5,191.5,0.001917740371735,0.00123988584499289,1,1
Inertial frame of reference,Lorentz factor,156.386666666667,141.166666666667,297.553333333333,15.22,0.00177887610034687,0.00154063306013016,1,1
Energy,Organelle,39.0454545454545,13.4285714285714,52.474025974026,25.6168831168831,0.000101954160981941,9.88390616177431E-05,0,0
Mass,Weight,32.15,46.7294117647059,78.8794117647059,14.5794117647059,0.000282224095588087,0.000646067438575203,0,0
General relativity,Gravity Probe B,17.3913043478261,0,17.3913043478261,17.3913043478261,3.46475225245709E-05,0,0,0
Special relativity,Particle accelerator,27.15,0,27.15,27.15,8.28044320957908E-05,0,0,0
Speed of light,Sunlight,175.162162162162,160.217948717949,335.380110880111,14.9442134442134,0.000342448761744695,0.00108215155663739,1,1
