A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Elliptic geometry,Line (geometry),90.8533333333333,61.4,152.253333333333,29.4533333333333,0.00478625178325458,0.000293011625021475,1,1
Parallel postulate,Line (geometry),100.6,90.2153846153846,190.815384615385,10.3846153846154,0.00972983428976723,0.000430523720652951,1,1
Parallel postulate,Mathematics in medieval Islam,13,20.1612903225806,33.1612903225806,7.16129032258064,6.28667225481978E-05,0.0001553270080862,0,0
Parallel postulate,Proclus,32.3469387755102,11,43.3469387755102,21.3469387755102,0.00127748404152428,0.000294156972857334,0,0
Right angle,Hypotenuse,101.649350649351,83.9021739130435,185.551524562394,17.7471767363072,0.00273910281871773,0.00122379518244204,1,1
Saccheri quadrilateral,Elliptic geometry,103.653333333333,87.2875,190.940833333333,16.3658333333333,0.0108109010150343,0.00279633189171872,1,1
Parallel postulate,Parallel (geometry),10.8571428571429,21.8301886792453,32.6873315363881,10.9730458221024,6.12547553033722E-05,0.000384774630814229,0,0
Parallel postulate,Euclid,272.495798319328,755.222222222222,1027.71802054155,482.726423902894,0.0261356309239796,0.00109186492360239,1,1
Line (geometry),David Hilbert,18.3181818181818,11.6666666666667,29.9848484848485,6.65151515151515,0.000205038972668254,1.33960882656773E-05,0,0
Playfair's axiom,David Hilbert,19.5555555555556,44.5714285714286,64.1269841269841,25.015873015873,0.000228292881607441,5.11785249660163E-05,0,0
Parallel postulate,Non-Euclidean geometry,321.603773584906,193.562962962963,515.166736547869,128.040810621943,0.0274759816880521,0.000597160363186667,1,1
Playfair's axiom,Axiom,229.361111111111,68.5483870967742,297.909498207885,160.812724014337,0.0160654629838009,0.000304517390092509,1,1
Parallel postulate,Lambert quadrilateral,13.2,0,13.2,13.2,5.31949190792443E-05,0,0,0
Saccheri quadrilateral,Lambert quadrilateral,22.5588235294118,13.2857142857143,35.8445378151261,9.27310924369748,0.00106662735767061,0.00230135359184381,0,0
Right angle,Euclid's Elements,203.2,0,203.2,203.2,0.00248888453388533,0,1,0
Pythagorean theorem,Euclid's Elements,491.219858156028,151.225,642.444858156028,339.994858156028,0.015375599100489,0.000928683722472642,1,1
Axiom,Boethius,11,0,11,11,3.07750242213429E-06,0,0,0
Right angle,Angle,91.412213740458,27.7,119.112213740458,63.712213740458,0.00419071882638876,6.40775037070108E-05,1,0
Parallel postulate,Angle,89.1232876712329,141.257575757576,230.380863428809,52.1342880863429,0.00524372944741763,0.000326766528312254,1,1
Axiom,Circle,27.90625,97.28,125.18625,69.37375,0.000249837242087811,0.00021288748345023,0,1
Playfair's axiom,Right angle,29.1219512195122,23.94,53.0619512195122,5.18195121951219,0.000774379831361605,0.000283962185820869,0,0
Parallel postulate,Right angle,96.9166666666667,58.4871794871795,155.403846153846,38.4294871794872,0.00374943581146431,0.000693740489961444,1,1
Elliptic geometry,Playfair's axiom,111.346666666667,43.125,154.471666666667,68.2216666666667,0.0058658627299617,0.00620414328873543,1,1
Elliptic geometry,Hyperbolic geometry,41.9480519480519,104.050505050505,145.998556998557,62.1024531024531,0.00226879854122576,0.000196929215694652,0,1
Parallel postulate,Hyperbolic geometry,28.8648648648649,53.6071428571429,82.4720077220077,24.742277992278,0.00172158101747372,0.000101458542592986,0,0
Saccheri quadrilateral,Parallel postulate,321.372881355932,38.6666666666667,360.039548022599,282.706214689265,0.026368085174436,0.000270001652596322,1,0
Euclid,Euclidean geometry,160.568421052632,239.560747663551,400.129168716183,78.9923266109198,0.00321210754390431,0.000368458630302154,1,1
Parallel postulate,Euclidean geometry,336.45251396648,267.324742268041,603.777256234522,69.1277716984392,0.0485403636598104,0.00041116129976474,1,1
Euclidean geometry,Geometry,150.617834394904,76.3220973782771,226.939931773182,74.2957370166273,0.00248363872661499,7.57905027916962E-05,1,1
Euclid's Elements,Bertrand Russell,25.7142857142857,143.833333333333,169.547619047619,118.119047619048,0.000143922665554375,0.000145115428140959,0,1
Parallel postulate,Carl Friedrich Gauss,14.5333333333333,13.1666666666667,27.7,1.36666666666667,0.000175704429685989,2.67636391231554E-05,0,0
Playfair's axiom,Line (geometry),61.6470588235294,75.9266055045872,137.573664328117,14.2795466810577,0.00203907051072101,0.000362335147577582,0,1
Euclidean geometry,Three-dimensional space,118.125,363.963636363636,482.088636363636,245.838636363636,0.00119103747451322,0.0022685625373268,0,1
Non-Euclidean geometry,Mathematics in medieval Islam,79.4074074074074,31.4,110.807407407407,48.0074074074074,0.000607735761933121,0.000241912495473771,0,0
Hyperbolic geometry,Gaussian curvature,146.129032258065,35.9318181818182,182.060850439883,110.197214076246,0.000994669624765824,0.000456074356563028,1,0
Right angle,Proclus,16.9230769230769,0,16.9230769230769,16.9230769230769,7.69902414868915E-05,0,0,0
Geometry,Hodge conjecture,27,44.9347826086956,71.9347826086957,17.9347826086956,7.09646303441653E-05,0.00104587055694758,0,1
