A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Diffie–Hellman key exchange,Whitfield Diffie,93.2173913043478,102.173913043478,195.391304347826,8.95652173913044,0.00153083236689425,0.0018587551718874,1,1
Public-key cryptography,Public key certificate,188.939393939394,186.721649484536,375.66104342393,2.21774445485786,0.00354790727528688,0.000716652463795538,1,1
Public-key cryptography,Ciphertext,203.205882352941,126.923076923077,330.128959276018,76.2828054298643,0.00131047802004582,0.00128836295917451,1,1
ElGamal encryption,GNU Privacy Guard,177.518518518519,52.4705882352941,229.989106753813,125.047930283224,0.00253409234501088,0.000158745864954964,1,1
Public-key cryptography,X.509,95.1,132.897727272727,227.997727272727,37.7977272727273,0.00108229665398487,0.000502945164312336,1,1
Digital signature,Non-repudiation,162.466666666667,0,162.466666666667,162.466666666667,0.000128427291352751,0,0,0
Digital Signature Algorithm,ElGamal signature scheme,38.5217391304348,19.2758620689655,57.7976011994003,19.2458770614693,0.00251140193485661,0.000955906871756286,1,0
Discrete logarithm,Diffie–Hellman key exchange,792.206349206349,202.965517241379,995.171866447728,589.24083196497,0.0105752065660402,0.000825610128830808,1,1
Key exchange,Pretty Good Privacy,98.8260869565217,75.2127659574468,174.038852913969,23.6133209990749,0.00365044585332585,0.000155465409562077,1,1
Public key certificate,OpenSSL,154.878787878788,211.209677419355,366.088465298143,56.330889540567,0.00351743006690412,0.00134964297073578,1,1
Public-key cryptography,Taher Elgamal,170.714285714286,15.8421052631579,186.556390977444,154.872180451128,0.000906655801971199,0.00132226903122927,1,0
Transport Layer Security,Internet Engineering Task Force,19.1333333333333,12,31.1333333333333,7.13333333333333,9.64451072758592E-05,7.50755447669217E-05,0,0
Symmetric-key algorithm,Message authentication code,25.3030303030303,48.4583333333333,73.7613636363636,23.155303030303,0.000510458593555139,0.000306649791699626,0,0
Symmetric-key algorithm,Algorithm,74.4666666666667,54.35,128.816666666667,20.1166666666667,0.00136570598563135,3.9082415357987E-05,1,1
Public-key cryptography,Algorithm,72.7272727272727,54.35,127.077272727273,18.3772727272727,0.000606966227261054,3.9082415357987E-05,0,1
Public key infrastructure,Cryptographic primitive,104.36,33.5625,137.9225,70.7975,0.000557453737642913,0.0010301881580159,1,1
Pretty Good Privacy,Encryption,32.5833333333333,65.7142857142857,98.297619047619,33.1309523809524,0.00210297589914321,0.000188373505348374,1,0
Integer factorization,RSA,12.75,0,12.75,12.75,7.90328854286604E-06,0,0,0
Key exchange,Secure channel,68,13.1666666666667,81.1666666666667,54.8333333333333,0.00047323568475437,0.00202720041057223,0,0
Symmetric-key algorithm,Stream cipher,106.78125,15.875,122.65625,90.90625,0.00208890660380588,0.00024534046301734,1,0
Public-key cryptography,Whitfield Diffie,225.285714285714,83.3559322033898,308.641646489104,141.929782082324,0.0023929643509767,0.00151641711152449,1,1
Transport Layer Security,Request for Comments,21.90625,0,21.90625,21.90625,0.000235568014635461,0,0,0
Certificate authority,Public key certificate,387.438356164384,306.717948717949,694.156304882332,80.7204074464348,0.017318278397923,0.00117720775414013,1,1
Public key certificate,Certificate signing request,161.5,104.696428571429,266.196428571429,56.8035714285714,0.00144489227655355,0.00324509278651795,1,1
Diffie–Hellman key exchange,Communication,56.72,10,66.72,46.72,0.000253115706186573,1.404099971918E-05,0,0
Public-key cryptography,Authentication,84.6176470588235,11.5,96.1176470588235,73.1176470588235,0.00163710172109067,0.000162608523514606,1,0
Public-key cryptography,United Kingdom,10.5,0,10.5,10.5,3.98321586640066E-06,0,0,0
Discrete logarithm,Group (mathematics),33.3488372093023,31.3166666666667,64.665503875969,2.03217054263566,0.000303849931188797,0.000157488894476574,0,0
Integer factorization,Optimization problem,27.4210526315789,15.2222222222222,42.6432748538012,12.1988304093567,8.07375162908472E-05,0.000448821270852171,0,0
Public-key cryptography,Digital signature,65.2549019607843,175.527272727273,240.782174688057,110.272370766488,0.00126248975270299,0.00135225898266814,0,1
Key (cryptography),Ciphertext,159.198113207547,119.490196078431,278.688309285979,39.7079171291158,0.00773430120187603,0.00121291372966991,1,1
Transport Layer Security,Network Security Services,11,0,11,11,7.39300473891604E-06,0,0,0
Pretty Good Privacy,GNU Privacy Guard,23.98,15.375,39.355,8.605,0.00644876752704018,4.65159197899144E-05,0,0
Public-key cryptography,Cramer–Shoup cryptosystem,67.304347826087,0,67.304347826087,67.304347826087,0.000293619912437535,0,0,0
Public-key cryptography,Web browser,112.698113207547,54.6,167.298113207547,58.0981132075472,0.00113294039857196,6.89507116067031E-05,1,0
Public-key cryptography,Cryptographic hash function,85.9274193548387,196.145833333333,282.073252688172,110.218413978495,0.00202100785983329,0.000563025889503164,1,1
Certificate authority,X.509,45.9166666666667,54.6216216216216,100.538288288288,8.70495495495496,0.00101216682076748,0.000206712944045435,0,0
Cryptography,Social engineering (security),10,90.4166666666667,100.416666666667,80.4166666666667,7.44525023560494E-07,0.00074145448084519,0,1
Symmetric-key algorithm,Initialization vector,19.2666666666667,19.6428571428571,38.9095238095238,0.376190476190477,0.000176673692859204,0.000592437481688296,0,0
Public-key cryptography,National Institute of Standards and Technology,55.5967741935484,0,55.5967741935484,55.5967741935484,0.000653816432927766,0,0,0
Public-key cryptography,Denial-of-service attack,61.5652173913044,41.6818181818182,103.247035573123,19.8833992094862,0.000268582555563016,0.000203442053180684,0,0
Public-key cryptography,Non-repudiation,162.54,49.44,211.98,113.1,0.00308300908059411,0.00242650306748466,1,1
Key exchange,Symmetric-key algorithm,276.647727272727,87.6896551724138,364.337382445141,188.958072100313,0.0130327180377207,0.000528958336886763,1,0
Public-key cryptography,Web of trust,63.2432432432432,13.9166666666667,77.1599099099099,49.3265765765766,0.000443844053684645,0.000682691521543619,0,0
Digital signature,European Union,141.923076923077,136.177514792899,278.100591715976,5.74556213017752,0.000315995956411134,2.90016327916741E-05,0,0
Integer factorization,RSA numbers,20.3333333333333,44.1219512195122,64.4552845528455,23.7886178861789,3.78118118521434E-05,0.00156333314032924,0,0
Public-key cryptography,Secure Shell,97.3650793650794,116.268518518519,213.633597883598,18.9034391534392,0.00116347838688103,0.000467640485056062,1,1
Public-key cryptography,Malcolm J. Williamson,53.4117647058824,13,66.4117647058823,40.4117647058824,0.000344453333970648,0.062200956937799,0,1
Prime number,Mathematical analysis,186.235294117647,10.3333333333333,196.56862745098,175.901960784314,0.00233228763456603,5.99582999694406E-05,1,0
Public-key cryptography,Quantum cryptography,85.4117647058823,113.6,199.011764705882,28.1882352941176,0.000275410925619703,0.00179567835859823,1,1
ElGamal encryption,ElGamal signature scheme,66.90625,43.5802469135802,110.48649691358,23.3260030864198,0.00226392310063355,0.00216118258931715,0,1
Prime number,Infinite product,11.75,0,11.75,11.75,1.73116738510113E-05,0,0,0
Prime number,Twin prime,98.1363636363636,13.9047619047619,112.041125541126,84.2316017316017,0.000795231996687945,0.00016626126249237,1,0
Integer factorization,General number field sieve,18.0555555555556,14.8,32.8555555555556,3.25555555555556,5.03640936555189E-05,0.000379964570871094,0,0
Public key infrastructure,Government Communications Headquarters,47,0,47,47,0.00026109945090059,0,0,0
Cryptography,Phil Zimmermann,33.4782608695652,0,33.4782608695652,33.4782608695652,5.73284268141581E-05,0,0,0
Pretty Good Privacy,ZRTP,17.7142857142857,21.85,39.5642857142857,4.13571428571429,0.00133385683628521,0.00159244952991764,0,1
Public-key cryptography,Cryptosystem,84.3913043478261,12,96.3913043478261,72.3913043478261,0.000368162952223033,0.00104858441104509,1,0
Public-key cryptography,Key exchange,152.214285714286,120.857142857143,273.071428571429,31.3571428571429,0.000404201571966658,0.00382289943876583,1,1
ElGamal encryption,Diffie–Hellman key exchange,588.988505747126,178.368421052632,767.356926799758,410.620084694495,0.027092000822668,0.000725555636672395,1,1
Integer factorization,Euler's factorization method,39.4848484848485,19.5,58.9848484848485,19.9848484848485,0.000201921273948127,0.0242236024844721,0,0
Public-key cryptography,Clifford Cocks,57.375,11,68.375,46.375,0.000348246872891029,0.000841300191204589,0,0
Transport Layer Security,FTPS,104.28,13.1111111111111,117.391111111111,91.1688888888889,0.00087607106156155,0.000408077161166271,1,0
Public-key cryptography,Man-in-the-middle attack,67.4512195121951,154.337837837838,221.789057350033,86.8866183256427,0.00104910318843153,0.00100642203176878,0,1
Diffie–Hellman key exchange,The Code Book,56.0833333333333,19.25,75.3333333333333,36.8333333333333,0.000240263568777946,0.00339386459802539,0,0
