A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Global warming,United Nations Framework Convention on Climate Change,2044.66666666667,2425.69811320755,4470.36477987421,381.03144654088,1.26718816851652E-05,0.141350083394812,1,1
Global warming,Attribution of recent climate change,884.648351648352,705.219047619048,1589.8673992674,179.429304029304,5.48263412702851E-06,0.0483449487304456,1,1
Carbon dioxide,Combustion,108.5,86.8769716088328,195.376971608833,21.6230283911672,1.87365034576188E-05,0.00252506868755291,1,1
Global warming,Methane,1126.2,111.615384615385,1237.81538461538,1014.58461538462,6.97965755811853E-06,0.00113783604130295,1,1
Greenhouse gas,Nitrogen trifluoride,17.8333333333333,15,32.8333333333333,2.83333333333333,3.01409860113712E-06,0.000124210332809166,0,0
Global warming,Proxy (climate),576.245283018868,153.260273972603,729.505556991471,422.985009046265,3.57129705643118E-06,0.00409466478500448,1,1
Northern Hemisphere,Axial tilt,484.793103448276,128.786666666667,613.579770114943,356.006436781609,0.000175993947380501,0.00171417608895614,1,1
Stratosphere,Léon Teisserenc de Bort,91.5,156.64,248.14,65.14,3.86799443854264E-05,0.000435785610394755,0,1
Stratosphere,Atmosphere of Earth,348.171052631579,156.224137931034,504.395190562613,191.946914700544,0.000147182917512621,0.00168319791628482,1,1
Carbon cycle,Solubility pump,55.6428571428571,58.0526315789474,113.695488721805,2.40977443609022,4.44854947021145E-05,0.00192215420683983,0,0
Global warming,Flood,134.68085106383,60.9322033898305,195.61305445366,73.7486476739993,8.34688527847181E-07,0.00103825215520354,1,1
Attribution of recent climate change,Carbon dioxide,70.3908045977011,450.59649122807,520.987295825771,380.205686630369,0.000206991597506664,0.00193077839221127,1,1
Global warming,NASA,376.3,39.7857142857143,416.085714285714,336.514285714286,2.33213029579116E-06,0.000162098444393322,1,0
Global warming,International Union of Geodesy and Geophysics,364.483870967742,39.7857142857143,404.269585253456,324.698156682028,2.25889948926682E-06,0.000166885010385371,1,0
Troposphere,Lapse rate,13.7777777777778,50.3333333333333,64.1111111111111,36.5555555555556,1.20689475614935E-05,0.00275852619800646,0,0
Climate model,Colorado,11,47.6764705882353,58.6764705882353,36.6764705882353,4.83490980695524E-05,0.000420933235730143,0,0
Northern Hemisphere,Arctic,449.871794871795,33.4,483.271794871795,416.471794871795,0.000163316500237891,6.60408681455708E-05,1,0
Global warming,Cloud forcing,59.3111111111111,12.5,71.8111111111111,46.8111111111111,3.67582352110703E-07,1.51618435831439E-05,0,0
Global warming,Intergovernmental Panel on Climate Change,1407.12195121951,1450.64516129032,2857.76711250984,43.5232100708106,8.72067959689554E-06,0.038711754531149,1,1
Global warming,Permafrost,308.243243243243,29.6808510638298,337.924094307073,278.562392179413,1.91034654807465E-06,7.53533138631894E-05,1,0
Northern Hemisphere,Tropics,343.947976878613,164.124183006536,508.072159885149,179.823793872077,0.000124863084300998,0.00400100507108392,1,1
Fossil fuel,Abiogenic petroleum origin,340.024691358025,592.75,932.774691358025,252.725308641975,0.000121651191740207,0.0360253559813364,1,1
Greenhouse gas,Diatomic molecule,39.8493150684931,18.8421052631579,58.691420331651,21.0072098053353,6.73512699836734E-06,9.33368686627721E-05,0,0
United Nations Framework Convention on Climate Change,Human impact on the environment,44.4,303.682926829268,348.082926829268,259.282926829268,2.11057010586601E-05,0.00188672269101116,0,1
Instrumental temperature record,Celsius,24.7142857142857,18.0909090909091,42.8051948051948,6.62337662337663,5.94785416549199E-05,0.000119345769282438,0,0
Stratosphere,Richard Assmann,616.02380952381,561.90625,1177.93005952381,54.1175595238095,0.000260412750737481,0.00773110992442164,1,1
Intergovernmental Panel on Climate Change,Methane,16.6666666666667,127.586206896552,144.252873563218,110.919540229885,9.43167552772583E-06,0.000483573782772906,0,1
Gross domestic product,Penn effect,30.2820512820513,17.5,47.7820512820513,12.7820512820513,1.39763427570416E-06,3.62550970782017E-05,0,0
Global warming,United Nations Environment Programme,716.099099099099,829.696202531646,1545.79530163074,113.597103432546,4.43804518681308E-06,0.0238510237098374,1,1
Troposphere,Vapor pressure,35.6739130434783,30.8918918918919,66.5658049353702,4.78202115158637,3.12493489718964E-05,0.000343696654475409,0,0
Global warming,History of climate change science,833.769585253456,911.393939393939,1745.1635246474,77.6243541404832,5.16731147881694E-06,0.0431543604901426,1,1
Fossil fuel,Fossil fuel power station,205.900552486188,127.874439461883,333.774991948071,78.0261130243044,7.36653785049324E-05,0.00433538392473302,1,1
Carbon dioxide,Sedimentary rock,43.4117647058824,78.6380952380952,122.049859943978,35.2263305322129,7.49663299090414E-06,0.0011516498426576,1,1
Gross domestic product,Uneconomic growth,257.977777777778,355.08,613.057777777778,97.1022222222222,1.19066763751874E-05,0.0481177331490365,0,1
Fossil fuel,Reserves-to-production ratio,335.770114942529,390.139344262295,725.909459204824,54.3692293197664,0.000120129024955119,0.0436537760929274,1,1
Climate change in the Arctic,Younger Dryas,11.6666666666667,167.431034482759,179.097701149425,155.764367816092,4.5354471108554E-05,0.00113145962252755,0,1
