A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Meiosis,Chromosome,78.6666666666667,124.014018691589,202.680685358255,45.3473520249221,5.16361493741907E-06,0.00479171417485432,1,1
Meiosis,Mitosis,81.2553191489362,133.052795031056,214.308114179992,51.7974758821197,5.33353194536695E-06,0.00601633649580803,1,1
Gamete,Chromosomal crossover,131.315217391304,114.685714285714,246.000931677019,16.6295031055901,7.77355801174508E-05,0.00543587924060198,1,1
Meiosis,Puberty,133.241379310345,149.5,282.741379310345,16.2586206896552,8.74585393842224E-06,0.000431370869391739,1,1
Mitosis,DNA,70.1767955801105,158.098901098901,228.275696679012,87.9221055187906,9.20465977734285E-06,0.00230810265680558,0,1
Mitosis,Kinetochore,302.862660944206,223.919047619048,526.781708563254,78.9436133251584,3.97246373278728E-05,0.02557490925348,1,1
Oogenesis,Immature ovum,136.441860465116,134.888888888889,271.330749354005,1.55297157622741,0.000282347442508223,0.0358674175976364,1,1
Eukaryote,Chlorophyll,202.090163934426,485.699248120301,687.789412054727,283.609084185875,1.77505150345595E-05,0.0154469200135631,1,1
Meiosis,Centriole,73.1367521367521,168.34328358209,241.480035718842,95.2065314453374,4.80063592128368E-06,0.00660140567390788,1,1
Fungus,Algae,161.220779220779,140.90243902439,302.123218245169,20.318340196389,1.35126444047537E-05,0.00436079975421908,1,1
Cell cycle,Retinoblastoma protein,61.625,44.1594202898551,105.784420289855,17.4655797101449,3.43427453353775E-05,0.0109525914902642,0,0
Nuclear envelope,Cell (biology),11.3333333333333,66.9814814814815,78.3148148148148,55.6481481481481,4.87197453963423E-05,0.000380394487066903,0,0
Synaptonemal complex,Sister chromatids,24.6,85.6451612903226,110.245161290323,61.0451612903226,0.000716762332099881,0.00239502268280428,0,1
Centromere,Schizosaccharomyces pombe,13.8333333333333,41.1818181818182,55.0151515151515,27.3484848484848,3.39871143793339E-05,0.000126317409717908,0,0
Meiosis,Ploidy,74.8301886792453,106.57671957672,181.406908255965,31.7465308974743,4.91179169534794E-06,0.00340023116102626,1,1
Homologous recombination,Bacterial conjugation,56.9166666666667,11.625,68.5416666666667,45.2916666666667,0.000218653758731744,4.29035063236539E-05,1,0
Spermatozoon,Drosophila melanogaster,27.7692307692308,12.2,39.9692307692308,15.5692307692308,2.55845883542497E-05,4.29655861854793E-06,0,0
Chromosomal crossover,Gene duplication,11.5,17.2666666666667,28.7666666666667,5.76666666666667,1.40765593461622E-05,0.000117803898808725,0,0
Mitosis,Fluorescence,17.5,11.5,29,6,2.29536764641265E-06,7.06797827856623E-06,0,0
Nuclear envelope,Endoplasmic reticulum,26.7272727272727,11.5,38.2272727272727,15.2272727272727,0.000114895228448059,8.14906121043321E-06,0,0
Synaptonemal complex,Chromosomal crossover,41.5384615384615,65.6491228070175,107.187584345479,24.110661268556,0.00121029286846134,0.00253376433960297,1,0
Meiosis,Spermatozoon,86.8974358974359,83.8607594936709,170.758195391107,3.03667640376501,5.70387582233156E-06,0.00255012683272323,1,0
Meiosis,Fungus,20.8518518518519,23.6666666666667,44.5185185185185,2.81481481481482,1.36869830968311E-06,0.000142212536636002,0,0
Cell cycle,Cytokinesis,192.273764258555,122.155172413793,314.428936672348,70.118591844762,0.000107151463214701,0.0102979301911282,1,1
Meiosis,Opisthokont,44.5606060606061,96.7592592592593,141.319865319865,52.1986531986532,2.92492132722447E-06,0.00138145576089526,0,0
Homologous chromosome,Ploidy,135.593220338983,173.672,309.265220338983,38.0787796610169,0.000215447569164325,0.00366457917265149,1,1
Centrosome,Vesicle (biology and chemistry),17.7931034482759,94.7685185185185,112.561621966794,76.9754150702427,3.21927672958918E-05,0.0034154794802598,0,1
Meiosis,Protozoa,43.765625,98.7014925373134,142.467117537313,54.9358675373134,2.87273942790866E-06,0.00100235423650406,0,1
Meiosis,Germ cell,76.4262295081967,83.9210526315789,160.347282139776,7.49482312338222,5.01655449532808E-06,0.00185383588233345,1,0
Homologous chromosome,Natural selection,17.8125,23.8055555555556,41.6180555555556,5.99305555555556,2.83027412148291E-05,0.000184798600792111,0,0
Meiosis,Rhizaria,73.7777777777778,167.035714285714,240.813492063492,93.2579365079365,4.84271231418963E-06,0.00454348514551393,1,1
Meiosis,Edouard Van Beneden,347.928571428571,543.023529411765,890.952100840336,195.094957983193,2.28377436684337E-05,0.0365996000425014,1,1
Meiosis,Archaea,69.448275862069,147.65625,217.104525862069,78.207974137931,4.5585273892294E-06,0.000498099893854649,0,1
Chromosome,Lampbrush chromosome,244.506666666667,286.564516129032,531.071182795699,42.0578494623656,3.83479475023332E-05,0.0214641583469445,1,1
Chromosomal crossover,Linkage disequilibrium,97.7678571428571,108.050847457627,205.818704600484,10.28299031477,0.000119672612453786,0.0215628044160623,1,1
Sexual reproduction,Rhizome,27.625,86.3214285714286,113.946428571429,58.6964285714286,4.79551906698381E-06,0.00045942630826726,0,1
Mitosis,Staining,33.7441860465116,13.2,46.9441860465116,20.5441860465116,4.42601788032525E-06,1.28938257915197E-05,0,0
Oogenesis,Meiosis,44.4568965517241,93.2771084337349,137.734004985459,48.8202118820108,9.19973606372889E-05,0.00076869109837439,0,0
Mitosis,Interphase,344.258706467662,321.731343283582,665.990049751244,22.5273631840796,4.5154302675528E-05,0.0354415505979816,1,1
Chromosome,Base pair,304.134615384615,263.744318181818,567.878933566433,40.3902972027972,4.76998783853673E-05,0.00844474837946299,1,1
