A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
General relativity,Inertial frame of reference,508.688524590164,219.187192118227,727.875716708391,289.501332471937,2.3932279605063E-05,0.00674832399053066,1,1
General relativity,Newton's laws of motion,17.2666666666667,53.5862068965517,70.8528735632184,36.3195402298851,8.12345226083125E-07,0.0012773394515208,0,0
Momentum,John Philoponus,41.0454545454545,163.85,204.895454545455,122.804545454545,9.98214798402839E-06,0.00123533277931215,0,1
Newton's laws of motion,Classical mechanics,164.045454545455,399.87037037037,563.915824915825,235.824915824916,1.31211213071042E-05,0.00889455065939461,1,1
Newton's law of universal gravitation,General relativity,65.3835616438356,310.684210526316,376.067772170151,245.30064888248,3.08950191908363E-05,0.00357917569559449,0,1
Newton's laws of motion,Special relativity,12,62.3103448275862,74.3103448275862,50.3103448275862,9.59816022464814E-07,0.000275557290602383,0,0
Quantum mechanics,Quantum entanglement,291.265463917526,475.349740932642,766.615204850168,184.084277015117,1.13672307655797E-05,0.0167478677582484,1,1
Newton's laws of motion,Lagrangian mechanics,253.549450549451,221.420454545455,474.969905094905,32.128996003996,2.02800687603761E-05,0.0069112164946991,1,1
Momentum,Inertia,142.319587628866,96.3020833333333,238.621670962199,46.0175042955326,3.46117542239415E-05,0.00103325944233719,1,1
Classical mechanics,Acceleration,57.2196531791908,118.28,175.499653179191,61.0603468208093,1.68635775401222E-05,0.0072308940375691,0,1
Quantum mechanics,Stephen Hawking,28.3636363636364,203.481132075472,231.844768439108,175.117495711835,1.1069489515164E-06,0.00303108233065484,0,1
Special relativity,Four-momentum,430.952755905512,257.388888888889,688.341644794401,173.563867016623,3.6000965023986E-05,0.0163427857871029,1,1
Newton's laws of motion,Standard Model,54.5217391304348,46.5344827586207,101.056221889055,7.98725637181409,4.36090323250318E-06,0.000317271898961067,0,0
Quantum mechanics,Determinism,88.04,18.3157894736842,106.355789473684,69.7242105263158,3.43594116220046E-06,0.000441106569065501,0,0
Energy,Conjugate variables,151.054794520548,269.117647058824,420.172441579371,118.062852538276,2.44551070810786E-05,0.00491393190095948,1,1
Special relativity,Poynting vector,53.3809523809524,53.8235294117647,107.204481792717,0.442577030812323,4.45934217447048E-06,0.000852105258746651,0,0
Special relativity,Einstein notation,294.383333333333,1160.01818181818,1454.40151515152,865.634848484848,2.45922179212179E-05,0.0074824487724168,1,1
Velocity,Torricelli's equation,613.75,695.0625,1308.8125,81.3125,0.000286741985006723,0.0672727932636469,1,1
Force,Wind,52.8979591836735,94.0652173913043,146.963176574978,41.1672582076309,7.75668342267893E-06,0.000217217228925624,0,0
Classical mechanics,Lester Germer,33.9230769230769,167.785714285714,201.708791208791,133.862637362637,9.99769146276269E-06,0.000341883153245521,0,1
Energy,Light,125,138.201388888889,263.201388888889,13.2013888888889,2.02369504049009E-05,0.00260265316040379,1,1
Quantum mechanics,Self-adjoint operator,138.880597014925,33.4647887323944,172.34538574732,105.415808282531,5.42009949925667E-06,0.0010065131056394,1,0
General relativity,Connection (mathematics),178.847457627119,54.4035087719298,233.250966399048,124.443948855189,8.41424006180467E-06,0.00275403313543253,1,0
Force,Newton (unit),130.753164556962,81.5679012345679,212.32106579153,49.1852633223941,1.9172968478051E-05,0.00123254370567894,1,0
Galilean invariance,Electromagnetism,20.9583333333333,81.3157894736842,102.274122807018,60.3574561403509,6.12469340004013E-05,0.000306767834528834,0,0
Newton's law of universal gravitation,Geodesic,300.212121212121,496.675675675676,796.887796887797,196.463554463554,0.000141856133452844,0.00350845909591456,1,1
Inertial frame of reference,Time dilation,40.2,142.843137254902,183.043137254902,102.643137254902,1.50230895918017E-05,0.00248722756578777,0,1
Velocity,Terminal velocity,471.173333333333,452.103896103896,923.277229437229,19.0694372294373,0.000220130634431339,0.0195751299357449,1,1
Momentum,Four-momentum,38.4772727272727,27.9852941176471,66.4625668449198,10.4919786096257,9.35757283331122E-06,0.000958968929507469,0,0
Inertial frame of reference,Speed of light,358.129032258065,283.358974358974,641.488006617039,74.7700578990901,0.000133835933757168,0.000583922429569608,1,1
Speed of light,Louis Essen,110.883116883117,127.808219178082,238.691336061199,16.9251022949653,1.60372846092702E-05,0.00120191610934731,1,0
Galilean invariance,Kinetic energy,17.8461538461538,19.7407407407407,37.5868945868946,1.89458689458689,5.21521530072235E-05,0.000156212998328257,0,0
Inertial frame of reference,Euclidean vector,31.7142857142857,47.9375,79.6517857142857,16.2232142857143,1.18519043687988E-05,0.0001259430333552,0,0
Mass,Spring (device),105.363636363636,330.1875,435.551136363636,224.823863636364,3.5947709884302E-05,0.0059521663496985,1,1
Net force,Mechanics,13.5714285714286,30.8095238095238,44.3809523809524,17.2380952380952,0.000139278420494746,8.62653669351382E-05,0,0
Force,Gauge boson,62.2173913043478,22.3181818181818,84.5355731225296,39.899209486166,9.12323679741721E-06,0.000128069694954158,1,0
Classical mechanics,Energy flux,20.5333333333333,28.5625,49.0958333333333,8.02916666666667,6.05151271608493E-06,0.000593344672232248,0,0
Special relativity,Fine structure,10,41.9285714285714,51.9285714285714,31.9285714285714,8.35380782014987E-07,0.000531258739296765,0,0
Newton's laws of motion,Euler's laws of motion,289.755555555556,1017.09090909091,1306.84646464646,727.335353535354,2.3176002068368E-05,0.0204252600110679,1,1
Momentum,Quantum mechanics,212.845360824742,513.397435897436,726.242796722178,300.552075072694,5.17634391675115E-05,0.00302239280222947,1,1
Energy,Phonon,175.854545454545,162.307692307692,338.162237762238,13.5468531468531,2.84700777187202E-05,0.00340909894162423,1,1
Newton's laws of motion,Modified Newtonian dynamics,154.236111111111,290.481927710843,444.718038821954,136.245816599732,1.23365242239256E-05,0.0043271124735164,1,1
Momentum,Invariant mass,94.2616279069767,45.9555555555556,140.217183462532,48.3060723514212,2.29241831867364E-05,0.00181169260097032,1,0
Force,Theory of impetus,262.556338028169,96.5714285714286,359.127766599598,165.98490945674,3.84999048381238E-05,0.00560833987055834,1,1
Quantum mechanics,Grand Unified Theory,90.013698630137,98.4736842105263,188.487382840663,8.45998558038933,3.51296879015442E-06,0.00276856034122395,0,1
Force,Simple machine,65.8545454545455,96.125,161.979545454545,30.2704545454545,9.65657028963392E-06,0.00147981982650673,1,1
General relativity,Fudge factor,45.3269230769231,91.7763157894737,137.103238866397,46.4493927125506,2.13249669350823E-06,0.00469171560737033,0,0
Quantum mechanics,Continuous function,17.6666666666667,49.4545454545455,67.1212121212121,31.7878787878788,6.89477819160323E-07,0.000436981837139118,0,0
Newton's laws of motion,Reaction (physics),383.157894736842,569.666666666667,952.824561403509,186.508771929825,3.06467572085256E-05,0.0465275197074946,1,1
Newton's laws of motion,René Descartes,28.3636363636364,67.6666666666667,96.030303030303,39.3030303030303,2.26865605309865E-06,0.000522075197473979,0,0
Net force,Euclidean vector,29.6538461538462,30.8095238095238,60.46336996337,1.15567765567766,0.000304326168182245,0.000106238777810709,0,0
Special relativity,Invariant (physics),11,99.92,110.92,88.92,9.18918860216486E-07,0.00924842650870048,0,1
Momentum,Proper time,63.5333333333333,19,82.5333333333333,44.5333333333333,1.54511417226386E-05,0.000259615404828356,1,0
Velocity,Absolute value,36.7727272727273,34.4242424242424,71.1969696969697,2.34848484848485,1.71800974538374E-05,0.000388718805401412,0,0
Net force,Parallelogram of force,12.75,29.2173913043478,41.9673913043478,16.4673913043478,0.000130848410833222,0.00160265582966058,0,0
Energy,Thomas Young (scientist),11.6666666666667,101.48,113.146666666667,89.8133333333333,1.88878203779075E-06,0.000203848584132176,0,0
Galilean invariance,Dialogue Concerning the Two Chief World Systems,43.2222222222222,40.3478260869565,83.5700483091787,2.8743961352657,0.000126309117699966,0.000371901555093528,0,0
Philosophiæ Naturalis Principia Mathematica,Latin,204.6,18,222.6,186.6,5.81733235221531E-05,1.66911436990237E-05,1,0
Newton's laws of motion,Inertial frame of reference,176.459893048128,197.14950166113,373.609394709258,20.6896086130012,1.41140860558351E-05,0.00900009084719789,1,1
Newton's laws of motion,Net force,323.153846153846,272.041095890411,595.194942044257,51.1127502634351,2.58473532716326E-05,0.0130042085728636,1,1
Newton's laws of motion,Force,335.68,534.5,870.18,198.82,2.68492535350824E-05,0.074587358001003,1,1
Momentum,Isaac Newton,254.441176470588,37.5666666666667,292.007843137255,216.874509803922,6.18794335423181E-05,0.00022309935483309,1,0
Newton's laws of motion,Hamiltonian mechanics,268.764705882353,197.632352941176,466.397058823529,71.1323529411765,2.14970559149105E-05,0.00660585290659494,1,1
Special relativity,Twin paradox,714.547770700637,765.061904761905,1479.60967546254,50.5141340612678,5.96919475474964E-05,0.0177035158331995,1,1
Quantum mechanics,Molecular physics,145.224719101124,208.639344262295,353.864063363419,63.4146251611715,5.66769184607622E-06,0.0113661058383578,1,1
Special relativity,Relativity of simultaneity,50.1739130434783,71.7391304347826,121.913043478261,21.5652173913044,4.19143227150128E-06,0.00148762834175421,0,0
Newton's laws of motion,Inertia,221.551219512195,442.695501730104,664.246721242299,221.144282217909,1.77207008570353E-05,0.0142989918651356,1,1
Philosophiæ Naturalis Principia Mathematica,Kepler's laws of planetary motion,179.397058823529,2031.15384615385,2210.55090497738,1851.75678733032,5.10074444861383E-05,0.00869352286453307,1,1
General relativity,Proper time,672.12213740458,390.619047619048,1062.74118502363,281.503089785533,3.16213441891157E-05,0.0201179165460851,1,1
Speed of light,Field (physics),42.6136363636364,23.6382978723404,66.2519342359768,18.9753384912959,6.16330992318669E-06,0.000263769616826555,0,0
General relativity,Einstein–Cartan theory,12.5,52.5,65,40,5.88087760195313E-07,0.00143611951039372,0,0
Force,Lepton,100.722513089005,142.402173913043,243.124687002049,41.6796608240382,1.47694289085009E-05,0.00143717438417939,1,1
Euler's laws of motion,Material derivative,27.1578947368421,73.4,100.557894736842,46.2421052631579,0.000271549076969954,0.0019724577637596,0,1
Isaac Newton,Godfrey Kneller,10.5,116.84,127.34,106.34,2.45926519966423E-07,0.000165630094075172,0,1
Euler's laws of motion,Newton's laws of motion,15,52.4761904761905,67.4761904761905,37.4761904761905,0.0001499835018148,0.000226452393110669,0,0
Newton's laws of motion,Momentum,176.277272727273,197.099644128114,373.376916855387,20.8223714008411,1.4099479230003E-05,0.00765034478005034,1,1
Newton's laws of motion,Mass,275.567164179104,357.674796747967,633.241960927072,82.107632568863,2.20411482870247E-05,0.00643658209502452,1,1
Inertial frame of reference,Acceleration,189.246575342466,158.098214285714,347.34478962818,31.1483610567515,7.07230909530229E-05,0.00541247213067451,1,1
Special relativity,Gustav Herglotz,101.107142857143,2497.78125,2598.88839285714,2396.67410714286,8.4462964067301E-06,0.107446326574781,0,1
Quantum mechanics,Bohr–Einstein debates,283.176991150442,1254.44339622642,1537.62038737686,971.266405075973,1.1051561563856E-05,0.0156256903830986,1,1
General relativity,Ricci curvature,435.519607843137,103.441048034934,538.960655878072,332.078559808203,2.04899000558089E-05,0.0073442008158983,1,1
Inertial frame of reference,Fictitious force,133.869565217391,191.591666666667,325.461231884058,57.7221014492754,5.00282206934431E-05,0.0110982814100528,1,1
Quantum mechanics,Niels Bohr,198.025316455696,292.734513274336,490.759829730032,94.7091968186401,7.72834320726828E-06,0.00650417534276743,1,1
