A,B,weight,backwardweight,SUM,Diff,Normalized weight,Normalized backward weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Diffie–Hellman key exchange,Whitfield Diffie,263.140350877193,477.845454545455,740.985805422648,214.705103668262,0.000305825306362066,0.0148042561497105,1,1
Certificate authority,Public key certificate,161.644736842105,127.469696969697,289.114433811802,34.1750398724083,0.000111183763438167,0.00578989222321745,1,1
Certificate authority,X.509,327.541984732824,145.226804123711,472.768788856536,182.315180609113,0.000225292522714021,0.00760333754511564,1,1
Digital signature,Non-repudiation,12,19.6923076923077,31.6923076923077,7.69230769230769,1.02720465940034E-05,0.000552403928109808,0,0
ElGamal encryption,Diffie–Hellman key exchange,61.7307692307692,167.807692307692,229.538461538462,106.076923076923,0.00019459064674899,0.00155760765316222,1,1
Discrete logarithm,General number field sieve,15.3333333333333,11,26.3333333333333,4.33333333333333,3.24198683048567E-05,7.99659781111309E-06,0,0
Public-key cryptography,ZRTP,850.767857142857,425.404255319149,1276.17211246201,425.363601823708,4.01187261673647E-05,0.0396222077777954,1,1
Symmetric-key algorithm,Message authentication code,127.678571428571,175,302.678571428571,47.3214285714286,0.000110025999990152,0.00606914827396091,1,1
Transport Layer Security,Request for Comments,213.888888888889,38.1428571428571,252.031746031746,175.746031746032,1.75239487062278E-05,0.000257468432795114,1,0
Public-key cryptography,Neal Koblitz,35.5714285714286,48.9090909090909,84.4805194805195,13.3376623376623,1.67740281941504E-06,0.000184883664188034,0,0
Symmetric-key algorithm,Stream cipher,132.865168539326,168.839506172839,301.704674712165,35.9743376335136,0.000114495509064946,0.0269701033367516,1,1
Public-key cryptography,Whitfield Diffie,451.537190082645,134.982608695652,586.519798778297,316.554581386992,2.12926437349703E-05,0.00437201963761497,1,1
Transport Layer Security,SEED,91.4166666666667,0,91.4166666666667,91.4166666666667,7.48978119379165E-06,0,1,0
Public key certificate,Certificate signing request,252.967741935484,500.205128205128,753.172870140612,247.237386269644,0.000323637564061522,0.0203962783169829,1,1
Public-key cryptography,Public key certificate,296.943396226415,245.336633663366,542.280029889781,51.6067625630487,1.4002633856458E-05,0.017053101081553,1,1
Public-key cryptography,X.509,120.813953488372,122.46017699115,243.274130479523,1.64622350277835,5.69709101784139E-06,0.00746894192867965,1,1
Cryptography,Social engineering (security),122.766666666667,38.9565217391304,161.723188405797,83.8101449275362,1.43644387199901E-05,0.000409355603009129,1,0
Public-key cryptography,Cryptographic hash function,312.594405594406,313.7625,626.356905594406,1.16809440559439,1.47406713290842E-05,0.00937732555880656,1,1
Symmetric-key algorithm,Initialization vector,120.5125,165.473684210526,285.986184210526,44.9611842105263,0.000103850694564131,0.0145131499455584,1,1
Integer factorization,Federal Office for Information Security,16.8461538461538,174.25,191.096153846154,157.403846153846,1.24024903747614E-05,0.000589193782683258,0,1
Public-key cryptography,National Institute of Standards and Technology,18.7777777777778,0,18.7777777777778,18.7777777777778,8.85483059066483E-07,0,0,0
RSA,IEEE P1363,468.774193548387,18.4333333333333,487.20752688172,450.340860215054,0.000689166050747035,0.000346902468339661,1,0
Public-key cryptography,Web browser,20,0,20,20,9.43118051076727E-07,0,0,0
