A,B,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Troposphere,Lapse rate,1035,2046,3081,1011,0.000906631020446062,0.0854458133221967,1,1
Kyoto Protocol,New Zealand,417,0,417,417,0.000180179790913667,0,1,0
Northern Hemisphere,Axial tilt,3160,38,3198,3122,0.00114717158673797,0.00041935661866137,1,0
United Nations Framework Convention on Climate Change,United Nations Convention to Combat Desertification,540,823,1363,283,0.000256690958821541,0.0677422010041979,1,1
Global warming,Attribution of recent climate change,24635,3303,27938,21332,0.000152676135627997,0.072844761043601,1,1
Global warming,Cloud forcing,291,0,291,291,1.80348104192194E-06,0,1,0
Global warming,Flood,376,24,400,352,2.33027103698505E-06,9.36128717698684E-05,1,0
Global warming,United Nations Framework Convention on Climate Change,12294,444,12738,11850,7.61924258741868E-05,0.00295477988886301,1,1
Global warming,International Union of Geodesy and Geophysics,127,0,127,127,7.87086227917823E-07,0,1,0
Global warming,Methane,7538,208,7746,7330,4.67169762680673E-05,0.000194976907422527,1,1
Global warming,NASA,247,323,570,76,1.53078975035986E-06,0.00014167406105845,1,1
Global warming,Proxy (climate),10667,170,10837,10497,6.61090456157435E-05,0.0166438222048169,1,1
Global warming,Royal Society,747,0,747,747,4.62955442720169E-06,0,1,0
Global warming,Temperature record of the past 1000 years,3087,10,3097,3077,1.91317731148214E-05,0.000413907284768212,1,0
Stratosphere,Atmosphere of Earth,27228,19811,47039,7417,0.0115101368931846,0.0402115822184875,1,1
Stratosphere,Léon Teisserenc de Bort,262,12,274,250,0.000110755687748434,0.036036036036036,1,0
Intergovernmental Panel on Climate Change,Working group,112,0,112,112,6.33808595463175E-05,0,1,0
Greenhouse gas,Nitrogen trifluoride,1262,746,2008,516,0.00021329677203561,0.0626996133804001,1,1
Attribution of recent climate change,Carbon dioxide,65,36,101,29,0.000191139367064041,8.7033885192635E-05,1,0
Northern Hemisphere,Arctic,680,0,680,680,0.000246859708538551,0,1,0
Carbon dioxide,Combustion,84,137,221,53,1.4505680096221E-05,0.000503482111684828,1,1
Troposphere,Zonal flow,20,0,20,20,1.75194400086196E-05,0,0,0
Northern Hemisphere,Tropics,938,2380,3318,1442,0.000340521186189942,0.0148471615720524,1,1
United Nations Framework Convention on Climate Change,Human impact on the environment,6758,11,6769,6747,0.00321243981428884,5.54239935506626E-05,1,0
