A,B,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Cell cycle,Retinoblastoma protein,463,277,740,186,0.000258023384832126,0.0206024544440312,1,1
Mitosis,DNA,368,110,478,258,4.82683025074203E-05,5.91063866600109E-05,1,1
Mitosis,Kinetochore,1151,193,1344,958,0.000150969609201198,0.00879792132014405,1,1
Oogenesis,Immature ovum,1574,928,2502,646,0.00325717395668,0.10529899012822,1,1
Spermatozoon,Drosophila melanogaster,522,0,522,522,0.000480933563911188,0,1,0
Nuclear envelope,Endoplasmic reticulum,1892,4451,6343,2559,0.00813333161381291,0.0117358575138755,1,1
Fungus,Algae,1397,1812,3209,415,0.000117088903332927,0.00292518972567467,1,1
Meiosis,Chromosome,4574,5989,10563,1415,0.000300233576996883,0.00228116403736706,1,1
Meiosis,Mitosis,18307,41194,59501,22887,0.0012016563388898,0.0630368283572383,1,1
Meiosis,Bdelloidea,260,0,260,260,1.70661849626562E-05,0,1,0
Meiosis,Ploidy,15154,2877,18031,12277,0.000994696026631125,0.00989554133116872,1,1
Centromere,Schizosaccharomyces pombe,237,0,237,237,0.000582285260812202,0,1,0
Gamete,Mating type,1257,31,1288,1226,0.000744115009279238,0.00366603595080416,1,1
Synaptonemal complex,Sister chromatids,393,0,393,393,0.0114507153054981,0,1,0
Eukaryote,Chlorophyll,11,0,11,11,9.66180944083508E-07,0,0,0
Meiosis,Centriole,56,0,56,56,3.67579368426442E-06,0,0,0
Cell cycle,Cytokinesis,4724,547,5271,4177,0.00263261872558739,0.0249634903249361,1,1
Spermatozoon,Micrometre,1201,3945,5146,2744,0.00110651572846233,0.0156391847802387,1,1
Meiosis,Fungus,664,743,1407,79,4.35844108277067E-05,0.000498193294975355,1,1
Meiosis,Edouard Van Beneden,311,10,321,301,2.04137827822542E-05,0.161290322580645,1,1
Meiosis,Germ cell,322,3037,3359,2715,2.11358136845204E-05,0.0722768271496228,1,1
Chromosome,Lampbrush chromosome,662,488,1150,174,0.000103826785554087,0.136084774121584,1,1
Homologous chromosome,Ploidy,2311,5040,7351,2729,0.00367200757599832,0.0173352548867189,1,1
Centrosome,Amorphous solid,578,0,578,578,0.00104576582444523,0,1,0
Gamete,Zygote,1705,22502,24207,20797,0.00100932067686643,0.041297469516,1,1
Meiosis,Archaea,73,10,83,63,4.7916596241304E-06,2.3383662770169E-05,1,0
Meiosis,Spermatozoon,82,216,298,134,5.38241218053004E-06,0.00238805970149254,1,1
Synaptonemal complex,Chromosomal crossover,56,1111,1167,1055,0.00163165408933306,0.00815945828834982,1,1
Chromosomal crossover,Linkage disequilibrium,32,0,32,32,3.91695564414948E-05,0,0,0
