A,B,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Momentum,Inertia,1711,7507,9218,5796,0.000416110757934437,0.0377041029015133,1,1
Momentum,John Philoponus,363,0,363,363,8.82806575863241E-05,0,1,0
Newton's law of universal gravitation,General relativity,9846,20192,30038,10346,0.00465242870386909,0.0284991644460503,1,1
Newton's laws of motion,Classical mechanics,12537,13234,25771,697,0.00100276778947011,0.0146260326582488,1,1
Energy,Conjugate variables,2009,0,2009,2009,0.000325248266907567,0,1,0
General relativity,Inertial frame of reference,379,1175,1554,796,1.78308208891219E-05,0.00439106241287945,1,1
General relativity,Newton's laws of motion,503,541,1044,38,2.36646514702594E-05,0.00127651240765341,1,1
Special relativity,Four-momentum,525,491,1016,34,4.38574910557868E-05,0.0111796716682985,1,1
Quantum mechanics,Determinism,2579,870,3449,1709,0.000100650752581951,0.00417803219485958,1,1
Quantum mechanics,Quantum entanglement,16018,8176,24194,7842,0.000625135228715664,0.0183763786217267,1,1
Quantum mechanics,Stephen Hawking,859,32871,33730,32012,3.35242328297387E-05,0.00414328811526335,1,1
Velocity,Torricelli's equation,747,0,747,747,0.000348995947535677,0,1,0
Classical mechanics,Acceleration,1249,1040,2289,209,0.000368100943947569,0.00136864435776364,1,1
Newton's laws of motion,Special relativity,1802,155,1957,1647,0.0001441323727068,0.000120851669000533,1,1
Newton's laws of motion,Lagrangian mechanics,1047,1530,2577,483,8.3743947960055E-05,0.00831399740255506,1,1
Classical mechanics,Lester Germer,29,0,29,29,8.54677932304203E-06,0,0,0
Newton's laws of motion,Standard Model,43,0,43,43,3.43934074716558E-06,0,0,0
Force,Gauge boson,867,0,867,867,0.000127132400403422,0,1,0
Force,Newton (unit),12529,8889,21418,3640,0.00183718782543768,0.0623356405023878,1,1
Galilean invariance,Kinetic energy,11,533,544,522,3.21455081035904E-05,0.00148258587454486,0,1
Momentum,Four-momentum,1820,1663,3483,157,0.000442619274950716,0.0378651608643184,1,1
Energy,Light,835,1698,2533,863,0.000135182828704738,0.0033912522468544,1,1
General relativity,Connection (mathematics),667,0,667,667,3.13803628840219E-05,0,1,0
Quantum mechanics,Self-adjoint operator,1505,137,1642,1368,5.8735704783186E-05,0.00295596262972792,1,1
Speed of light,Louis Essen,316,0,316,316,4.57038192917268E-05,0,1,0
Velocity,Terminal velocity,1247,11,1258,1236,0.000582594305993293,0.000108773040107586,1,0
Special relativity,Fine structure,59,1182,1241,1123,4.92874661388842E-06,0.0378348964501777,0,1
Philosophiæ Naturalis Principia Mathematica,Bodmer Library,1352,0,1352,1352,0.00038441023168109,0,1,0
Force,Gradient,62,0,62,62,9.09135965976026E-06,0,1,0
Inertial frame of reference,Frame of reference,11431,11957,23388,526,0.00427186410755934,0.0557318977370715,1,1
Inertial frame of reference,Time dilation,431,3479,3910,3048,0.000161068448111108,0.0072889320949761,1,1
Newton's law of universal gravitation,Geodesic,342,0,342,342,0.000161601728287957,0,1,0
Inertial frame of reference,Euclidean vector,65,10,75,55,2.42910652603759E-05,2.96641719098091E-05,0,0
Classical mechanics,Energy flux,86,0,86,86,2.53456214407453E-05,0,1,0
Mass,Spring (device),13,0,13,13,4.43530846717445E-06,0,0,0
Force,Simple machine,884,1621,2505,737,0.000129625192568195,0.00384840923713181,1,1
Force,Theory of impetus,802,0,802,802,0.000117601136243996,0,1,0
Galilean invariance,Dialogue Concerning the Two Chief World Systems,1575,0,1575,1575,0.00460265229665044,0,1,0
Galilean invariance,Superluminal motion,1014,0,1014,1014,0.00296323138336733,0,1,0
Net force,Euclidean vector,4510,0,4510,4510,0.0462844182633594,0,1,0
Momentum,Quantum mechanics,1546,6259,7805,4713,0.00037598318630429,0.00256483702282209,1,1
Momentum,Invariant mass,755,1093,1848,338,0.000183614039883401,0.0376468156924879,1,1
Newton's laws of motion,Euler's laws of motion,7007,465,7472,6542,0.000560452572450913,0.0464907018596281,1,1
Energy,Thomas Young (scientist),2299,0,2299,2299,0.000372197991846937,0,1,0
Special relativity,Invariant (physics),8395,0,8395,8395,0.000701302166501582,0,1,0
Quantum mechanics,Grand Unified Theory,3254,0,3254,3254,0.000126994008880058,0,1,0
