A,B,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Pythagorean theorem,Right angle,2929,2081,5010,848,0.00150453801334205,0.0246835968543537,1,1
Parallel postulate,Axiom,1714,2809,4523,1095,0.0010880543189218,0.0124786210879367,1,1
Parallel postulate,Hyperbolic geometry,1443,6998,8441,5555,0.000916022393351315,0.0132446320252098,1,1
Angle,Metric tensor,102,0,102,102,9.4381436096828E-05,0,1,0
Parallel postulate,Elliptic geometry,1874,2122,3996,248,0.00118962298346526,0.0679801377542848,1,1
Parallel postulate,Saccheri quadrilateral,1676,260,1936,1416,0.00106393176109273,0.0445281726323001,1,1
Triangle,Euclidean space,1965,55,2020,1910,0.000859630065966218,0.000302412149270637,1,0
Right angle,Orthogonality,1680,374,2054,1306,0.00543472986481109,0.00513877438856829,1,1
Euclid,Euclidean geometry,35307,20606,55913,14701,0.0102090532590061,0.0316932494578341,1,1
Euclid,Locus (mathematics),151,0,151,151,4.36617963041301E-05,0,1,0
Euclid,Porism,916,0,916,916,0.000264862287513796,0,1,0
Saccheri quadrilateral,Hyperbolic geometry,299,271,570,28,0.0128034941977476,0.000512903012122302,1,1
Euclid's Elements,Geometric progression,256,539,795,283,0.000524040351107035,0.0104633781763827,1,1
Euclidean geometry,Alfred Tarski,12,0,12,12,6.92127339895085E-06,0,0,0
Pythagorean theorem,Ratio,31,0,31,31,1.59237550063515E-05,0,0,0
Giovanni Girolamo Saccheri,Parallel postulate,32,71,103,39,0.00346582909130294,0.000495778896577729,1,1
Right angle,Angle,3786,4573,8359,787,0.0122475519453421,0.0105785712798614,1,1
Right angle,Euclid's Elements,506,0,506,506,0.00163688887594906,0,1,0
Right angle,Hypotenuse,102,642,744,540,0.000329965741792102,0.00936419726075351,1,1
Saccheri quadrilateral,Lambert quadrilateral,900,1028,1928,128,0.0385389457457286,0.178070327386108,1,1
Triangle,Dot product,23,0,23,23,1.00618277441338E-05,0,0,0
Euclid,Reason,259,0,259,259,7.48901009454948E-05,0,1,0
Parallel postulate,Carl Friedrich Gauss,41,0,41,41,2.60269702892612E-05,0,0,0
Elliptic geometry,Great circle,196,0,196,196,0.00139537532748605,0,1,0
Right angle,Gradian,32,79,111,47,0.00010351866409164,0.00307261483411769,0,1
Axiom,Boethius,77,0,77,77,6.2193424781899E-05,0,1,0
Playfair's axiom,Hilbert's axioms,11,354,365,343,0.000452191071281756,0.0443720230634244,0,1
Line (geometry),Coefficient,21,0,21,21,3.75810004778156E-05,0,0,0
Pythagorean theorem,Euclid's Elements,1594,683,2277,911,0.000818789209036269,0.00419435266952431,1,1
Pythagorean theorem,List of triangle topics,764,10,774,754,0.000392443510479115,0.00174581005586592,1,0
Euclid,Archimedes,14949,3947,18896,11002,0.00432251783410888,0.00309987049185607,1,1
Euclid,Axiomatic system,3944,76,4020,3868,0.00114041142134761,0.00143466606259675,1,1
Line (geometry),Incidence (geometry),299,0,299,299,0.000535081863946041,0,1,0
Non-Euclidean geometry,Distance,76,107,183,31,5.21039721051787E-05,0.00165302023791132,1,1
Elliptic geometry,Non-Euclidean geometry,883,11117,12000,10234,0.00628630823556214,0.0342970145523988,1,1
Angle,Perpendicular,841,3014,3855,2173,0.000778184193700317,0.0834648721996068,1,1
Angle,Vertex (geometry),2597,1418,4015,1179,0.002403025387681,0.021601035874781,1,1
Saccheri quadrilateral,Reductio ad absurdum,338,0,338,338,0.0144735151800625,0,1,0
Euclid,The School of Athens,6108,5516,11624,592,0.00176613411805051,0.0164714735339612,1,1
Proclus,Dionysius the Areopagite,90,78,168,12,0.000601696784933512,0.0025300032435939,1,1
Right angle,Radian,90,0,90,90,0.000291146242757737,0,1,0
Euclid's Elements,Bertrand Russell,102,0,102,102,0.000208797327394209,0,1,0
Non-Euclidean geometry,Pseudosphere,5094,0,5094,5094,0.00349233728820764,0,1,0
Parallel postulate,Proclus,328,0,328,328,0.00020821576231409,0,1,0
Parallel postulate,John Playfair,392,0,392,392,0.000248843228131473,0,1,0
Non-Euclidean geometry,List of geometers,125,190,315,65,8.56973225414124E-05,0.00581983030600055,1,1
