A,B,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
ElGamal encryption,Diffie–Hellman key exchange,4310,2128,6438,2182,0.0135861855917083,0.00865614207788087,1,1
Public key infrastructure,Government Communications Headquarters,241,0,241,241,0.000379381183637809,0,1,0
Public-key cryptography,Man-in-the-middle attack,1876,8343,10219,6467,8.8464473190997E-05,0.0544038916747635,1,1
Public-key cryptography,PGP word list,809,0,809,809,3.81491251660536E-05,0,1,0
Cryptography,Social engineering (security),1812,0,1812,1812,0.000212014903290432,0,1,0
Digital signature,Public-key cryptography,18245,25281,43526,7036,0.0156177908422993,0.0703365616018741,1,1
Discrete logarithm,Group (mathematics),2594,0,2594,2594,0.00548459598148685,0,1,0
Transport Layer Security,Tcpcrypt,645,88,733,557,5.28449466180012E-05,0.0763888888888889,1,1
Key (cryptography),Ciphertext,2331,831,3162,1500,0.00678026248429283,0.00843526366543166,1,1
Certificate authority,OpenSSL,2549,0,2549,2549,0.00175327337308062,0,1,0
Certificate authority,Reseller,104,0,104,104,7.15341038840267E-05,0,1,0
Diffie–Hellman key exchange,Whitfield Diffie,8789,4731,13520,4058,0.0102146957266566,0.0860666921355673,1,1
Prime number,Mathematical analysis,58,0,58,58,1.81426493961157E-05,0,0,0
Prime number,Infinite product,37,0,37,37,1.15737590975221E-05,0,0,0
Prime number,Sophie Germain prime,103,283,386,180,3.22188428931019E-05,0.0192203205650638,1,1
Public-key cryptography,Algorithm,3267,0,3267,3267,0.000154058333643383,0,1,0
GNU Privacy Guard,KGPG,1282,93,1375,1189,0.00145447614466251,0.497326203208556,1,1
Symmetric-key algorithm,Initialization vector,401,36,437,365,0.00034555858122781,0.001085776330076,1,0
Discrete logarithm,Diffie–Hellman key exchange,1970,5496,7466,3526,0.00416524829742833,0.0223562767199404,1,1
Discrete logarithm,ElGamal encryption,1417,1309,2726,108,0.00299601869921621,0.0288834951456311,1,1
Transport Layer Security,Internet Engineering Task Force,8287,0,8287,8287,0.000678955151354072,0,1,0
Discrete logarithm,Average-case complexity,27,0,27,27,5.70871594063781E-05,0,0,0
ElGamal encryption,Homomorphic encryption,2095,2554,4649,459,0.00660395796163085,0.0411869053378487,1,1
Public-key cryptography,Clifford Cocks,874,460,1334,414,4.1214258832053E-05,0.0351816443594646,1,1
Public-key cryptography,One-time pad,2153,1650,3803,503,0.00010152665819841,0.0127457417635472,1,1
Public-key cryptography,Padlock,113,12,125,101,5.32861698858351E-06,0.000610314311870613,0,0
Digital signature,Digital signature forgery,2150,429,2579,1721,0.00184040834809227,0.713810316139767,1,1
Digital Signature Algorithm,ElGamal signature scheme,3874,2137,6011,1737,0.0180524424852165,0.105975700471113,1,1
Symmetric-key algorithm,Key (cryptography),4553,930,5483,3623,0.00392351177139706,0.0189355377285499,1,1
Transport Layer Security,Request for Comments,8327,0,8327,8327,0.000682232357345886,0,1,0
Prime number,Proportionality (mathematics),619,0,619,619,0.000193625861658545,0,1,0
Prime number,Twin prime,7204,2730,9934,4474,0.00225344217671754,0.0326430074612588,1,1
ElGamal encryption,Taher Elgamal,11742,1092,12834,10650,0.0370136870575033,0.0911443118270595,1,1
Public-key cryptography,Quantum cryptography,1208,330,1538,878,5.69643302850343E-05,0.00521631917550543,1,1
Public-key cryptography,Taher Elgamal,180,22,202,158,8.48806245969055E-06,0.00183624071446457,1,0
Public-key cryptography,Three-pass protocol,497,0,497,497,2.34364835692567E-05,0,1,0
GNU Privacy Guard,Horde (software),897,0,897,897,0.00101767948655404,0,1,0
Certificate authority,X.509,12256,5541,17797,6715,0.00843001901156376,0.0209696524737075,1,1
Prime number,Divisor function,816,0,816,816,0.000255248308745351,0,1,0
Key exchange,Secure channel,147,0,147,147,0.000664280678921967,0,1,0
Pretty Good Privacy,United States Court of Appeals for the Sixth Circuit,236,0,236,236,0.000121953677239258,0,1,0
Public-key cryptography,Trusted third party,35,0,35,35,1.65045658938427E-06,0,0,0
ElGamal encryption,ElGamal signature scheme,5626,2116,7742,3510,0.0177345429556731,0.104934292090255,1,1
Public-key cryptography,Factorization,396,406,802,10,1.86737374113192E-05,0.0083283759666865,1,1
Public-key cryptography,Hybrid cryptosystem,1772,792,2564,980,8.3560259325398E-05,0.16751269035533,1,1
Public-key cryptography,Merkle–Hellman knapsack cryptosystem,4065,30,4095,4035,0.000191688743881345,0.00669792364367046,1,1
Cryptography,Phil Zimmermann,471,255,726,216,5.510983413344E-05,0.010818378515973,1,1
Cryptography,Steven Levy,1724,0,1724,1724,0.000201718373770808,0,1,0
Encryption,Digital rights management,481,5548,6029,5067,0.000459604930863379,0.00575313373650896,1,1
Key exchange,Symmetric-key algorithm,1398,1316,2714,82,0.0063174448240334,0.00793832716041936,1,1
