A,B,result,weight1,weight2,weight3,weight4,backwardweight1,backwardweight2,backwardweight3,backwardweight4,Diff1,Diff2,Diff3,Diff4,SUM1,SUM2,SUM3,SUM4,Normalized_weight1,Normalized_weight2,Normalized_weight3,Normalized_weight4,Normalized_backward_weight1,Normalized_backward_weight2,Normalized_backward_weight3,Normalized_backward_weight4,Weight_greater_than_mean,Backward_weight_greater_than_mean
Accuracy and precision,False positives and false negatives,0,1701,0,60,0,0,0,14.41176471,0,1701,0,45.58823529,0,1701,0,74.41176471,0,0.005153733,0,0.00018179,0,0,0,0.000545,0,0,0
Accuracy and precision,Learning rate,0,0,0,11.5,0,0,0,0,0,0,0,11.5,0,0,0,11.5,0,0,0,3.48E-05,0,0,0,0,0,0,0
Accuracy and precision,Positive and negative predictive values,0,0,0,11.5,0,0,0,57,0,0,0,45.5,0,0,0,68.5,0,0,0,3.48E-05,0,0,0,0.000369752,0,0,0
AdaBoost,Boosting (machine learning),1,5549,18.42857143,65.04444444,65.04444444,27900,0,22.5625,22.5625,22351,18.42857143,42.48194444,42.48194444,33449,18.42857143,87.60694444,87.60694444,0.023981572,0,0.000281108,2927,0.057142038,0,0.00011536,0.00011536,1,0
AdaBoost,Ensemble learning,1,0,19.45454545,25.70588235,0,0,0,0,0,0,19.45454545,25.70588235,0,0,19.45454545,25.70588235,0,0,0,0.000111095,0,0,0,0,0,0,0
AdaBoost,Joint probability distribution,1,0,40.7,0,0,0,0,0,0,0,40.7,0,0,0,40.7,0,0,0,0,0,0,0,0,0,0,0,0
AdaBoost,Machine learning,1,747,83.04081633,11.5,11.5,0,0,0,0,747,83.04081633,11.5,11.5,747,83.04081633,11.5,11.5,0.003228372,0,4.97E-05,23,0,0,0,0,1,0
AdaBoost,Probability density function,1,0,40.89473684,0,0,0,0,0,0,0,40.89473684,0,0,0,40.89473684,0,0,0,0,0,0,0,0,0,0,0,0
Alpha–beta pruning,Pruning (decision trees),0,0,15.875,0,0,0,0,0,0,0,15.875,0,0,0,15.875,0,0,0,0,0,0,0,0,0,0,0,0
Anomaly detection,Arithmetic mean,1,0,12.66666667,169.3666667,169.3666667,0,0,67.63636364,67.63636364,0,12.66666667,101.730303,101.730303,0,12.66666667,237.0030303,237.0030303,0,0,0.000168806,0.05570539,0,0,0.000305615,0.000305615,1,0
Anomaly detection,Association rule learning,0,1674,12,20.42857143,0,524,20.75,182,0,1150,8.75,161.5714286,0,2198,32.75,202.4285714,0,0.001668457,0.002003172,2.04E-05,0,0.002315296,9.17E-05,0.002260081,0,0,1
Anomaly detection,Cluster analysis,1,7441,309.8571429,43.92857143,43.92857143,2511,77.13043478,173.6849315,173.6849315,4930,232.7267081,129.7563601,129.7563601,9952,386.9875776,217.6135029,217.6135029,0.007416363,0.009591121,4.38E-05,0.020227602,0.000510467,1.57E-05,0.002792525,0.002792525,1,1
Anomaly detection,Correlation and dependence,1,0,27.22222222,0,0,0,0,0,0,0,27.22222222,0,0,0,27.22222222,0,0,0,0,0,0,0,0,0,0,0,0
Anomaly detection,Data analysis,1,0,63.39130435,63.65217391,63.65217391,0,0,210.6764706,210.6764706,0,63.39130435,147.0242967,147.0242967,0,63.39130435,274.3286445,274.3286445,0,0,6.34E-05,0.032101039,0,0,0.003018534,0.006037069,0,1
Anomaly detection,Data mining,0,2032,241.7654321,146.9574468,146.9574468,7800,244.6896552,135.6153846,135.6153846,5768,2.924223074,11.34206219,11.34206219,9832,486.4550873,282.5728314,282.5728314,0.002025272,0.002151609,0.000146471,0.302898741,0.000988221,3.10E-05,0.000973162,0.00389265,1,1
Anomaly detection,Ensemble learning,0,1678,0,20.42857143,0,1138,0,182,0,540,0,161.5714286,0,2816,0,202.4285714,0,0.001672444,0,2.04E-05,0,0.003741021,0,0.002041048,0,0,1
Anomaly detection,Outlier,1,5440,11,19,19,2148,67.63636364,0,0,3292,56.63636364,19,19,7588,78.63636364,19,19,0.005421988,0.007467436,1.89E-05,0.00104153,0.00229023,7.21E-05,0,0,0,1
Anomaly detection,Standard deviation,1,0,16,19,19,0,0,0,0,0,16,19,19,0,16,19,19,0,0,1.89E-05,0.00104153,0,0,0,0,0,0
Anomaly detection,Statistical classification,0,1137,182.75,118.4179104,118.4179104,643,20.94117647,206.7008547,206.7008547,494,161.8088235,88.28294425,88.28294425,1780,203.6911765,325.1187651,325.1187651,0.001133235,0.001240409,0.000118026,0.086984169,0.000234111,7.62E-06,0.00382225,0.00382225,1,1
