A,B,result,weight1,weight2,weight3,weight4,backwardweight1,backwardweight2,backwardweight3,backwardweight4,Diff1,Diff2,Diff3,Diff4,SUM1,SUM2,SUM3,SUM4,Normalized_weight1,Normalized_weight2,Normalized_weight3,Normalized_weight4,Normalized_backward_weight1,Normalized_backward_weight2,Normalized_backward_weight3,Normalized_backward_weight4,Weight_greater_than_mean,Backward_weight_greater_than_mean
Attribution of recent climate change,Celsius,1,0,0,0,108.1186441,0,0,0,16.3125,0,0,0,91.80614407,0,0,0,124.4311441,0,0,0,0.002082382,0,0,0,0.000156529,0,0
Attribution of recent climate change,Climate oscillation,1,473,35.41666667,0,0,0,24.07142857,0,0,473,11.3452381,0,0,473,59.48809524,0,0,0.001390906,0.000138738,0,0,0,0.001878966,0,0,0,0
Attribution of recent climate change,Coupling (physics),0,0,10,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,3.26E-06,0,0,0,0,0,0,0,0
Attribution of recent climate change,Effects of global warming,1,533,487.3478261,0,0,2859,314.7884615,0,0,2326,172.5593645,0,0,3392,802.1362876,0,0,0.001567343,0.018295515,0,0,0.008207286,0.000903658,0,0,1,1
Attribution of recent climate change,El Niño–Southern Oscillation,0,11,82.11111111,14,45.51428571,0,13,0,17.82692308,11,69.11111111,14,27.68736264,11,95.11111111,14,63.34120879,3.23E-05,0.002171174,4.12E-05,0.001560073,0,0.000326166,0,0.00018237,0,0
Attribution of recent climate change,Enteric fermentation,0,55,32.22727273,0,10,0,0,0,24.19642857,55,32.22727273,0,14.19642857,55,32.22727273,0,34.19642857,0.000161733,0.000231448,0,3.26E-06,0,0,0,0.000604005,0,0
Attribution of recent climate change,Environmental impact of aviation,0,237,34.46666667,59.03508772,302.089983,0,31.75949367,185.5625,268.9940387,237,2.707172996,126.5274123,33.09594427,237,66.22616034,244.5975877,571.0840218,0.000696924,0.000337542,0.000173599,0.058084385,0,0.00061123,0.000982564,0.019911076,1,1
Attribution of recent climate change,Fertilizer,0,0,12,109.4814815,550.6808511,0,56.5,769.84375,696.5128205,0,44.5,660.3622685,145.8319694,0,68.5,879.3252315,1247.193672,0,3.92E-06,0.000321942,0.050694035,0,0.000429609,0.007119436,0.07065278,1,1
Attribution of recent climate change,IPCC First Assessment Report,0,0,115.0625,28.45454545,284.9800797,0,34.69230769,0,88.55865922,0,80.37019231,28.45454545,196.4214205,0,149.7548077,28.45454545,373.5387389,0,0.001201964,8.37E-05,0.02335049,0,0.006681877,0,0.057333825,1,1
Attribution of recent climate change,Radiative forcing,0,84,94.77173913,61.58333333,264.0027778,0,49.39705882,41.96,96.67716535,84,45.37468031,19.62333333,167.3256124,84,144.168798,103.5433333,360.6799431,0.000247011,0.002846259,0.000181092,0.031025499,0,0.000938519,0.000360392,0.004218206,1,1
Attribution of recent climate change,Slash-and-burn,0,23,82.5,0,75.71942446,0,28.84615385,0,53.97109827,23,53.65384615,0,21.74832619,23,111.3461538,0,129.6905227,6.76E-05,0.000646358,0,0.003435816,0,0.000588985,0,0.000542575,0,0
Attribution of recent climate change,Water vapor,1,0,442.8333333,72.75,268.4353846,0,60.47826087,39.81481481,114.3211447,0,382.3550725,32.93518519,154.1142399,0,503.3115942,112.5648148,382.7565293,0,0.008673599,0.000213929,0.056958808,0,0.000461296,0.000101415,0.006783763,1,1
Carbon cycle,Calvin cycle,0,0,44.88888889,28.63461538,70.15083799,0,0,88.52173913,58.73469388,0,44.88888889,59.88712375,11.41614411,0,44.88888889,117.1563545,128.8855319,0,0.000167703,2.29E-05,0.005212482,0,0,0.001582969,0.004475231,0,1
Carbon cycle,Combustion,1,86,146.5806452,45.70833333,105.9948914,0,16.92592593,59.21428571,95.86347305,86,129.6547192,13.50595238,10.13141839,86,163.5065711,104.922619,201.8583645,6.88E-05,0.00188624,3.65E-05,0.034451282,0,6.22E-05,0.000152018,0.007339203,1,1
Carbon cycle,Deficit irrigation,0,0,0,0,20.06666667,0,0,0,13.66666667,0,0,0,6.4,0,0,0,33.73333333,0,0,0,0.000124947,0,0,0,0.000264455,0,0
Carbon cycle,Ocean,0,26,80.42105263,94.84615385,84.43546577,2095,216.9324324,30.66666667,424.4218391,2069,136.5113798,64.17948718,339.9863733,2121,297.3534851,125.5128205,508.8573048,2.08E-05,0.001902845,7.58E-05,0.031229232,0.003543484,0.00036692,3.72E-05,0.029885287,1,1
Carbon cycle,Organic compound,1,0,142.8510638,35.79120879,85.02526003,0,406.4516129,98.41818182,102.9812362,0,263.6005491,62.62697303,17.95597617,0,549.3026767,134.2093906,188.0064962,0,0.00278702,2.86E-05,0.023753178,0,0.0020997,0.000944212,0.016274885,1,1
Carbon cycle,Peat,0,60,36.375,63.50704225,85.17241379,0,306.9310345,79.66037736,109.4597015,60,270.5560345,16.1533351,24.2872877,60,343.3060345,143.1674196,194.6321153,4.80E-05,0.000483183,5.08E-05,0.013329044,0,0.001769126,0.001524406,0.013239804,1,1
