A,B,result
Classical mechanics,0 (number),0
Classical mechanics,Acceleration,2
Classical mechanics,Action (physics),2
Classical mechanics,Astronomia nova,0
Classical mechanics,Complex number,0
Classical mechanics,Cornell University,0
Classical mechanics,Degrees of freedom (physics and chemistry),0
Classical mechanics,Energy flux,2
Classical mechanics,Gas,0
Classical mechanics,Irradiance,0
Classical mechanics,Kinetic energy,2
Classical mechanics,Lester Germer,0
Classical mechanics,Observer (special relativity),0
Classical mechanics,Quanta,0
Classical mechanics,Quantum tunnelling,0
Energy,Conjugate variables,0
Energy,Inductor,2
Energy,Light,0
Energy,Lorentz scalar,0
Energy,Meteorology,0
Energy,Organelle,0
Energy,Phonon,2
Energy,Rudolf Clausius,0
Energy,SunPower,0
Energy,Thomas Young (scientist),0
Energy,Water,1
Euler's laws of motion,Center of mass,0
Euler's laws of motion,Continuum mechanics,1
Euler's laws of motion,Isaac Newton,2
Euler's laws of motion,List of topics named after Leonhard Euler,0
Euler's laws of motion,Material derivative,2
Euler's laws of motion,Moment (physics),0
Euler's laws of motion,Momentum,2
Euler's laws of motion,Newton's laws of motion,1
Euler's laws of motion,Rigid body,2
Euler's laws of motion,Torque,1
Force,Circular symmetry,0
Force,Classical element,0
Force,Constant factor rule in differentiation,0
Force,Coriolis effect,0
Force,Diagonal matrix,0
Force,Electromagnetism,0
Force,Fermion,0
Force,Frame of reference,0
Force,Gauge boson,0
Force,Gradient,0
Force,Grand Unified Theory,0
Force,Gravitational acceleration,0
Force,Henry Cavendish,0
Force,Lepton,0
Force,Magnet,0
Force,Moon,0
Force,Newton (unit),0
Force,Simple machine,0
Force,Tension (physics),0
Force,Theory of impetus,0
Force,Torque,0
Force,Volume,2
Force,Wind,2
Frame of reference,Applied mechanics,2
Frame of reference,Atomic clock,0
Frame of reference,Cognitive psychology,0
Frame of reference,Configuration space,0
Frame of reference,Coriolis effect,0
Frame of reference,Free particle,1
Frame of reference,Galilean invariance,0
Frame of reference,Galilean transformation,0
Frame of reference,Generalized coordinates,0
Frame of reference,Gravitational time dilation,1
Frame of reference,International Celestial Reference Frame,0
Frame of reference,Karl Schwarzschild,0
Frame of reference,Mach's principle,0
Frame of reference,Non-inertial reference frame,0
Frame of reference,Quantum field theory,0
Frame of reference,Quantum gravity,1
Frame of reference,Representation theory,0
Frame of reference,Representation theory of the Galilean group,0
Frame of reference,Robotics,0
Frame of reference,Special relativity,2
Frame of reference,Standard Model,0
