A,B,result
Angle,Astronomy,0
Angle,Complementary angles,0
Angle,English language,2
Angle,Kilometre,0
Angle,Longitude,0
Angle,Metric tensor,0
Angle,Perpendicular,0
Angle,Triangle,0
Angle,Variable (mathematics),0
Angle,Vertex (geometry),0
Axiom,Boethius,0
Axiom,Boolean algebra (logic),0
Axiom,Circle,0
Axiom,Complex analysis,0
Axiom,Determinism,0
Axiom,Euclidean geometry,1
Axiom,Henri Poincaré,0
Axiom,Inaccessible cardinal,0
Axiom,Löwenheim–Skolem theorem,0
Axiom,Naive set theory,0
Axiom,Non-standard analysis,0
Elliptic geometry,Decidability (logic),0
Elliptic geometry,Gödel's incompleteness theorems,0
Elliptic geometry,Great circle,0
Elliptic geometry,Hyperbolic geometry,0
Elliptic geometry,Line (geometry),0
Elliptic geometry,Non-Euclidean geometry,1
Elliptic geometry,Orientability,0
Elliptic geometry,Playfair's axiom,0
Elliptic geometry,Stereographic projection,0
Euclid,Archimedes,0
Euclid,Axiomatic system,0
Euclid,Data (Euclid),0
Euclid,Egypt,0
Euclid,Euclidean geometry,0
Euclid,Locus (mathematics),0
Euclid,Porism,0
Euclid,Rare Book Room,0
Euclid,Reason,0
Euclid,The School of Athens,0
Euclidean geometry,Alfred Tarski,0
Euclidean geometry,Geometry,1
Euclidean geometry,Infinity,0
Euclidean geometry,Metric space,0
Euclidean geometry,Orange (fruit),0
Euclidean geometry,Real line,0
Euclidean geometry,Set theory,0
Euclidean geometry,Three-dimensional space,2
Euclid's Elements,Alexandria,0
Euclid's Elements,Bertrand Russell,2
Euclid's Elements,Boethius,0
Euclid's Elements,Campanus of Novara,0
Euclid's Elements,Compass and straightedge constructions,0
Euclid's Elements,Cone (geometry),0
Euclid's Elements,Geometric progression,1
Euclid's Elements,Johannes Kepler,0
Euclid's Elements,Pons asinorum,0
Geometry,Circle,0
Geometry,Felix Klein,0
Geometry,Hodge conjecture,0
Geometry,Infinitesimal calculus,0
Geometry,Integral,0
Geometry,Liu Hui,0
Geometry,M. C. Escher,0
Geometry,Parallel postulate,0
Geometry,Real algebraic geometry,0
Giovanni Girolamo Saccheri,Euclid,0
Giovanni Girolamo Saccheri,Hyperbolic geometry,0
Giovanni Girolamo Saccheri,Italy,0
Giovanni Girolamo Saccheri,List of Jesuit scientists,0
Giovanni Girolamo Saccheri,Parallel postulate,0
Giovanni Girolamo Saccheri,Reductio ad absurdum,0
Giovanni Girolamo Saccheri,Saccheri quadrilateral,0
Giovanni Girolamo Saccheri,Society of Jesus,0
Hyperbolic geometry,Alhazen,0
Hyperbolic geometry,Atlas (topology),0
Hyperbolic geometry,Conformal map,0
Hyperbolic geometry,Defect (geometry),0
Hyperbolic geometry,Gaussian curvature,0
Hyperbolic geometry,Hyperboloid model,0
Hyperbolic geometry,Hypercycle (geometry),0
Hyperbolic geometry,Lambert quadrilateral,0
Hyperbolic geometry,Witelo,1
Internal and external angle,Angle,1
Internal and external angle,Convex and concave polygons,0
Internal and external angle,Geometry,1
Internal and external angle,Polygon,0
Internal and external angle,Vertex (geometry),0
Line (geometry),Coefficient,0
Line (geometry),David Hilbert,0
Line (geometry),End (topology),0
Line (geometry),Euclidean vector,2
Line (geometry),Fixed point,0
Line (geometry),Incidence (geometry),0
Line (geometry),Mario Pieri,0
Line (geometry),Tarski's axioms,2
Nikolai Lobachevsky,Doorways in the Sand,0
Nikolai Lobachevsky,Geometry,1
Nikolai Lobachevsky,Gregorian calendar,0
Nikolai Lobachevsky,Johann Christian Martin Bartels,0
Nikolai Lobachevsky,Nizhny Novgorod,0
Nikolai Lobachevsky,Russia,0
Nikolai Lobachevsky,Songs by Tom Lehrer,0
Nikolai Lobachevsky,Upper half-plane,0
Nikolai Lobachevsky,William Kingdon Clifford,0
